human gene	mouse gene	Proportion of common genomic anchors	Proportion of common protein-coding genes
ENSG00000223643	ENSMUSG00000085836	0.331896552	0.45
ENSG00000223643	ENSMUSG00000086061	0.299426934	0.4
ENSG00000223643	ENSMUSG00000087045	0.384164223	0.538461538
ENSG00000223643	ENSMUSG00000097620	0.411764706	0.547619048
ENSG00000223989	ENSMUSG00000084807	0.48136646	0.76
ENSG00000223989	ENSMUSG00000086949	0.576036866	0.793103448
ENSG00000224174	ENSMUSG00000087698	0.408163265	0.725
ENSG00000224174	ENSMUSG00000103366	0.384615385	0.682926829
ENSG00000224459	ENSMUSG00000073731	0.556851312	0.707317073
ENSG00000224459	ENSMUSG00000085395	0.378612717	0.5
ENSG00000224459	ENSMUSG00000085816	0.341625207	0.4
ENSG00000224459	ENSMUSG00000085836	0.432471264	0.525
ENSG00000224459	ENSMUSG00000085922	0.4765625	0.542857143
ENSG00000224459	ENSMUSG00000086061	0.465616046	0.575
ENSG00000224459	ENSMUSG00000086818	0.493710692	0.571428571
ENSG00000224459	ENSMUSG00000100396	0.486656201	0.542857143
ENSG00000224621	ENSMUSG00000085774	0.487698987	0.825
ENSG00000224621	ENSMUSG00000103366	0.481857765	0.780487805
ENSG00000225387	ENSMUSG00000085928	0.588871716	0.56
ENSG00000225387	ENSMUSG00000103107	0.433179724	0.392857143
ENSG00000225602	ENSMUSG00000086326	0.663900415	0.725
ENSG00000225602	ENSMUSG00000087217	0.616906475	0.731707317
ENSG00000225986	ENSMUSG00000046109	0.551959114	0.641025641
ENSG00000226029	ENSMUSG00000085774	0.403762663	0.725
ENSG00000226029	ENSMUSG00000087698	0.415451895	0.775
ENSG00000226029	ENSMUSG00000103366	0.413642961	0.731707317
ENSG00000226487	ENSMUSG00000046109	0.596252129	0.58974359
ENSG00000226487	ENSMUSG00000086845	0.320895522	0.34375
ENSG00000226526	ENSMUSG00000085774	0.342981187	0.375
ENSG00000226526	ENSMUSG00000087698	0.425655977	0.525
ENSG00000226526	ENSMUSG00000103366	0.352685051	0.390243902
ENSG00000226664	ENSMUSG00000046109	0.586030664	0.641025641
ENSG00000226849	ENSMUSG00000086326	0.622406639	0.7
ENSG00000226849	ENSMUSG00000087217	0.68705036	0.756097561
ENSG00000227751	ENSMUSG00000087698	0.37755102	0.225
ENSG00000227959	ENSMUSG00000085774	0.486251809	0.825
ENSG00000227959	ENSMUSG00000103366	0.480406386	0.780487805
ENSG00000228140	ENSMUSG00000073728	0.606260297	0.866666667
ENSG00000228140	ENSMUSG00000073731	0.505830904	0.43902439
ENSG00000228140	ENSMUSG00000085424	0.625786164	0.848484848
ENSG00000228140	ENSMUSG00000085761	0.611727417	0.9
ENSG00000228140	ENSMUSG00000085922	0.6703125	0.823529412
ENSG00000228140	ENSMUSG00000086818	0.669811321	0.771428571
ENSG00000228140	ENSMUSG00000100396	0.678178964	0.823529412
ENSG00000228150	ENSMUSG00000086949	0.533026114	0.724137931
ENSG00000228338	ENSMUSG00000028590	0.527102804	0.604651163
ENSG00000228549	ENSMUSG00000085774	0.361794501	0.475
ENSG00000228549	ENSMUSG00000087698	0.406705539	0.55
ENSG00000228549	ENSMUSG00000103366	0.371552975	0.487804878
ENSG00000229484	ENSMUSG00000103911	0.430939227	0.34
ENSG00000230035	ENSMUSG00000085047	0.474576271	0.40625
ENSG00000230035	ENSMUSG00000085968	0.535976505	0.5
ENSG00000230035	ENSMUSG00000086164	0.540263543	0.5
ENSG00000230035	ENSMUSG00000086437	0.490015361	0.433333333
ENSG00000230035	ENSMUSG00000086960	0.509259259	0.464285714
ENSG00000230035	ENSMUSG00000087084	0.515479876	0.464285714
ENSG00000230035	ENSMUSG00000087628	0.492283951	0.48
ENSG00000230035	ENSMUSG00000087646	0.487654321	0.461538462
ENSG00000230068	ENSMUSG00000086845	0.630597015	0.5625
ENSG00000230239	ENSMUSG00000085774	0.360347323	0.475
ENSG00000230239	ENSMUSG00000087698	0.405247813	0.55
ENSG00000230239	ENSMUSG00000103366	0.370101597	0.487804878
ENSG00000230337	ENSMUSG00000086326	0.645228216	0.7
ENSG00000230337	ENSMUSG00000087217	0.658273381	0.731707317
ENSG00000230424	ENSMUSG00000073739	0.569176883	0.513513514
ENSG00000230424	ENSMUSG00000097731	0.67844523	0.774193548
ENSG00000231105	ENSMUSG00000084804	0.58287796	0.583333333
ENSG00000231105	ENSMUSG00000085823	0.718929254	0.628571429
ENSG00000231105	ENSMUSG00000087476	0.659003831	0.689655172
ENSG00000231606	ENSMUSG00000085574	0.338709677	0.096774194
ENSG00000231606	ENSMUSG00000087525	0.286195286	0.142857143
ENSG00000231606	ENSMUSG00000103678	0.663893511	0.565217391
ENSG00000231789	ENSMUSG00000085368	0.575193798	0.846153846
ENSG00000231789	ENSMUSG00000085403	0.604100946	0.884615385
ENSG00000231789	ENSMUSG00000086767	0.503003003	0.785714286
ENSG00000233069	ENSMUSG00000084804	0.566484517	0.638888889
ENSG00000233078	ENSMUSG00000073731	0.424198251	0.707317073
ENSG00000233078	ENSMUSG00000085395	0.433526012	0.675
ENSG00000233078	ENSMUSG00000085836	0.452586207	0.7
ENSG00000233078	ENSMUSG00000086061	0.475644699	0.75
ENSG00000233078	ENSMUSG00000097620	0.342898135	0.571428571
ENSG00000233421	ENSMUSG00000085918	0.366715758	0.666666667
ENSG00000233421	ENSMUSG00000087045	0.390029326	0.692307692
ENSG00000233421	ENSMUSG00000097620	0.428981349	0.714285714
ENSG00000233431	ENSMUSG00000085823	0.673040153	0.514285714
ENSG00000233431	ENSMUSG00000087476	0.722222222	0.655172414
ENSG00000233485	ENSMUSG00000073728	0.63261944	0.862068966
ENSG00000233485	ENSMUSG00000085424	0.650943396	0.818181818
ENSG00000233485	ENSMUSG00000085761	0.637083994	0.866666667
ENSG00000233485	ENSMUSG00000085922	0.6359375	0.764705882
ENSG00000233485	ENSMUSG00000086818	0.625786164	0.714285714
ENSG00000233485	ENSMUSG00000087525	0.585858586	0.862068966
ENSG00000233485	ENSMUSG00000100396	0.63422292	0.764705882
ENSG00000234166	ENSMUSG00000085774	0.492040521	0.825
ENSG00000234166	ENSMUSG00000103366	0.48766328	0.804878049
ENSG00000234546	ENSMUSG00000084807	0.537267081	0.64
ENSG00000234546	ENSMUSG00000087094	0.577092511	0.548387097
ENSG00000234593	ENSMUSG00000085574	0.282258065	0.096774194
ENSG00000234593	ENSMUSG00000087525	0.372053872	0.178571429
ENSG00000234593	ENSMUSG00000103678	0.643926789	0.391304348
ENSG00000235185	ENSMUSG00000110296	0.621716287	0.675675676
ENSG00000235263	ENSMUSG00000085368	0.648062016	0.92
ENSG00000235263	ENSMUSG00000085403	0.640378549	0.884615385
ENSG00000235263	ENSMUSG00000086665	0.514534884	0.677419355
ENSG00000235263	ENSMUSG00000086767	0.585585586	0.821428571
ENSG00000235263	ENSMUSG00000102813	0.505797101	0.677419355
ENSG00000235434	ENSMUSG00000073739	0.555166375	0.72972973
ENSG00000235643	ENSMUSG00000078494	0.535632184	0.527777778
ENSG00000235643	ENSMUSG00000086326	0.470954357	0.6
ENSG00000235643	ENSMUSG00000086806	0.496551724	0.459459459
ENSG00000236009	ENSMUSG00000084804	0.526411658	0.527777778
ENSG00000236009	ENSMUSG00000085823	0.717017208	0.571428571
ENSG00000236009	ENSMUSG00000087476	0.685823755	0.655172414
ENSG00000236045	ENSMUSG00000073728	0.640856672	0.862068966
ENSG00000236045	ENSMUSG00000085424	0.658805031	0.818181818
ENSG00000236045	ENSMUSG00000085761	0.645007924	0.866666667
ENSG00000236045	ENSMUSG00000085922	0.640625	0.764705882
ENSG00000236045	ENSMUSG00000086818	0.630503145	0.714285714
ENSG00000236045	ENSMUSG00000087525	0.594276094	0.862068966
ENSG00000236045	ENSMUSG00000100396	0.638932496	0.764705882
ENSG00000236648	ENSMUSG00000103107	0.477726575	0.5
ENSG00000236936	ENSMUSG00000084804	0.590163934	0.583333333
ENSG00000236936	ENSMUSG00000085823	0.701720841	0.628571429
ENSG00000236936	ENSMUSG00000087476	0.641762452	0.689655172
ENSG00000236963	ENSMUSG00000046109	0.591141397	0.58974359
ENSG00000237301	ENSMUSG00000073728	0.476112026	0.606060606
ENSG00000237301	ENSMUSG00000073731	0.556851312	0.609756098
ENSG00000237301	ENSMUSG00000085424	0.522012579	0.696969697
ENSG00000237301	ENSMUSG00000085761	0.507131537	0.666666667
ENSG00000237301	ENSMUSG00000085922	0.5671875	0.676470588
ENSG00000237301	ENSMUSG00000086061	0.436962751	0.45
ENSG00000237301	ENSMUSG00000086818	0.58490566	0.685714286
ENSG00000237301	ENSMUSG00000100396	0.577708006	0.676470588
ENSG00000237938	ENSMUSG00000073731	0.56122449	0.682926829
ENSG00000237938	ENSMUSG00000085424	0.441823899	0.571428571
ENSG00000237938	ENSMUSG00000085816	0.339966833	0.371428571
ENSG00000237938	ENSMUSG00000085836	0.429597701	0.475
ENSG00000237938	ENSMUSG00000085922	0.4875	0.571428571
ENSG00000237938	ENSMUSG00000086061	0.46991404	0.525
ENSG00000237938	ENSMUSG00000086818	0.504716981	0.6
ENSG00000237938	ENSMUSG00000100396	0.497645212	0.571428571
ENSG00000238142	ENSMUSG00000085395	0.356936416	0.475
ENSG00000238142	ENSMUSG00000085836	0.333333333	0.45
ENSG00000238142	ENSMUSG00000086061	0.297994269	0.4
ENSG00000238142	ENSMUSG00000087045	0.385630499	0.538461538
ENSG00000238142	ENSMUSG00000097620	0.413199426	0.547619048
ENSG00000241326	ENSMUSG00000086949	0.516129032	0.689655172
ENSG00000242349	ENSMUSG00000078494	0.493801653	0.583333333
ENSG00000242349	ENSMUSG00000086806	0.530991736	0.621621622
ENSG00000261135	ENSMUSG00000087698	0.408163265	0.725
ENSG00000261135	ENSMUSG00000103366	0.384615385	0.682926829
ENSG00000261781	ENSMUSG00000085928	0.459041731	0.44
ENSG00000261781	ENSMUSG00000103107	0.585253456	0.464285714
ENSG00000271732	ENSMUSG00000087698	0.403790087	0.675
ENSG00000271732	ENSMUSG00000103366	0.380261248	0.634146341
ENSG00000271742	ENSMUSG00000073731	0.562682216	0.658536585
ENSG00000271742	ENSMUSG00000085424	0.47327044	0.617647059
ENSG00000271742	ENSMUSG00000085761	0.45800317	0.588235294
ENSG00000271742	ENSMUSG00000085922	0.51875	0.617647059
ENSG00000271742	ENSMUSG00000086061	0.46991404	0.5
ENSG00000271742	ENSMUSG00000086818	0.536163522	0.628571429
ENSG00000271742	ENSMUSG00000100396	0.529042386	0.617647059
ENSG00000271840	ENSMUSG00000086845	0.626865672	0.5625
ENSG00000271895	ENSMUSG00000086326	0.609958506	0.65
ENSG00000271895	ENSMUSG00000086606	0.500797448	0.675675676
ENSG00000271895	ENSMUSG00000086766	0.517027864	0.692307692
ENSG00000271895	ENSMUSG00000087217	0.68705036	0.731707317
ENSG00000271989	ENSMUSG00000085286	0.488372093	0.666666667
ENSG00000271989	ENSMUSG00000085807	0.481308411	0.666666667
ENSG00000271989	ENSMUSG00000085819	0.460342146	0.666666667
ENSG00000271989	ENSMUSG00000086740	0.542857143	0.540540541
ENSG00000272078	ENSMUSG00000086606	0.607655502	0.675675676
ENSG00000272078	ENSMUSG00000086766	0.586687307	0.641025641
ENSG00000272078	ENSMUSG00000087217	0.53057554	0.43902439
ENSG00000272426	ENSMUSG00000085395	0.355491329	0.475
ENSG00000272426	ENSMUSG00000085836	0.331896552	0.45
ENSG00000272426	ENSMUSG00000086061	0.293696275	0.4
ENSG00000272426	ENSMUSG00000087045	0.384164223	0.538461538
ENSG00000272426	ENSMUSG00000097620	0.411764706	0.547619048
ENSG00000272510	ENSMUSG00000073728	0.49752883	0.647058824
ENSG00000272510	ENSMUSG00000073731	0.549562682	0.585365854
ENSG00000272510	ENSMUSG00000085424	0.54245283	0.735294118
ENSG00000272510	ENSMUSG00000085761	0.527733756	0.705882353
ENSG00000272510	ENSMUSG00000085922	0.5875	0.735294118
ENSG00000272510	ENSMUSG00000086818	0.605345912	0.742857143
ENSG00000272510	ENSMUSG00000100396	0.59811617	0.735294118
ENSG00000279151	ENSMUSG00000085774	0.364688857	0.575
ENSG00000279151	ENSMUSG00000087698	0.406705539	0.625
ENSG00000279151	ENSMUSG00000103366	0.374455733	0.585365854
ENSG00000280222	ENSMUSG00000085928	0.469860896	0.52
ENSG00000280222	ENSMUSG00000103107	0.569892473	0.5
ENSG00000281937	ENSMUSG00000085368	0.534883721	0.64
ENSG00000281937	ENSMUSG00000085403	0.525236593	0.615384615
ENSG00000281937	ENSMUSG00000086665	0.587209302	0.580645161
ENSG00000281937	ENSMUSG00000086767	0.570570571	0.607142857
ENSG00000281937	ENSMUSG00000102813	0.57826087	0.580645161
ENSG00000282143	ENSMUSG00000087698	0.405247813	0.675
ENSG00000282143	ENSMUSG00000103366	0.373004354	0.634146341
ENSG00000282740	ENSMUSG00000085395	0.367052023	0.55
ENSG00000282740	ENSMUSG00000085836	0.343390805	0.525
ENSG00000282740	ENSMUSG00000086061	0.310888252	0.475
ENSG00000282740	ENSMUSG00000087045	0.392961877	0.58974359
ENSG00000282740	ENSMUSG00000097620	0.423242468	0.619047619
ENSG00000282843	ENSMUSG00000085918	0.447717231	0.435897436
ENSG00000282843	ENSMUSG00000087045	0.45601173	0.461538462
ENSG00000282843	ENSMUSG00000097620	0.337159254	0.261904762
ENSG00000117242	ENSMUSG00000101493	0.312267658	0.3
ENSG00000218510	ENSMUSG00000085542	0.567877629	0.6
ENSG00000218510	ENSMUSG00000085833	0.596558317	0.620689655
ENSG00000218510	ENSMUSG00000087417	0.56870229	0.6
ENSG00000218510	ENSMUSG00000101493	0.672862454	0.666666667
ENSG00000225315	ENSMUSG00000097995	0.51092437	0.55
ENSG00000225952	ENSMUSG00000103119	0.613712375	0.717948718
ENSG00000229162	ENSMUSG00000084986	0.588050314	0.5625
ENSG00000229162	ENSMUSG00000086884	0.591263651	0.541666667
ENSG00000230023	ENSMUSG00000087016	0.455246914	0.585365854
ENSG00000230068	ENSMUSG00000085542	0.588910134	0.633333333
ENSG00000230068	ENSMUSG00000085833	0.617590822	0.655172414
ENSG00000230068	ENSMUSG00000087417	0.589694656	0.633333333
ENSG00000230068	ENSMUSG00000101493	0.661710037	0.666666667
ENSG00000230703	ENSMUSG00000097995	0.507563025	0.55
ENSG00000232298	ENSMUSG00000086788	0.536776213	0.75
ENSG00000232298	ENSMUSG00000103955	0.50385208	0.682926829
ENSG00000232557	ENSMUSG00000097995	0.537815126	0.7
ENSG00000235052	ENSMUSG00000085714	0.571183533	0.775
ENSG00000236810	ENSMUSG00000085714	0.61406518	0.8
ENSG00000237200	ENSMUSG00000085542	0.690248566	0.833333333
