Gene1	Gene2	Proportion of common genomic anchors	Proportion of common protein-coding genes
ENSG00000176320	XLOC_011085_ops	0.155635063	0.361111111
ENSG00000176320	XLOC_011087_ops	0.375670841	0.540540541
ENSG00000176320	XLOC_011088_ops	0.386404293	0.473684211
ENSG00000176320	XLOC_011089_ops	0.397137746	0.473684211
ENSG00000176349	XLOC_034652_ops	0.158075601	0.2
ENSG00000176349	XLOC_034653_ops	0.174112257	0.2
ENSG00000176349	XLOC_034660_ops	0.110894942	0.088235294
ENSG00000176515	XLOC_019460_ops	0.608974359	0.875
ENSG00000176515	XLOC_019462_ops	0.44017094	0.5
ENSG00000176515	XLOC_019464_ops	0.435616438	0.2
ENSG00000176753	XLOC_006241_ops	0.316872428	0.205128205
ENSG00000176753	XLOC_006242_ops	0.364197531	0.256410256
ENSG00000176753	XLOC_006244_ops	0.423868313	0.358974359
ENSG00000176753	XLOC_006245_ops	0.446502058	0.41025641
ENSG00000176753	XLOC_006246_ops	0.467078189	0.41025641
ENSG00000176753	XLOC_006253_ops	0.491769547	0.692307692
ENSG00000176753	XLOC_006254_ops	0.49382716	0.692307692
ENSG00000176753	XLOC_006255_ops	0.514403292	0.641025641
ENSG00000176753	XLOC_006257_ops	0.48785872	0.622222222
ENSG00000176753	XLOC_006259_ops	0.492273731	0.644444444
ENSG00000176753	XLOC_006260_ops	0.46799117	0.622222222
ENSG00000176754	XLOC_014599_ops	0.338329764	0.527777778
ENSG00000176754	XLOC_014601_ops	0.325481799	0.472222222
ENSG00000176754	XLOC_014602_ops	0.334558824	0.576923077
ENSG00000176754	XLOC_014603_ops	0.371323529	0.538461538
ENSG00000176754	XLOC_014604_ops	0.321691176	0.423076923
ENSG00000176754	XLOC_014607_ops	0.340073529	0.461538462
ENSG00000176754	XLOC_014608_ops	0.363970588	0.461538462
ENSG00000176754	XLOC_014610_ops	0.367647059	0.461538462
ENSG00000176840	XLOC_020084_ops	0.320652174	0.625
ENSG00000176840	XLOC_020085_ops	0.338315217	0.625
ENSG00000176840	XLOC_020086_ops	0.349184783	0.625
ENSG00000176840	XLOC_020090_ops	0.338315217	0.5625
ENSG00000176840	XLOC_020092_ops	0.360054348	0.5625
ENSG00000176840	XLOC_020095_ops	0.28125	0.354166667
ENSG00000176840	XLOC_020096_ops	0.273097826	0.354166667
ENSG00000176868	XLOC_002750_ops	0.0592	0.04
ENSG00000176868	XLOC_003032_ops	0.240770465	0.137254902
ENSG00000176868	XLOC_003037_ops	0.2048	0.22
ENSG00000176868	XLOC_003056_ops	0.349090909	0.304347826
ENSG00000176868	XLOC_003057_ops	0.350909091	0.304347826
ENSG00000176868	XLOC_003061_ops	0.332727273	0.217391304
ENSG00000176868	XLOC_003065_ops	0.301818182	0.222222222
ENSG00000176868	XLOC_007934_ops	0.306581059	0.254901961
ENSG00000176868	XLOC_007936_ops	0.272	0.22
ENSG00000176868	XLOC_007939_ops	0.56	0.608695652
ENSG00000176868	XLOC_007940_ops	0.656363636	0.565217391
ENSG00000176868	XLOC_007941_ops	0.649090909	0.565217391
ENSG00000176912	XLOC_022488_ops	0.635379061	0.416666667
ENSG00000176912	XLOC_022490_ops	0.61732852	0.454545455
ENSG00000176984	XLOC_028904_ops	0.48245614	0.25
ENSG00000176984	XLOC_028913_ops	0.514035088	0.4
ENSG00000176984	XLOC_028914_ops	0.484210526	0.35
ENSG00000176984	XLOC_028922_ops	0.235087719	0.55
ENSG00000177112	XLOC_033821_ops	0.385263158	0.44
ENSG00000177112	XLOC_033826_ops	0.484210526	0.56
ENSG00000177112	XLOC_033828_ops	0.513684211	0.72
ENSG00000177112	XLOC_033830_ops	0.410526316	0.64
ENSG00000177133	XLOC_030170_ops	0.137687555	0.076923077
ENSG00000177133	XLOC_030171_ops	0.136804943	0.076923077
ENSG00000177133	XLOC_030174_ops	0.129662522	0.15625
ENSG00000177133	XLOC_030191_ops	0.123022847	0.205882353
ENSG00000177133	XLOC_030193_ops	0.117750439	0.176470588
ENSG00000177133	XLOC_030194_ops	0.117750439	0.176470588
ENSG00000177335	XLOC_019868_ops	0.062434964	0.12
ENSG00000177335	XLOC_019869_ops	0.065556712	0.14
ENSG00000177335	XLOC_019870_ops	0.067637877	0.16
ENSG00000177335	XLOC_020041_ops	0.152224824	0.170212766
ENSG00000177335	XLOC_020042_ops	0.160671463	0.170212766
ENSG00000177335	XLOC_020043_ops	0.15952381	0.170212766
ENSG00000177335	XLOC_020044_ops	0.153664303	0.14893617
ENSG00000177335	XLOC_023311_ops	0.163978495	0.170212766
ENSG00000177335	XLOC_023476_ops	0.161290323	0.276595745
ENSG00000177335	XLOC_023477_ops	0.196236559	0.29787234
ENSG00000177335	XLOC_023478_ops	0.180107527	0.234042553
ENSG00000177335	XLOC_023481_ops	0.161290323	0.191489362
ENSG00000177335	XLOC_023482_ops	0.070759625	0.2
ENSG00000177337	XLOC_019096_ops	0.3075	0.5
ENSG00000177337	XLOC_019097_ops	0.3875	0.6
ENSG00000177337	XLOC_019099_ops	0.515	0.6
ENSG00000177337	XLOC_019100_ops	0.57	0.6
ENSG00000177337	XLOC_019101_ops	0.6175	0.7
ENSG00000177337	XLOC_019103_ops	0.55	0.6
ENSG00000177337	XLOC_019104_ops	0.4175	0.5
ENSG00000177340	XLOC_040919_ops	0.216911765	0.333333333
ENSG00000177340	XLOC_040920_ops	0.230769231	0.388888889
ENSG00000177340	XLOC_040921_ops	0.223728814	0.333333333
ENSG00000177340	XLOC_040922_ops	0.198653199	0.277777778
ENSG00000177340	XLOC_040923_ops	0.197986577	0.277777778
ENSG00000177340	XLOC_040924_ops	0.202054795	0.277777778
ENSG00000177369	XLOC_011433_ops	0.375	0.434782609
ENSG00000177369	XLOC_011434_ops	0.375	0.5
ENSG00000177369	XLOC_011435_ops	0.373106061	0.5
ENSG00000177369	XLOC_011436_ops	0.386363636	0.52173913
ENSG00000177369	XLOC_011439_ops	0.346590909	0.434782609
ENSG00000177369	XLOC_011440_ops	0.3984375	0.422222222
ENSG00000177369	XLOC_011441_ops	0.40625	0.422222222
ENSG00000177369	XLOC_011442_ops	0.40234375	0.422222222
ENSG00000177369	XLOC_011446_ops	0.433823529	0.585365854
ENSG00000177369	XLOC_011453_ops	0.409926471	0.487804878
ENSG00000177369	XLOC_011455_ops	0.391217565	0.363636364
ENSG00000177406	XLOC_041765_ops	0.485714286	0.647058824
ENSG00000177410	XLOC_003313_ops	0.156164384	0.217391304
ENSG00000177410	XLOC_003314_ops	0.150684932	0.217391304
ENSG00000177410	XLOC_003315_ops	0.128767123	0.260869565
ENSG00000177410	XLOC_003317_ops	0.145205479	0.304347826
ENSG00000177410	XLOC_008240_ops	0.324468085	0.611111111
ENSG00000177410	XLOC_008242_ops	0.492021277	0.764705882
ENSG00000177410	XLOC_008243_ops	0.590425532	0.823529412
ENSG00000177410	XLOC_008244_ops	0.595744681	0.823529412
