human gene	chicken gene	human transcript	chicken transcript	motif-pattern similarity score	gap penalty score
ENSG00000197308	XLOC_000112_chc	ENST00000438755	TCONS_00000851_chc	5.241	37.638
ENSG00000261668	XLOC_020942_chc	ENST00000565254	TCONS_00091712_chc	6.562	48.218
ENSG00000280384	XLOC_001459_chc	ENST00000624818	TCONS_00024284_chc	12.497	41.034
ENSG00000233538	XLOC_029166_chc	ENST00000370380	TCONS_00132238_chc	4.482	51.505
ENSG00000283175	XLOC_028479_chc	ENST00000636210	TCONS_00129141_chc	4.862	80.573
ENSG00000265148	XLOC_035393_chc	ENST00000579527	TCONS_00172777_chc	5.314	39.53
ENSG00000279110	XLOC_033892_chc	ENST00000623980	TCONS_00161954_chc	9.748	14.405
ENSG00000236874	XLOC_036018_chc	ENST00000446280	TCONS_00177391_chc	3.426	45.409
ENSG00000280407	XLOC_035149_chc	ENST00000622924	TCONS_00172053_chc	11.37	16.783
ENSG00000279726	XLOC_031883_chc	ENST00000624176	TCONS_00150139_chc	11.242	119.757
ENSG00000281969	XLOC_016885_chc	ENST00000632210	TCONS_00063948_chc	7.988	65.188
ENSG00000251387	XLOC_031892_chc	ENST00000506892	TCONS_00150183_chc	5.658	57.226
ENSG00000246982	XLOC_038506_chc	ENST00000526611	TCONS_00192856_chc	11.186	36.283
ENSG00000214293	XLOC_000239_chc	ENST00000440088	TCONS_00001191_chc	5.138	77.271
ENSG00000266261	XLOC_035123_chc	ENST00000584540	TCONS_00170110_chc	3.969	44.772
ENSG00000235407	XLOC_038639_chc	ENST00000457402	TCONS_00193617_chc	5.543	122.41
ENSG00000222035	XLOC_026739_chc	ENST00000409819	TCONS_00116870_chc	7.667	40.418
ENSG00000255318	XLOC_023208_chc	ENST00000533311	TCONS_00096333_chc	5.348	34.476
ENSG00000255384	XLOC_037786_chc	ENST00000532619	TCONS_00188783_chc	6.357	41.875
ENSG00000245522	XLOC_022121_chc	ENST00000500698	TCONS_00104767_chc	4.973	57.734
ENSG00000277151	XLOC_007784_chc	ENST00000617901	TCONS_00021731_chc	4.676	64.678
ENSG00000260460	XLOC_038162_chc	ENST00000564032	TCONS_00191165_chc	10.174	34.275
ENSG00000233621	XLOC_037356_chc	ENST00000424989	TCONS_00186130_chc	4.703	28.275
ENSG00000244502	XLOC_031563_chc	ENST00000424112	TCONS_00147343_chc	6.145	69.281
ENSG00000279202	XLOC_033239_chc	ENST00000624179	TCONS_00157360_chc	6.338	21.824
ENSG00000213373	XLOC_038833_chc	ENST00000436546	TCONS_00195023_chc	3.919	30.1
ENSG00000253829	XLOC_037083_chc	ENST00000459965	TCONS_00184534_chc	4.988	14.88
ENSG00000275248	XLOC_006991_chc	ENST00000614629	TCONS_00020266_chc	5.904	33.921
ENSG00000250069	XLOC_032284_chc	ENST00000508713	TCONS_00153629_chc	4.121	52.773
ENSG00000272195	XLOC_014782_chc	ENST00000607453	TCONS_00057814_chc	9.406	54.2
ENSG00000203709	XLOC_038564_chc	ENST00000608023	TCONS_00193181_chc	11.468	78.517
ENSG00000240219	XLOC_038342_chc	ENST00000444037	TCONS_00192100_chc	8.839	144.733
ENSG00000223561	XLOC_011877_chc	ENST00000446840	TCONS_00042492_chc	4.785	18.9
ENSG00000261033	XLOC_035545_chc	ENST00000564549	TCONS_00173749_chc	3.466	108.801
ENSG00000256364	XLOC_033551_chc	ENST00000541383	TCONS_00163105_chc	4.976	35.644
ENSG00000249346	XLOC_038437_chc	ENST00000525746	TCONS_00192454_chc	4.49	32.477
ENSG00000239322	XLOC_037110_chc	ENST00000447639	TCONS_00184679_chc	5.933	62.99
ENSG00000260340	XLOC_030542_chc	ENST00000569104	TCONS_00141967_chc	6.162	17.059
ENSG00000260416	XLOC_036433_chc	ENST00000567259	TCONS_00179300_chc	3.651	31.754
ENSG00000229951	XLOC_014650_chc	ENST00000445878	TCONS_00057345_chc	5.511	53.079
ENSG00000248767	XLOC_033125_chc	ENST00000510017	TCONS_00156934_chc	10.285	15.353
ENSG00000255153	XLOC_023489_chc	ENST00000530897	TCONS_00097447_chc	4.193	5.635
ENSG00000236088	XLOC_035108_chc	ENST00000602743	TCONS_00170082_chc	4.464	20.718
ENSG00000243766	XLOC_011882_chc	ENST00000521028	TCONS_00042518_chc	9.986	36.524
ENSG00000240990	XLOC_008994_chc	ENST00000520360	TCONS_00034954_chc	8.725	40.55
ENSG00000274020	XLOC_027286_chc	ENST00000622328	TCONS_00121338_chc	3.929	48.566
ENSG00000255248	XLOC_037917_chc	ENST00000527474	TCONS_00189386_chc	13.885	35.534
ENSG00000234292	XLOC_040630_chc	ENST00000440769	TCONS_00202101_chc	5.656	50.412
ENSG00000229971	XLOC_001033_chc	ENST00000433970	TCONS_00003295_chc	4.521	39.715
ENSG00000272870	XLOC_021078_chc	ENST00000609900	TCONS_00091729_chc	5.929	17.967
ENSG00000246067	XLOC_003993_chc	ENST00000533708	TCONS_00011564_chc	8.691	87.491
ENSG00000276728	XLOC_038751_chc	ENST00000612013	TCONS_00194653_chc	5.321	65.906
ENSG00000246100	XLOC_037983_chc	ENST00000499809	TCONS_00189779_chc	6.32	39.417
ENSG00000254187	XLOC_031954_chc	ENST00000522956	TCONS_00153300_chc	5.081	69.289
ENSG00000279778	XLOC_027484_chc	ENST00000623157	TCONS_00122244_chc	4.366	72.431
ENSG00000245870	XLOC_019779_chc	ENST00000498940	TCONS_00078951_chc	6.023	23.115
ENSG00000225783	XLOC_033597_chc	ENST00000616469	TCONS_00160410_chc	8.513	33.645
ENSG00000261771	XLOC_029524_chc	ENST00000568310	TCONS_00136076_chc	3.923	49.434
ENSG00000257935	XLOC_034089_chc	ENST00000551357	TCONS_00162935_chc	4.035	50.127
ENSG00000270082	XLOC_030569_chc	ENST00000602665	TCONS_00142049_chc	5.393	71.818
ENSG00000241490	XLOC_005895_chc	ENST00000493033	TCONS_00017191_chc	4.732	26.495
ENSG00000267007	XLOC_039450_chc	ENST00000586259	TCONS_00199048_chc	6.4	28.526
ENSG00000264451	XLOC_039028_chc	ENST00000579972	TCONS_00195960_chc	4.916	27.579
ENSG00000231898	XLOC_026159_chc	ENST00000608325	TCONS_00114408_chc	4.181	20.236
ENSG00000259779	XLOC_012996_chc	ENST00000562582	TCONS_00045357_chc	4.461	22.299
ENSG00000224397	XLOC_036372_chc	ENST00000425497	TCONS_00179098_chc	7.229	47.631
ENSG00000280177	XLOC_038840_chc	ENST00000623613	TCONS_00195056_chc	6.008	43.898
ENSG00000227373	XLOC_027891_chc	ENST00000419983	TCONS_00124213_chc	4.222	4.387
ENSG00000259037	XLOC_024256_chc	ENST00000556073	TCONS_00100526_chc	4.997	5.745
ENSG00000260580	XLOC_032847_chc	ENST00000562900	TCONS_00155167_chc	13	202.473
ENSG00000243902	XLOC_005141_chc	ENST00000452946	TCONS_00014781_chc	5.859	6.678
ENSG00000229893	XLOC_011882_chc	ENST00000441955	TCONS_00042518_chc	8.673	20.96
ENSG00000255571	XLOC_030209_chc	ENST00000561327	TCONS_00139234_chc	9.976	37.891
ENSG00000229191	XLOC_038274_chc	ENST00000458003	TCONS_00191816_chc	11.67	19.553
ENSG00000271434	XLOC_025767_chc	ENST00000440536	TCONS_00110467_chc	8.372	42.804
ENSG00000261357	XLOC_032873_chc	ENST00000565802	TCONS_00155410_chc	4.328	81.295
ENSG00000256546	XLOC_033846_chc	ENST00000423999	TCONS_00161594_chc	4.293	22.995
ENSG00000273069	XLOC_035639_chc	ENST00000608433	TCONS_00174356_chc	5.935	73.493
ENSG00000237463	XLOC_027867_chc	ENST00000438275	TCONS_00124018_chc	6.296	20.928
ENSG00000231864	XLOC_034247_chc	ENST00000456356	TCONS_00164948_chc	3.981	73.354
ENSG00000261253	XLOC_030589_chc	ENST00000562995	TCONS_00142089_chc	4.612	64.278
ENSG00000232788	XLOC_026147_chc	ENST00000458314	TCONS_00114366_chc	5.047	90.293
ENSG00000259673	XLOC_030155_chc	ENST00000559298	TCONS_00139091_chc	7.728	22.986
ENSG00000250397	XLOC_021991_chc	ENST00000506172	TCONS_00092014_chc	12.934	40.599
ENSG00000275830	XLOC_007027_chc	ENST00000617298	TCONS_00020357_chc	4.32	46.909
ENSG00000235296	XLOC_035044_chc	ENST00000415556	TCONS_00169713_chc	6.213	22.829
ENSG00000273920	XLOC_030066_chc	ENST00000621471	TCONS_00138504_chc	5.481	48.318
ENSG00000233002	XLOC_035766_chc	ENST00000433873	TCONS_00174998_chc	3.518	16.008
ENSG00000267493	XLOC_039494_chc	ENST00000585832	TCONS_00198436_chc	4.734	52.526
ENSG00000255345	XLOC_008125_chc	ENST00000526091	TCONS_00022604_chc	4.886	50.498
ENSG00000246582	XLOC_037099_chc	ENST00000517774	TCONS_00184593_chc	6.49	43.183
ENSG00000267373	XLOC_039494_chc	ENST00000587693	TCONS_00198436_chc	4.964	21.714
ENSG00000204241	XLOC_037716_chc	ENST00000532706	TCONS_00188601_chc	5.444	27.979
ENSG00000269982	XLOC_031134_chc	ENST00000602436	TCONS_00145658_chc	7.336	112.539
ENSG00000277559	XLOC_030343_chc	ENST00000616682	TCONS_00141232_chc	3.831	49.251
ENSG00000235919	XLOC_038158_chc	ENST00000456633	TCONS_00191637_chc	11.076	82.823
ENSG00000259623	XLOC_039100_chc	ENST00000560400	TCONS_00196255_chc	4.423	34.373
ENSG00000261386	XLOC_030238_chc	ENST00000605277	TCONS_00140787_chc	11.964	63.439
ENSG00000241288	XLOC_026331_chc	ENST00000468859	TCONS_00115203_chc	4.403	111.253
ENSG00000225113	XLOC_038312_chc	ENST00000436416	TCONS_00191930_chc	4.389	13.666
ENSG00000281189	XLOC_009409_chc	ENST00000627071	TCONS_00036184_chc	5.587	75.697
ENSG00000278901	XLOC_032259_chc	ENST00000625195	TCONS_00151612_chc	13.031	24.76
ENSG00000259519	XLOC_029859_chc	ENST00000560034	TCONS_00139957_chc	8.621	58.217
ENSG00000237512	XLOC_025368_chc	ENST00000447119	TCONS_00108689_chc	4.842	94.27
ENSG00000230551	XLOC_032406_chc	ENST00000499521	TCONS_00152119_chc	7.639	37.061
ENSG00000231817	XLOC_003530_chc	ENST00000595532	TCONS_00010343_chc	3.988	36.037
ENSG00000223576	XLOC_007892_chc	ENST00000422148	TCONS_00022118_chc	4.811	43.586
ENSG00000227128	XLOC_024891_chc	ENST00000430651	TCONS_00106850_chc	16.677	49.586
ENSG00000266505	XLOC_003713_chc	ENST00000585222	TCONS_00010878_chc	4.102	70.605
ENSG00000259031	XLOC_022896_chc	ENST00000553301	TCONS_00095361_chc	7.964	26.589
ENSG00000239205	XLOC_028799_chc	ENST00000472120	TCONS_00130593_chc	5.406	188.948
ENSG00000259840	XLOC_033364_chc	ENST00000567096	TCONS_00157930_chc	5.495	48.841
ENSG00000224675	XLOC_027157_chc	ENST00000434635	TCONS_00120327_chc	4.931	31.334
ENSG00000273214	XLOC_005135_chc	ENST00000609265	TCONS_00014775_chc	3.618	60.166
ENSG00000258875	XLOC_024055_chc	ENST00000554096	TCONS_00099974_chc	9.838	56.189
ENSG00000272720	XLOC_005157_chc	ENST00000609162	TCONS_00014813_chc	6.023	40.921
ENSG00000261146	XLOC_028492_chc	ENST00000566529	TCONS_00129233_chc	4.131	37.951
ENSG00000267121	XLOC_038752_chc	ENST00000591365	TCONS_00194661_chc	8.772	47.853
ENSG00000254002	XLOC_037199_chc	ENST00000520375	TCONS_00185087_chc	3.531	96.258
ENSG00000232557	XLOC_037291_chc	ENST00000411815	TCONS_00185814_chc	4.611	109.966
ENSG00000273449	XLOC_018986_chc	ENST00000609356	TCONS_00076138_chc	3.242	57.891
ENSG00000279047	XLOC_031861_chc	ENST00000623741	TCONS_00150061_chc	5.795	31.754
ENSG00000279811	XLOC_010068_chc	ENST00000624814	TCONS_00037754_chc	4.053	42.391
ENSG00000261504	XLOC_027318_chc	ENST00000566297	TCONS_00121477_chc	4.244	60.008
ENSG00000225761	XLOC_025441_chc	ENST00000416076	TCONS_00108926_chc	4.336	58.998
ENSG00000263110	XLOC_030782_chc	ENST00000573819	TCONS_00143012_chc	8.917	59.199
ENSG00000253390	XLOC_037170_chc	ENST00000521021	TCONS_00184973_chc	6.602	25.108
ENSG00000257605	XLOC_044125_chc	ENST00000550263	TCONS_00215408_chc	5.619	20.149
ENSG00000272219	XLOC_035742_chc	ENST00000606640	TCONS_00174867_chc	7.034	44.989
ENSG00000276533	XLOC_029517_chc	ENST00000611214	TCONS_00136026_chc	3.598	28.274
ENSG00000240562	XLOC_031651_chc	ENST00000479610	TCONS_00147707_chc	4.487	67.148
ENSG00000226716	XLOC_038234_chc	ENST00000429230	TCONS_00191364_chc	3.506	59.777
ENSG00000233017	XLOC_036053_chc	ENST00000433121	TCONS_00177599_chc	3.958	38.151
ENSG00000270182	XLOC_011882_chc	ENST00000602610	TCONS_00042518_chc	5.575	22.204
ENSG00000270362	XLOC_017864_chc	ENST00000604516	TCONS_00066667_chc	7.773	52.949
ENSG00000272791	XLOC_025440_chc	ENST00000609434	TCONS_00108921_chc	7.472	84.378
ENSG00000260392	XLOC_029524_chc	ENST00000562300	TCONS_00136077_chc	5.595	63.369
ENSG00000261691	XLOC_032981_chc	ENST00000565879	TCONS_00155976_chc	6.58	63.314
ENSG00000263412	XLOC_038825_chc	ENST00000578660	TCONS_00195001_chc	7.251	39.407
ENSG00000198685	XLOC_031223_chc	ENST00000356020	TCONS_00146096_chc	6.58	56.274
ENSG00000224635	XLOC_036327_chc	ENST00000422519	TCONS_00180784_chc	6.145	64.334
ENSG00000181798	XLOC_028708_chc	ENST00000313064	TCONS_00130215_chc	6.504	51.388
ENSG00000281207	XLOC_037494_chc	ENST00000626479	TCONS_00186740_chc	9.764	43.49
ENSG00000273420	XLOC_030444_chc	ENST00000609744	TCONS_00141568_chc	11.028	51.483
ENSG00000279201	XLOC_037196_chc	ENST00000624449	TCONS_00185076_chc	6.606	38.039
ENSG00000260482	XLOC_032826_chc	ENST00000565266	TCONS_00155015_chc	4.589	55.79
ENSG00000231057	XLOC_016770_chc	ENST00000421933	TCONS_00063577_chc	8.579	126.962
ENSG00000279632	XLOC_022293_chc	ENST00000623917	TCONS_00093219_chc	10.41	99.089
ENSG00000255856	XLOC_033552_chc	ENST00000616576	TCONS_00160134_chc	4.933	48.513
ENSG00000246582	XLOC_037052_chc	ENST00000500853	TCONS_00184449_chc	9.769	43.139
ENSG00000280205	XLOC_010060_chc	ENST00000624840	TCONS_00037733_chc	6.608	22.858
ENSG00000231754	XLOC_009490_chc	ENST00000447728	TCONS_00036430_chc	10.785	0.603
ENSG00000254369	XLOC_011882_chc	ENST00000518947	TCONS_00042518_chc	11.499	38.449
ENSG00000260588	XLOC_037214_chc	ENST00000563810	TCONS_00185162_chc	7.306	60.956
ENSG00000232633	XLOC_041813_chc	ENST00000416046	TCONS_00205494_chc	6.667	59.12
ENSG00000231889	XLOC_017623_chc	ENST00000532226	TCONS_00066091_chc	5.26	32.354
ENSG00000261669	XLOC_032833_chc	ENST00000568895	TCONS_00155046_chc	6.333	44.403
ENSG00000261959	XLOC_038780_chc	ENST00000572855	TCONS_00194753_chc	5.991	40.389
ENSG00000272711	XLOC_037197_chc	ENST00000610008	TCONS_00185080_chc	9.42	41.448
ENSG00000267002	XLOC_038844_chc	ENST00000634503	TCONS_00195086_chc	9.464	30.571
ENSG00000265800	XLOC_035351_chc	ENST00000584339	TCONS_00171438_chc	7.608	98.485
ENSG00000180422	XLOC_030589_chc	ENST00000321214	TCONS_00142092_chc	6.625	95.439
ENSG00000244380	XLOC_031695_chc	ENST00000435578	TCONS_00147914_chc	6.491	28.919
ENSG00000241684	XLOC_031315_chc	ENST00000460833	TCONS_00149919_chc	3.999	50.502
ENSG00000272056	XLOC_016135_chc	ENST00000607407	TCONS_00070188_chc	3.518	22.973
ENSG00000278942	XLOC_032957_chc	ENST00000623168	TCONS_00155790_chc	4.124	72.681
ENSG00000254860	XLOC_022127_chc	ENST00000525484	TCONS_00092577_chc	5.324	26.401
ENSG00000279833	XLOC_005164_chc	ENST00000624656	TCONS_00014822_chc	7.52	29.228
ENSG00000262920	XLOC_035524_chc	ENST00000572998	TCONS_00173329_chc	5.333	26.432
ENSG00000233175	XLOC_038757_chc	ENST00000587534	TCONS_00194683_chc	7.941	36.246
ENSG00000232598	XLOC_038491_chc	ENST00000427609	TCONS_00192805_chc	5.139	79.444
ENSG00000224842	XLOC_034479_chc	ENST00000432418	TCONS_00166129_chc	3.653	65.462
ENSG00000280099	XLOC_027481_chc	ENST00000624216	TCONS_00122225_chc	4.641	64.574
ENSG00000265799	XLOC_039077_chc	ENST00000584649	TCONS_00196146_chc	6.923	49.705
ENSG00000229832	XLOC_016770_chc	ENST00000447949	TCONS_00063578_chc	3.685	13.491
ENSG00000243629	XLOC_028847_chc	ENST00000471357	TCONS_00130819_chc	4.467	56.07
ENSG00000229792	XLOC_006991_chc	ENST00000439008	TCONS_00020266_chc	4.673	21.581
ENSG00000272798	XLOC_033591_chc	ENST00000609964	TCONS_00160366_chc	4.267	29.458
ENSG00000231177	XLOC_031134_chc	ENST00000538717	TCONS_00145658_chc	4.662	24.587
ENSG00000225733	XLOC_031581_chc	ENST00000417835	TCONS_00147398_chc	8.928	108.173
ENSG00000260156	XLOC_030675_chc	ENST00000567186	TCONS_00142578_chc	5.394	50.357
ENSG00000264808	XLOC_035787_chc	ENST00000577218	TCONS_00175114_chc	9.841	50.368
ENSG00000249641	XLOC_044125_chc	ENST00000512916	TCONS_00215407_chc	6.84	36.265
ENSG00000279328	XLOC_031255_chc	ENST00000624121	TCONS_00146166_chc	3.617	85.456
ENSG00000182057	XLOC_005092_chc	ENST00000332965	TCONS_00027623_chc	7.143	94.126
ENSG00000229122	XLOC_018342_chc	ENST00000411862	TCONS_00067860_chc	5.815	47.196
ENSG00000267214	XLOC_039387_chc	ENST00000592525	TCONS_00199224_chc	5.053	41.807
ENSG00000242125	XLOC_037288_chc	ENST00000413987	TCONS_00185771_chc	4.321	26.22
ENSG00000267466	XLOC_035284_chc	ENST00000585798	TCONS_00170899_chc	11.415	47.002
ENSG00000261826	XLOC_028522_chc	ENST00000567488	TCONS_00129445_chc	5.453	70.487
ENSG00000226791	XLOC_006849_chc	ENST00000623301	TCONS_00019775_chc	5.032	41.998
ENSG00000279708	XLOC_030213_chc	ENST00000624115	TCONS_00139251_chc	14.017	23.019
ENSG00000260940	XLOC_028014_chc	ENST00000561748	TCONS_00124686_chc	5.268	18.319
ENSG00000233766	XLOC_025967_chc	ENST00000609952	TCONS_00113499_chc	4.504	99.926
ENSG00000228812	XLOC_036058_chc	ENST00000456721	TCONS_00177651_chc	7.097	107.769
ENSG00000256197	XLOC_005706_chc	ENST00000539784	TCONS_00016417_chc	4.784	15.644
ENSG00000230027	XLOC_028375_chc	ENST00000434540	TCONS_00126462_chc	11.722	56.79
ENSG00000260563	XLOC_035267_chc	ENST00000566986	TCONS_00170824_chc	6.206	43.174
ENSG00000262420	XLOC_033053_chc	ENST00000572811	TCONS_00156567_chc	9.875	59.071
ENSG00000242797	XLOC_031514_chc	ENST00000467187	TCONS_00147113_chc	7.558	26.351
ENSG00000203804	XLOC_038239_chc	ENST00000369035	TCONS_00191393_chc	3.77	16.583
ENSG00000235007	XLOC_034360_chc	ENST00000427080	TCONS_00165333_chc	6.215	50.877
ENSG00000228956	XLOC_009049_chc	ENST00000414198	TCONS_00035091_chc	10.951	21.705
ENSG00000180769	XLOC_021137_chc	ENST00000624443	TCONS_00091200_chc	4.285	28.953
ENSG00000229414	XLOC_022188_chc	ENST00000440887	TCONS_00092891_chc	5.645	38.822
ENSG00000259456	XLOC_036230_chc	ENST00000558899	TCONS_00178389_chc	4	16.062
ENSG00000254554	XLOC_022115_chc	ENST00000526906	TCONS_00092474_chc	8.068	23.284
ENSG00000280053	XLOC_031655_chc	ENST00000625022	TCONS_00149347_chc	6.546	131.379
ENSG00000272677	XLOC_021136_chc	ENST00000609552	TCONS_00083869_chc	11.721	29.489
ENSG00000280424	XLOC_001474_chc	ENST00000624893	TCONS_00004972_chc	9.677	82.39
ENSG00000259764	XLOC_029965_chc	ENST00000558696	TCONS_00138115_chc	3.071	82.199
ENSG00000259945	XLOC_030229_chc	ENST00000563083	TCONS_00140740_chc	4.176	21.92
ENSG00000268650	XLOC_039494_chc	ENST00000594805	TCONS_00198435_chc	4.455	16.956
ENSG00000273356	XLOC_031086_chc	ENST00000609204	TCONS_00145466_chc	4.672	25.792
ENSG00000153363	XLOC_016771_chc	ENST00000534914	TCONS_00070826_chc	6.361	20.53
ENSG00000259177	XLOC_030219_chc	ENST00000560578	TCONS_00139260_chc	3.991	54.039
ENSG00000228135	XLOC_026245_chc	ENST00000419511	TCONS_00114827_chc	5.671	75.798
ENSG00000281406	XLOC_038535_chc	ENST00000626538	TCONS_00192994_chc	6.462	10.316
ENSG00000236535	XLOC_027333_chc	ENST00000421851	TCONS_00126716_chc	6.462	33.488
ENSG00000225470	XLOC_018802_chc	ENST00000602772	TCONS_00075383_chc	5.432	95.337
ENSG00000279630	XLOC_033895_chc	ENST00000551683	TCONS_00161965_chc	8.021	53.84
ENSG00000257449	XLOC_047675_chc	ENST00000551846	TCONS_00225575_chc	3.98	45.435
ENSG00000280486	XLOC_039222_chc	ENST00000626781	TCONS_00197344_chc	5.019	34.108
ENSG00000267790	XLOC_035298_chc	ENST00000593118	TCONS_00170959_chc	7.719	26.529
ENSG00000279187	XLOC_035019_chc	ENST00000624065	TCONS_00169597_chc	8.859	55.324
ENSG00000262445	XLOC_035501_chc	ENST00000574520	TCONS_00173243_chc	5.844	62.444
ENSG00000238020	XLOC_028727_chc	ENST00000431427	TCONS_00130299_chc	3.945	98.494
ENSG00000254837	XLOC_008205_chc	ENST00000526036	TCONS_00030306_chc	3.276	35.393
ENSG00000234693	XLOC_036611_chc	ENST00000435177	TCONS_00179970_chc	4.587	73.741
ENSG00000260589	XLOC_008713_chc	ENST00000563601	TCONS_00034061_chc	7.753	21.534
ENSG00000275936	XLOC_033971_chc	ENST00000617183	TCONS_00162436_chc	5.111	45.891
ENSG00000223534	XLOC_034159_chc	ENST00000419852	TCONS_00164563_chc	4.395	59.426
ENSG00000215483	XLOC_003628_chc	ENST00000636621	TCONS_00010654_chc	8.314	61.047
ENSG00000229191	XLOC_027205_chc	ENST00000446333	TCONS_00121149_chc	5.394	57.986
ENSG00000224596	XLOC_024693_chc	ENST00000428862	TCONS_00106025_chc	6.459	61.736
ENSG00000279160	XLOC_026806_chc	ENST00000623777	TCONS_00117125_chc	5.234	47.535
ENSG00000241084	XLOC_034336_chc	ENST00000435157	TCONS_00165247_chc	5.412	50.248
ENSG00000256092	XLOC_033849_chc	ENST00000602918	TCONS_00161611_chc	17.768	39.032
ENSG00000280003	XLOC_031475_chc	ENST00000624096	TCONS_00146973_chc	4.881	95.359
ENSG00000233101	XLOC_039012_chc	ENST00000487849	TCONS_00195915_chc	10.583	29.309
ENSG00000259895	XLOC_033381_chc	ENST00000563775	TCONS_00158015_chc	11.657	22.997
ENSG00000275542	XLOC_035304_chc	ENST00000622907	TCONS_00171014_chc	5.705	102.427
