human gene	cow gene	human transcript	cow transcript	motif-pattern similarity score	gap penalty score
ENSG00000278957	XLOC_030881_cow	ENST00000623734	TCONS_00102789_cow	13.336	12.679
ENSG00000203721	XLOC_042880_cow	ENST00000367355	TCONS_00144189_cow	4.629	22.727
ENSG00000259267	XLOC_063261_cow	ENST00000560700	TCONS_00223118_cow	4.33	27.996
ENSG00000283355	XLOC_061968_cow	ENST00000636429	TCONS_00219226_cow	5.53	22.891
ENSG00000153363	XLOC_042748_cow	ENST00000423222	TCONS_00143838_cow	5.994	72.243
ENSG00000279907	XLOC_045012_cow	ENST00000624587	TCONS_00163134_cow	5.814	19.092
ENSG00000257756	XLOC_013574_cow	ENST00000551202	TCONS_00044279_cow	4.433	29.618
ENSG00000224090	XLOC_004346_cow	ENST00000441450	TCONS_00012572_cow	4.48	44.038
ENSG00000227432	XLOC_005840_cow	ENST00000429882	TCONS_00016420_cow	4.601	11.864
ENSG00000242207	XLOC_049577_cow	ENST00000480386	TCONS_00172370_cow	8.132	84.871
ENSG00000234006	XLOC_056784_cow	ENST00000416684	TCONS_00199160_cow	4.649	71.706
ENSG00000272582	XLOC_013970_cow	ENST00000609976	TCONS_00045442_cow	7.176	48.747
ENSG00000228274	XLOC_015623_cow	ENST00000422408	TCONS_00050164_cow	15.703	28.299
ENSG00000224514	XLOC_055236_cow	ENST00000419618	TCONS_00193096_cow	4.101	13.82
ENSG00000272183	XLOC_030708_cow	ENST00000606287	TCONS_00102219_cow	4.82	32.455
ENSG00000273069	XLOC_059366_cow	ENST00000608433	TCONS_00208945_cow	6.209	48.559
ENSG00000257048	XLOC_015540_cow	ENST00000542449	TCONS_00049741_cow	3.762	51.909
ENSG00000260573	XLOC_045137_cow	ENST00000637635	TCONS_00164941_cow	4.827	46.039
ENSG00000226009	XLOC_060743_cow	ENST00000412353	TCONS_00214663_cow	8.685	49.521
ENSG00000272374	XLOC_056483_cow	ENST00000605896	TCONS_00198264_cow	9.324	40.065
ENSG00000272345	XLOC_056064_cow	ENST00000607014	TCONS_00197218_cow	5.996	63.967
ENSG00000224713	XLOC_013255_cow	ENST00000356672	TCONS_00043292_cow	5.019	48.299
ENSG00000279283	XLOC_059279_cow	ENST00000624048	TCONS_00208731_cow	8.394	11.352
ENSG00000237149	XLOC_063321_cow	ENST00000425916	TCONS_00223368_cow	7.42	63.922
ENSG00000232358	XLOC_035138_cow	ENST00000424566	TCONS_00117937_cow	3.816	26.842
ENSG00000244479	XLOC_012363_cow	ENST00000462305	TCONS_00038900_cow	13.681	18.156
ENSG00000230084	XLOC_054693_cow	ENST00000445452	TCONS_00191216_cow	8.041	59.427
ENSG00000257935	XLOC_044524_cow	ENST00000551357	TCONS_00150581_cow	4.344	28.116
ENSG00000283662	XLOC_059199_cow	ENST00000635780	TCONS_00208381_cow	13.511	37.552
ENSG00000272729	XLOC_003508_cow	ENST00000608941	TCONS_00017927_cow	5.731	11.524
ENSG00000250790	XLOC_044266_cow	ENST00000503695	TCONS_00149839_cow	6.112	44.673
ENSG00000270117	XLOC_065230_cow	ENST00000602344	TCONS_00229817_cow	7.03	27.803
ENSG00000270141	XLOC_000908_cow	ENST00000602385	TCONS_00002181_cow	6.489	50.698
ENSG00000242512	XLOC_002361_cow	ENST00000614303	TCONS_00005606_cow	5.875	56.046
ENSG00000249094	XLOC_044567_cow	ENST00000446473	TCONS_00150785_cow	5.48	21.762
ENSG00000237125	XLOC_021612_cow	ENST00000503198	TCONS_00073042_cow	4.264	16.53
ENSG00000246640	XLOC_048190_cow	ENST00000499842	TCONS_00167538_cow	3.919	53.801
ENSG00000146521	XLOC_026061_cow	ENST00000366822	TCONS_00085808_cow	6.881	12.604
ENSG00000274373	XLOC_043376_cow	ENST00000622182	TCONS_00147184_cow	4.791	29.175
ENSG00000245149	XLOC_036772_cow	ENST00000499418	TCONS_00124669_cow	4.96	25.08
ENSG00000262558	XLOC_049234_cow	ENST00000571512	TCONS_00170786_cow	5.49	60.632
ENSG00000272870	XLOC_022766_cow	ENST00000608794	TCONS_00079820_cow	5.476	26.287
ENSG00000261643	XLOC_017024_cow	ENST00000564650	TCONS_00055821_cow	4.054	47.587
ENSG00000277186	XLOC_043369_cow	ENST00000613771	TCONS_00147173_cow	5.898	27.025
ENSG00000269792	XLOC_046825_cow	ENST00000594676	TCONS_00160385_cow	9.261	48.243
ENSG00000278872	XLOC_043376_cow	ENST00000625164	TCONS_00147184_cow	9.242	37.983
ENSG00000274993	XLOC_060257_cow	ENST00000618276	TCONS_00211741_cow	9.508	134.989
ENSG00000269982	XLOC_054729_cow	ENST00000602436	TCONS_00191319_cow	6.891	49.607
ENSG00000279394	XLOC_053051_cow	ENST00000624650	TCONS_00184922_cow	9.083	78.326
ENSG00000279243	XLOC_065260_cow	ENST00000622944	TCONS_00229885_cow	10.771	23.717
ENSG00000261669	XLOC_059998_cow	ENST00000568895	TCONS_00210894_cow	10.106	25.399
ENSG00000267737	XLOC_050024_cow	ENST00000586583	TCONS_00173887_cow	4.163	28.358
ENSG00000259891	XLOC_036626_cow	ENST00000564464	TCONS_00124273_cow	4.364	54.017
ENSG00000266290	XLOC_048932_cow	ENST00000584805	TCONS_00170087_cow	7.189	48.915
ENSG00000256232	XLOC_013561_cow	ENST00000541749	TCONS_00044260_cow	4.734	62.704
ENSG00000279080	XLOC_013985_cow	ENST00000624072	TCONS_00045493_cow	10.816	33.713
ENSG00000264177	XLOC_048103_cow	ENST00000579352	TCONS_00167259_cow	17.799	49.26
ENSG00000259291	XLOC_052982_cow	ENST00000620791	TCONS_00184628_cow	6.19	35.177
ENSG00000259772	XLOC_053087_cow	ENST00000559094	TCONS_00185015_cow	5.616	56.046
ENSG00000267283	XLOC_019234_cow	ENST00000587498	TCONS_00063896_cow	3.711	24.839
ENSG00000228630	XLOC_012885_cow	ENST00000425595	TCONS_00042281_cow	10.525	51.494
ENSG00000236333	XLOC_014243_cow	ENST00000426250	TCONS_00046275_cow	9.207	11.247
ENSG00000273145	XLOC_014135_cow	ENST00000608290	TCONS_00045920_cow	9.778	23.289
ENSG00000260060	XLOC_059257_cow	ENST00000565152	TCONS_00208649_cow	4.087	40.404
ENSG00000229873	XLOC_034688_cow	ENST00000431361	TCONS_00116507_cow	3.395	15.058
ENSG00000278901	XLOC_019386_cow	ENST00000625195	TCONS_00064481_cow	9.561	38.038
ENSG00000273267	XLOC_017176_cow	ENST00000608962	TCONS_00056320_cow	8.842	36.407
ENSG00000280138	XLOC_043477_cow	ENST00000623210	TCONS_00147379_cow	8.657	39.62
ENSG00000248668	XLOC_051440_cow	ENST00000508458	TCONS_00179418_cow	4.368	45.318
ENSG00000231882	XLOC_033866_cow	ENST00000424635	TCONS_00112525_cow	3.836	16.583
ENSG00000262231	XLOC_049322_cow	ENST00000571062	TCONS_00171112_cow	3.902	72.607
ENSG00000231050	XLOC_042437_cow	ENST00000412228	TCONS_00145250_cow	4.591	20.133
ENSG00000267543	XLOC_050054_cow	ENST00000590241	TCONS_00174036_cow	6.548	29.852
ENSG00000259604	XLOC_052806_cow	ENST00000558475	TCONS_00184081_cow	5.258	62.342
ENSG00000241770	XLOC_002579_cow	ENST00000480817	TCONS_00005998_cow	4.509	27.884
ENSG00000256028	XLOC_044395_cow	ENST00000540866	TCONS_00150155_cow	6.007	25.69
ENSG00000245148	XLOC_039168_cow	ENST00000500163	TCONS_00136471_cow	3.568	68.255
ENSG00000233203	XLOC_009303_cow	ENST00000455380	TCONS_00028753_cow	4.139	146.59
ENSG00000264769	XLOC_049952_cow	ENST00000580897	TCONS_00173680_cow	12.602	25.405
ENSG00000264569	XLOC_049952_cow	ENST00000584705	TCONS_00173679_cow	4.254	46.019
ENSG00000248550	XLOC_027091_cow	ENST00000534909	TCONS_00090601_cow	5.677	55.652
ENSG00000245869	XLOC_039920_cow	ENST00000498872	TCONS_00134001_cow	11.57	32.499
ENSG00000235919	XLOC_008311_cow	ENST00000456633	TCONS_00026136_cow	9.682	26.209
ENSG00000230969	XLOC_049507_cow	ENST00000419151	TCONS_00172052_cow	3.881	67.91
ENSG00000265800	XLOC_048708_cow	ENST00000584339	TCONS_00169490_cow	5.979	73.847
ENSG00000279488	XLOC_020699_cow	ENST00000624592	TCONS_00068548_cow	6.515	25.901
ENSG00000249196	XLOC_044313_cow	ENST00000512133	TCONS_00152460_cow	5.264	21.312
ENSG00000224090	XLOC_004352_cow	ENST00000441450	TCONS_00012623_cow	3.971	18.076
ENSG00000254369	XLOC_011885_cow	ENST00000518848	TCONS_00040342_cow	5.722	26.78
ENSG00000279406	XLOC_063261_cow	ENST00000623796	TCONS_00223119_cow	9.52	96.797
ENSG00000280407	XLOC_049952_cow	ENST00000624920	TCONS_00173679_cow	3.723	46.202
ENSG00000245870	XLOC_017775_cow	ENST00000498940	TCONS_00057671_cow	9.718	24.88
ENSG00000236434	XLOC_007670_cow	ENST00000422306	TCONS_00023977_cow	5.713	65.232
ENSG00000242049	XLOC_055258_cow	ENST00000471626	TCONS_00193159_cow	4.155	100.593
ENSG00000253187	XLOC_011879_cow	ENST00000523790	TCONS_00037756_cow	5.411	13.842
ENSG00000279382	XLOC_050071_cow	ENST00000622927	TCONS_00174117_cow	5.366	25.933
ENSG00000278901	XLOC_020828_cow	ENST00000625195	TCONS_00068963_cow	4.78	69.459
ENSG00000179082	XLOC_031710_cow	ENST00000316786	TCONS_00105017_cow	4.944	10.9
ENSG00000255458	XLOC_016586_cow	ENST00000529094	TCONS_00054839_cow	8.971	49.795
ENSG00000231898	XLOC_003571_cow	ENST00000608325	TCONS_00010899_cow	4.823	13.5
ENSG00000259289	XLOC_027747_cow	ENST00000558436	TCONS_00092353_cow	3.42	54.775
ENSG00000227920	XLOC_055525_cow	ENST00000414875	TCONS_00195614_cow	6.658	4.811
ENSG00000272259	XLOC_035891_cow	ENST00000607802	TCONS_00119939_cow	5.37	66.176
ENSG00000279801	XLOC_048630_cow	ENST00000624282	TCONS_00169149_cow	6.342	26.336
ENSG00000267474	XLOC_020125_cow	ENST00000589702	TCONS_00066479_cow	6.039	49.048
ENSG00000229452	XLOC_011855_cow	ENST00000416513	TCONS_00037710_cow	5.137	44.315
ENSG00000225057	XLOC_007999_cow	ENST00000456601	TCONS_00025085_cow	5.114	73.641
ENSG00000229743	XLOC_030675_cow	ENST00000433433	TCONS_00102103_cow	6.461	38.583
ENSG00000260895	XLOC_065372_cow	ENST00000567925	TCONS_00230199_cow	3.857	74.301
ENSG00000249086	XLOC_065408_cow	ENST00000509204	TCONS_00230280_cow	5.56	20.761
ENSG00000255794	XLOC_013369_cow	ENST00000547946	TCONS_00043709_cow	5.039	57.658
ENSG00000233056	XLOC_002950_cow	ENST00000447535	TCONS_00006869_cow	5.964	75.492
ENSG00000279415	XLOC_059063_cow	ENST00000623371	TCONS_00207963_cow	5.538	64.875
ENSG00000245261	XLOC_056626_cow	ENST00000500590	TCONS_00198773_cow	7.298	71.431
ENSG00000203721	XLOC_042880_cow	ENST00000636153	TCONS_00144189_cow	4.906	31.518
ENSG00000264575	XLOC_058439_cow	ENST00000581067	TCONS_00204684_cow	12.816	49.047
ENSG00000237737	XLOC_030690_cow	ENST00000412957	TCONS_00102131_cow	10.685	46.937
ENSG00000255775	XLOC_013865_cow	ENST00000539206	TCONS_00045044_cow	5.396	46.791
ENSG00000226791	XLOC_030603_cow	ENST00000623301	TCONS_00101909_cow	3.688	104.8
ENSG00000269091	XLOC_045865_cow	ENST00000599914	TCONS_00156965_cow	5.694	52.181
ENSG00000234425	XLOC_008186_cow	ENST00000446952	TCONS_00025687_cow	4.57	20.948
ENSG00000235663	XLOC_055818_cow	ENST00000419679	TCONS_00196538_cow	4.919	60.266
ENSG00000268218	XLOC_045067_cow	ENST00000602042	TCONS_00153996_cow	6.6	26.971
ENSG00000204054	XLOC_030312_cow	ENST00000419300	TCONS_00101051_cow	12.857	18.89
ENSG00000172250	XLOC_014064_cow	ENST00000455578	TCONS_00045780_cow	5.107	87.023
ENSG00000227463	XLOC_022344_cow	ENST00000423515	TCONS_00075018_cow	5.697	16.383
ENSG00000267757	XLOC_045714_cow	ENST00000623430	TCONS_00156329_cow	11.425	40.191
ENSG00000271327	XLOC_012788_cow	ENST00000605595	TCONS_00050908_cow	6.011	70.888
ENSG00000227373	XLOC_042527_cow	ENST00000419983	TCONS_00143195_cow	5.108	79.367
ENSG00000272473	XLOC_020659_cow	ENST00000606966	TCONS_00068403_cow	6.873	20.997
ENSG00000273026	XLOC_008351_cow	ENST00000608147	TCONS_00026317_cow	6.632	14.416
ENSG00000263146	XLOC_057441_cow	ENST00000575722	TCONS_00202320_cow	11.821	40.843
ENSG00000228812	XLOC_035891_cow	ENST00000456721	TCONS_00119940_cow	10.69	69.598
ENSG00000274367	XLOC_059710_cow	ENST00000621689	TCONS_00210195_cow	5.44	95.374
ENSG00000277757	XLOC_063456_cow	ENST00000599308	TCONS_00223806_cow	4.009	53.155
ENSG00000235262	XLOC_067696_cow	ENST00000412242	TCONS_00237451_cow	4.626	21.535
ENSG00000274554	XLOC_043557_cow	ENST00000617795	TCONS_00147764_cow	6.157	54.111
ENSG00000262251	XLOC_049355_cow	ENST00000571370	TCONS_00171373_cow	6.427	118.512
ENSG00000255143	XLOC_064644_cow	ENST00000530525	TCONS_00228290_cow	4.569	44.472
ENSG00000243902	XLOC_015144_cow	ENST00000452946	TCONS_00048712_cow	5.689	14.213
ENSG00000267106	XLOC_018748_cow	ENST00000586943	TCONS_00062292_cow	6.498	78.76
ENSG00000260617	XLOC_045048_cow	ENST00000566114	TCONS_00153910_cow	4.732	62.787
ENSG00000241084	XLOC_030308_cow	ENST00000435157	TCONS_00101020_cow	4.963	45.216
ENSG00000227543	XLOC_047778_cow	ENST00000554154	TCONS_00166184_cow	5.662	26.256
ENSG00000276122	XLOC_044312_cow	ENST00000611525	TCONS_00152455_cow	5.568	27.067
ENSG00000232539	XLOC_001567_cow	ENST00000453716	TCONS_00003838_cow	3.7	42.062
ENSG00000279757	XLOC_045372_cow	ENST00000623805	TCONS_00154997_cow	6.275	46.698
ENSG00000226950	XLOC_016691_cow	ENST00000411630	TCONS_00055059_cow	5.546	23.996
ENSG00000223492	XLOC_036333_cow	ENST00000432706	TCONS_00121292_cow	3.878	3.464
ENSG00000280202	XLOC_013898_cow	ENST00000624384	TCONS_00045154_cow	3.964	48.72
ENSG00000205037	XLOC_046330_cow	ENST00000378417	TCONS_00158829_cow	5.159	35.511
ENSG00000271344	XLOC_010803_cow	ENST00000605007	TCONS_00035025_cow	4.727	73.471
ENSG00000203804	XLOC_006795_cow	ENST00000617352	TCONS_00021840_cow	7.102	26.134
ENSG00000279630	XLOC_043636_cow	ENST00000551683	TCONS_00147979_cow	12.348	31.637
ENSG00000246067	XLOC_064852_cow	ENST00000533708	TCONS_00228765_cow	7.452	23.467
ENSG00000226510	XLOC_046764_cow	ENST00000443196	TCONS_00160101_cow	7.75	80.511
ENSG00000261407	XLOC_052971_cow	ENST00000570120	TCONS_00184548_cow	4.965	15.058
ENSG00000273162	XLOC_061351_cow	ENST00000609242	TCONS_00216502_cow	3.93	27.509
ENSG00000273466	XLOC_005819_cow	ENST00000607946	TCONS_00016353_cow	5.445	80.383
ENSG00000236051	XLOC_032517_cow	ENST00000636737	TCONS_00109678_cow	13.106	17.585
ENSG00000261437	XLOC_037327_cow	ENST00000562760	TCONS_00125860_cow	5.962	27.535
ENSG00000268686	XLOC_047092_cow	ENST00000599433	TCONS_00161451_cow	8.828	25.703
ENSG00000274080	XLOC_059366_cow	ENST00000619486	TCONS_00208946_cow	7.183	55.987
ENSG00000279821	XLOC_020587_cow	ENST00000623593	TCONS_00068140_cow	10.876	44.176
ENSG00000253408	XLOC_062798_cow	ENST00000521470	TCONS_00221177_cow	5.116	14.234
ENSG00000267939	XLOC_018820_cow	ENST00000599756	TCONS_00062590_cow	4.762	90.034
ENSG00000261335	XLOC_050041_cow	ENST00000565271	TCONS_00173970_cow	3.657	26.986
ENSG00000237941	XLOC_065393_cow	ENST00000441418	TCONS_00230233_cow	8.653	24.531
ENSG00000205500	XLOC_029929_cow	ENST00000380387	TCONS_00099957_cow	7.897	41.429
ENSG00000272405	XLOC_006648_cow	ENST00000605886	TCONS_00021174_cow	14.627	67.027
ENSG00000241990	XLOC_014156_cow	ENST00000416202	TCONS_00045991_cow	6.091	40.458
ENSG00000279756	XLOC_059984_cow	ENST00000623305	TCONS_00210872_cow	5.533	31.003
ENSG00000259887	XLOC_014510_cow	ENST00000562996	TCONS_00046991_cow	9.792	39.492
ENSG00000225075	XLOC_008680_cow	ENST00000421943	TCONS_00027176_cow	5.462	30.43
ENSG00000281183	XLOC_027819_cow	ENST00000628401	TCONS_00092545_cow	4.899	52.881
ENSG00000280399	XLOC_002791_cow	ENST00000624916	TCONS_00006509_cow	6.827	45.79
ENSG00000262413	XLOC_049943_cow	ENST00000576021	TCONS_00173636_cow	11.344	28.989
ENSG00000234880	XLOC_002981_cow	ENST00000439088	TCONS_00008699_cow	3.947	19.396
ENSG00000253396	XLOC_062238_cow	ENST00000521725	TCONS_00219894_cow	5.041	54.787
ENSG00000257958	XLOC_044509_cow	ENST00000548488	TCONS_00150553_cow	5.068	51.558
ENSG00000231636	XLOC_029932_cow	ENST00000444217	TCONS_00100011_cow	7.43	38.437
ENSG00000272888	XLOC_052905_cow	ENST00000553829	TCONS_00187215_cow	14.753	16.123
ENSG00000259430	XLOC_052814_cow	ENST00000560718	TCONS_00184098_cow	4.453	80.377
ENSG00000231156	XLOC_030881_cow	ENST00000423433	TCONS_00102789_cow	5.811	16.071
ENSG00000220256	XLOC_008025_cow	ENST00000407524	TCONS_00025170_cow	4.869	22.1
ENSG00000257605	XLOC_012898_cow	ENST00000550263	TCONS_00042317_cow	4.261	37.613
ENSG00000279198	XLOC_020041_cow	ENST00000624324	TCONS_00066301_cow	9.423	49.628
ENSG00000259910	XLOC_059648_cow	ENST00000563593	TCONS_00209968_cow	5.89	45.243
ENSG00000267439	XLOC_046776_cow	ENST00000591091	TCONS_00160151_cow	8.501	42.433
ENSG00000279656	XLOC_026502_cow	ENST00000624870	TCONS_00089004_cow	5.979	25.55
ENSG00000259415	XLOC_052075_cow	ENST00000559666	TCONS_00181910_cow	6.278	47.596
ENSG00000251387	XLOC_020813_cow	ENST00000506892	TCONS_00071661_cow	6.08	46.721
ENSG00000230148	XLOC_048214_cow	ENST00000435312	TCONS_00167652_cow	14.597	50.183
ENSG00000224596	XLOC_063851_cow	ENST00000428862	TCONS_00224854_cow	9.737	55.148
ENSG00000272477	XLOC_001514_cow	ENST00000607148	TCONS_00003712_cow	5.764	110.112
ENSG00000272888	XLOC_052897_cow	ENST00000557682	TCONS_00184327_cow	6.997	65.062
ENSG00000272768	XLOC_011975_cow	ENST00000608450	TCONS_00037940_cow	4.577	30.864
ENSG00000262319	XLOC_048103_cow	ENST00000573168	TCONS_00167261_cow	8.317	25.485
ENSG00000279525	XLOC_010056_cow	ENST00000624998	TCONS_00033278_cow	4.377	41.988
ENSG00000260777	XLOC_049164_cow	ENST00000564762	TCONS_00170575_cow	3.825	63.195
ENSG00000228271	XLOC_002194_cow	ENST00000440556	TCONS_00005104_cow	3.697	92.125
ENSG00000226397	XLOC_013611_cow	ENST00000549262	TCONS_00044392_cow	7.898	26.64
ENSG00000231453	XLOC_005077_cow	ENST00000420866	TCONS_00014691_cow	12.007	29.385
ENSG00000182873	XLOC_041426_cow	ENST00000333854	TCONS_00139723_cow	13.941	36.632
ENSG00000267348	XLOC_046990_cow	ENST00000586744	TCONS_00161021_cow	5.958	63.724
ENSG00000245532	XLOC_064541_cow	ENST00000499732	TCONS_00227834_cow	7.275	60.999
ENSG00000213599	XLOC_059218_cow	ENST00000566712	TCONS_00208480_cow	5.835	90.367
ENSG00000279726	XLOC_020827_cow	ENST00000624176	TCONS_00068957_cow	8.203	30.043
ENSG00000260482	XLOC_059140_cow	ENST00000565266	TCONS_00208179_cow	3.553	57.181
ENSG00000267992	XLOC_046835_cow	ENST00000597303	TCONS_00160458_cow	7.102	29.233
ENSG00000279174	XLOC_049364_cow	ENST00000623126	TCONS_00171435_cow	6.131	49.442
ENSG00000231133	XLOC_034664_cow	ENST00000447910	TCONS_00116422_cow	3.702	5.033
ENSG00000256546	XLOC_044406_cow	ENST00000538790	TCONS_00150207_cow	3.651	20.875
ENSG00000259799	XLOC_064628_cow	ENST00000565145	TCONS_00228236_cow	3.796	26.758
ENSG00000274667	XLOC_026914_cow	ENST00000614966	TCONS_00090222_cow	4.57	63.03
ENSG00000259177	XLOC_052979_cow	ENST00000560578	TCONS_00184625_cow	4.673	46.308
ENSG00000179219	XLOC_045002_cow	ENST00000366314	TCONS_00153762_cow	9.669	40.68
ENSG00000262691	XLOC_045312_cow	ENST00000573063	TCONS_00154719_cow	6.347	29.218
ENSG00000226349	XLOC_042154_cow	ENST00000428148	TCONS_00141847_cow	4.906	19.66
ENSG00000247081	XLOC_037197_cow	ENST00000523614	TCONS_00125579_cow	7.511	34.735
ENSG00000264985	XLOC_050118_cow	ENST00000583547	TCONS_00174317_cow	3.571	11.561
ENSG00000265511	XLOC_049502_cow	ENST00000582325	TCONS_00175976_cow	3.537	67.149
ENSG00000265749	XLOC_047996_cow	ENST00000583963	TCONS_00166868_cow	8.044	65.541
ENSG00000274215	XLOC_052905_cow	ENST00000614509	TCONS_00187215_cow	8.226	50.675
ENSG00000280383	XLOC_014143_cow	ENST00000623075	TCONS_00045960_cow	13.529	53.684
ENSG00000253390	XLOC_022263_cow	ENST00000521021	TCONS_00074781_cow	5.131	19.529
ENSG00000225936	XLOC_061558_cow	ENST00000425264	TCONS_00217081_cow	5.342	86.726
ENSG00000267665	XLOC_050024_cow	ENST00000592572	TCONS_00173889_cow	11.426	31.014
ENSG00000235475	XLOC_060195_cow	ENST00000430244	TCONS_00211511_cow	7.822	42.547
ENSG00000231476	XLOC_060398_cow	ENST00000421380	TCONS_00212337_cow	5.773	23.363
ENSG00000267568	XLOC_050008_cow	ENST00000563583	TCONS_00173828_cow	6.925	55.771
ENSG00000265287	XLOC_047778_cow	ENST00000579019	TCONS_00166184_cow	4.81	110.181
ENSG00000225399	XLOC_055069_cow	ENST00000440528	TCONS_00192590_cow	7.555	42.537
ENSG00000278999	XLOC_047045_cow	ENST00000624169	TCONS_00161214_cow	15.132	40.004
ENSG00000259854	XLOC_064638_cow	ENST00000562341	TCONS_00228261_cow	14.161	38.585
ENSG00000262580	XLOC_048606_cow	ENST00000573346	TCONS_00169034_cow	4.363	19.313
ENSG00000228906	XLOC_067526_cow	ENST00000444482	TCONS_00236895_cow	6.723	20.365
ENSG00000247137	XLOC_064149_cow	ENST00000624533	TCONS_00226659_cow	9.405	59.755
ENSG00000213373	XLOC_049764_cow	ENST00000417193	TCONS_00173042_cow	3.235	16.628
ENSG00000279622	XLOC_046286_cow	ENST00000625056	TCONS_00164043_cow	6.104	17.809
ENSG00000279019	XLOC_046496_cow	ENST00000623921	TCONS_00159327_cow	6.107	38.638
ENSG00000206028	XLOC_043731_cow	ENST00000382641	TCONS_00148260_cow	12.469	47.294
ENSG00000256092	XLOC_044381_cow	ENST00000602918	TCONS_00150094_cow	9.327	99.883
ENSG00000261801	XLOC_027825_cow	ENST00000565416	TCONS_00092564_cow	3.599	44.321
ENSG00000258497	XLOC_052617_cow	ENST00000555328	TCONS_00183384_cow	6.758	29.552
ENSG00000234072	XLOC_031333_cow	ENST00000447070	TCONS_00103942_cow	12.81	47.148
ENSG00000279604	XLOC_045008_cow	ENST00000624955	TCONS_00153817_cow	6.529	38.303
ENSG00000261026	XLOC_023418_cow	ENST00000566457	TCONS_00077749_cow	4.533	115.704
ENSG00000266980	XLOC_048698_cow	ENST00000586808	TCONS_00169414_cow	7.989	22.799
ENSG00000267892	XLOC_045561_cow	ENST00000602255	TCONS_00155692_cow	17.759	50.075
ENSG00000261175	XLOC_045022_cow	ENST00000569740	TCONS_00153846_cow	8.458	69.085
