human gene	zebrafish gene	human transcript	zebrafish transcript	motif-pattern similarity score	gap penalty score
ENSG00000231453	XLOC_021335_zbf	ENST00000420866	TCONS_00058902_zbf	11.43	80.868
ENSG00000279312	XLOC_028139_zbf	ENST00000625013	TCONS_00079369_zbf	3.774	41.689
ENSG00000279145	XLOC_036282_zbf	ENST00000623483	TCONS_00106699_zbf	4.205	34.313
ENSG00000259430	XLOC_018243_zbf	ENST00000560718	TCONS_00050041_zbf	5.004	43.765
ENSG00000225206	XLOC_047524_zbf	ENST00000424528	TCONS_00135904_zbf	3.452	50.19
ENSG00000236535	XLOC_044444_zbf	ENST00000421851	TCONS_00126495_zbf	4.822	14.37
ENSG00000234327	XLOC_050386_zbf	ENST00000623522	TCONS_00142922_zbf	5.452	17.81
ENSG00000272267	XLOC_042738_zbf	ENST00000607598	TCONS_00120530_zbf	10.244	65.689
ENSG00000261327	XLOC_017717_zbf	ENST00000568031	TCONS_00048842_zbf	12.813	64.602
ENSG00000226180	XLOC_018933_zbf	ENST00000538868	TCONS_00051986_zbf	4.817	27.408
ENSG00000262877	XLOC_026635_zbf	ENST00000571724	TCONS_00075010_zbf	8.808	65.975
ENSG00000179743	XLOC_046099_zbf	ENST00000317122	TCONS_00131331_zbf	5.306	27.651
ENSG00000233427	XLOC_038083_zbf	ENST00000418471	TCONS_00107744_zbf	4.118	56.192
ENSG00000261529	XLOC_015396_zbf	ENST00000565581	TCONS_00042050_zbf	5.483	45.107
ENSG00000236449	XLOC_021321_zbf	ENST00000442996	TCONS_00058854_zbf	3.328	18.859
ENSG00000248079	XLOC_036258_zbf	ENST00000501169	TCONS_00102233_zbf	3.834	264.523
ENSG00000243766	XLOC_038163_zbf	ENST00000472494	TCONS_00107880_zbf	3.342	92.815
ENSG00000259543	XLOC_017026_zbf	ENST00000559211	TCONS_00046771_zbf	10.567	47.484
ENSG00000230991	XLOC_022198_zbf	ENST00000442706	TCONS_00061313_zbf	5.269	32.769
ENSG00000279838	XLOC_040130_zbf	ENST00000623474	TCONS_00113304_zbf	4.853	34.059
ENSG00000248767	XLOC_005220_zbf	ENST00000510017	TCONS_00015192_zbf	7.889	50.855
ENSG00000248809	XLOC_001513_zbf	ENST00000507726	TCONS_00004643_zbf	6.889	20.362
ENSG00000258922	XLOC_036649_zbf	ENST00000555325	TCONS_00103472_zbf	5.228	86.008
ENSG00000205037	XLOC_017717_zbf	ENST00000378417	TCONS_00048837_zbf	3.718	48.765
ENSG00000223387	XLOC_047468_zbf	ENST00000418839	TCONS_00135779_zbf	3.693	17.797
ENSG00000257407	XLOC_013797_zbf	ENST00000551940	TCONS_00036781_zbf	3.82	49.241
ENSG00000235590	XLOC_016566_zbf	ENST00000443966	TCONS_00045317_zbf	4.885	91.159
ENSG00000225730	XLOC_040142_zbf	ENST00000451135	TCONS_00113329_zbf	3.116	51.101
ENSG00000257551	XLOC_034924_zbf	ENST00000552026	TCONS_00098843_zbf	3.316	57.402
ENSG00000216895	XLOC_003573_zbf	ENST00000474963	TCONS_00010630_zbf	3.287	32.868
ENSG00000249464	XLOC_030061_zbf	ENST00000514823	TCONS_00086963_zbf	5.323	63.4
ENSG00000279726	XLOC_030092_zbf	ENST00000624176	TCONS_00084896_zbf	5.7	53.708
ENSG00000262777	XLOC_031262_zbf	ENST00000570924	TCONS_00088205_zbf	8.918	82.437
ENSG00000229956	XLOC_016376_zbf	ENST00000411721	TCONS_00044765_zbf	4.264	40.869
ENSG00000262877	XLOC_026635_zbf	ENST00000571724	TCONS_00075010_zbf	4.876	65.19
ENSG00000260599	XLOC_044061_zbf	ENST00000562262	TCONS_00125324_zbf	5.521	32.394
ENSG00000258861	XLOC_034558_zbf	ENST00000553692	TCONS_00097890_zbf	4.897	46.147
ENSG00000268912	XLOC_043206_zbf	ENST00000594816	TCONS_00122345_zbf	7.487	50.512
ENSG00000267213	XLOC_018836_zbf	ENST00000592680	TCONS_00051732_zbf	9.2	16.13
ENSG00000225535	XLOC_006981_zbf	ENST00000460471	TCONS_00020822_zbf	3.887	40.554
ENSG00000229196	XLOC_007138_zbf	ENST00000470348	TCONS_00021401_zbf	4.443	20.646
ENSG00000205054	XLOC_028719_zbf	ENST00000454673	TCONS_00080942_zbf	5.48	71.575
ENSG00000239381	XLOC_043931_zbf	ENST00000636224	TCONS_00124943_zbf	3.319	38.453
ENSG00000273891	XLOC_049735_zbf	ENST00000620490	TCONS_00141512_zbf	5.56	33.151
ENSG00000232164	XLOC_028618_zbf	ENST00000428647	TCONS_00080688_zbf	4.201	130.449
ENSG00000260572	XLOC_031726_zbf	ENST00000566372	TCONS_00089575_zbf	4.414	42.968
ENSG00000255871	XLOC_007089_zbf	ENST00000418574	TCONS_00021249_zbf	5.021	29.83
ENSG00000258875	XLOC_035118_zbf	ENST00000554096	TCONS_00099308_zbf	6.576	18.088
ENSG00000250056	XLOC_038310_zbf	ENST00000507582	TCONS_00108239_zbf	6.516	47.571
ENSG00000245468	XLOC_017494_zbf	ENST00000499242	TCONS_00048288_zbf	4.775	57.591
ENSG00000259820	XLOC_032975_zbf	ENST00000568248	TCONS_00093173_zbf	8.884	57.827
ENSG00000259203	XLOC_036864_zbf	ENST00000560818	TCONS_00103981_zbf	5.402	51.778
ENSG00000261316	XLOC_018832_zbf	ENST00000567374	TCONS_00051722_zbf	5.619	31.916
ENSG00000261798	XLOC_039309_zbf	ENST00000566366	TCONS_00110949_zbf	5.742	111.034
ENSG00000271858	XLOC_016625_zbf	ENST00000607121	TCONS_00045487_zbf	5.485	44.878
ENSG00000272870	XLOC_001534_zbf	ENST00000608794	TCONS_00004710_zbf	5.384	41.073
ENSG00000264735	XLOC_026630_zbf	ENST00000580125	TCONS_00075002_zbf	5.185	32.187
ENSG00000283095	XLOC_027559_zbf	ENST00000634373	TCONS_00077425_zbf	4.375	14.656
ENSG00000278126	XLOC_046148_zbf	ENST00000620274	TCONS_00131564_zbf	3.977	85.439
ENSG00000280392	XLOC_017432_zbf	ENST00000624987	TCONS_00048055_zbf	3.888	67.067
ENSG00000212743	XLOC_010136_zbf	ENST00000391437	TCONS_00027622_zbf	5.854	37.645
ENSG00000242767	XLOC_047386_zbf	ENST00000472323	TCONS_00135445_zbf	5.592	36.053
ENSG00000259946	XLOC_046886_zbf	ENST00000561881	TCONS_00134079_zbf	7.269	26.997
ENSG00000259343	XLOC_018275_zbf	ENST00000559277	TCONS_00050126_zbf	4.739	40.77
ENSG00000265800	XLOC_049721_zbf	ENST00000584339	TCONS_00141472_zbf	4.427	38.02
ENSG00000250748	XLOC_009949_zbf	ENST00000546198	TCONS_00026792_zbf	3.349	4.796
ENSG00000259203	XLOC_036856_zbf	ENST00000560818	TCONS_00103959_zbf	3.596	69.719
ENSG00000277504	XLOC_017717_zbf	ENST00000620306	TCONS_00048842_zbf	8.273	57.775
ENSG00000279589	XLOC_018687_zbf	ENST00000625035	TCONS_00051324_zbf	9.61	48.177
ENSG00000225484	XLOC_050281_zbf	ENST00000610681	TCONS_00142679_zbf	9.396	54.521
ENSG00000226508	XLOC_015035_zbf	ENST00000436841	TCONS_00041117_zbf	3.899	78.591
ENSG00000279204	XLOC_029840_zbf	ENST00000624206	TCONS_00084233_zbf	4.939	115.271
ENSG00000262888	XLOC_050101_zbf	ENST00000571302	TCONS_00142280_zbf	6.543	44.248
ENSG00000225535	XLOC_006969_zbf	ENST00000435981	TCONS_00020760_zbf	5.225	44.351
ENSG00000245248	XLOC_031219_zbf	ENST00000498979	TCONS_00088098_zbf	4.268	90.595
ENSG00000214548	XLOC_034574_zbf	ENST00000522771	TCONS_00097918_zbf	5.879	68.894
ENSG00000279035	XLOC_026625_zbf	ENST00000625094	TCONS_00074989_zbf	10.86	132.463
ENSG00000259594	XLOC_017026_zbf	ENST00000558141	TCONS_00046769_zbf	9.69	39.901
ENSG00000196668	XLOC_012538_zbf	ENST00000480237	TCONS_00032839_zbf	4.571	98.639
ENSG00000231977	XLOC_045863_zbf	ENST00000423020	TCONS_00130680_zbf	5.711	40.599
ENSG00000231889	XLOC_040577_zbf	ENST00000532226	TCONS_00114586_zbf	5.018	55.154
ENSG00000175604	XLOC_027174_zbf	ENST00000312019	TCONS_00076595_zbf	11.313	37.831
ENSG00000214999	XLOC_018423_zbf	ENST00000399413	TCONS_00050538_zbf	5.843	54.765
ENSG00000266369	XLOC_005186_zbf	ENST00000578888	TCONS_00015122_zbf	6.875	42.852
ENSG00000248242	XLOC_001368_zbf	ENST00000515127	TCONS_00004306_zbf	5.723	45.845
ENSG00000205414	XLOC_017449_zbf	ENST00000379963	TCONS_00048142_zbf	3.446	127.658
ENSG00000227373	XLOC_044456_zbf	ENST00000426899	TCONS_00126528_zbf	11.778	80.111
ENSG00000233410	XLOC_044582_zbf	ENST00000427439	TCONS_00126864_zbf	6.426	49.082
ENSG00000260296	XLOC_000308_zbf	ENST00000567102	TCONS_00000960_zbf	4.263	91.03
ENSG00000260337	XLOC_037421_zbf	ENST00000620192	TCONS_00105621_zbf	4.13	56.989
ENSG00000224310	XLOC_005005_zbf	ENST00000414816	TCONS_00014816_zbf	9.915	38.827
ENSG00000255160	XLOC_018325_zbf	ENST00000529082	TCONS_00050284_zbf	3.71	5.148
ENSG00000259033	XLOC_029079_zbf	ENST00000553791	TCONS_00082014_zbf	3.727	48.624
ENSG00000273455	XLOC_002438_zbf	ENST00000608883	TCONS_00007562_zbf	4.101	14.098
ENSG00000259895	XLOC_050289_zbf	ENST00000563775	TCONS_00142691_zbf	6.857	30.771
ENSG00000260271	XLOC_039857_zbf	ENST00000569865	TCONS_00112603_zbf	5.579	46.609
ENSG00000283213	XLOC_006398_zbf	ENST00000636354	TCONS_00018677_zbf	5.455	26.608
ENSG00000229989	XLOC_044578_zbf	ENST00000436880	TCONS_00126845_zbf	4	13.54
ENSG00000275216	XLOC_021404_zbf	ENST00000618966	TCONS_00059079_zbf	5.82	14.52
ENSG00000241684	XLOC_025679_zbf	ENST00000460833	TCONS_00071964_zbf	4.917	49.572
ENSG00000255498	XLOC_018723_zbf	ENST00000533218	TCONS_00051475_zbf	4.036	41.528
ENSG00000253708	XLOC_023924_zbf	ENST00000523733	TCONS_00066361_zbf	6.462	15.379
ENSG00000280048	XLOC_036633_zbf	ENST00000624746	TCONS_00103434_zbf	10.856	46.567
ENSG00000254649	XLOC_030958_zbf	ENST00000527030	TCONS_00087516_zbf	5.328	22.672
ENSG00000224152	XLOC_015972_zbf	ENST00000418474	TCONS_00043656_zbf	8.517	28.711
ENSG00000247903	XLOC_037302_zbf	ENST00000500632	TCONS_00105277_zbf	5.216	48.46
ENSG00000238198	XLOC_016551_zbf	ENST00000421157	TCONS_00045274_zbf	5.916	48.988
ENSG00000279057	XLOC_049721_zbf	ENST00000624558	TCONS_00141472_zbf	4.931	31.796
ENSG00000223576	XLOC_021568_zbf	ENST00000422148	TCONS_00059474_zbf	3.554	48.611
ENSG00000280029	XLOC_030092_zbf	ENST00000624424	TCONS_00084896_zbf	5.628	61.241
ENSG00000225815	XLOC_028632_zbf	ENST00000449673	TCONS_00080738_zbf	5.222	103.948
ENSG00000278901	XLOC_030092_zbf	ENST00000625195	TCONS_00084897_zbf	6.034	38.094
ENSG00000271862	XLOC_014348_zbf	ENST00000607625	TCONS_00038848_zbf	5.677	75.444
ENSG00000279708	XLOC_017066_zbf	ENST00000624115	TCONS_00052912_zbf	5.969	102.858
ENSG00000259737	XLOC_035397_zbf	ENST00000558875	TCONS_00099906_zbf	6.157	11.776
ENSG00000276337	XLOC_017717_zbf	ENST00000612833	TCONS_00048838_zbf	13.873	67.492
ENSG00000246379	XLOC_037326_zbf	ENST00000501259	TCONS_00105334_zbf	6.254	78.052
ENSG00000269473	XLOC_050380_zbf	ENST00000595059	TCONS_00142914_zbf	4.988	28.891
ENSG00000234919	XLOC_021653_zbf	ENST00000432711	TCONS_00059809_zbf	3.462	23.231
ENSG00000279166	XLOC_021650_zbf	ENST00000623674	TCONS_00059796_zbf	3.808	45.094
ENSG00000260917	XLOC_027328_zbf	ENST00000564352	TCONS_00077024_zbf	8.779	42.946
ENSG00000222043	XLOC_021305_zbf	ENST00000428541	TCONS_00058815_zbf	3.784	32.838
ENSG00000259291	XLOC_048637_zbf	ENST00000558334	TCONS_00139211_zbf	3.837	44.691
ENSG00000263167	XLOC_027384_zbf	ENST00000570413	TCONS_00077174_zbf	5.956	189.301
ENSG00000205971	XLOC_005229_zbf	ENST00000382528	TCONS_00015220_zbf	5.186	57.635
ENSG00000279726	XLOC_029390_zbf	ENST00000624712	TCONS_00083129_zbf	3.736	71.549
ENSG00000278915	XLOC_030092_zbf	ENST00000624566	TCONS_00084896_zbf	6.081	40.462
ENSG00000268218	XLOC_018933_zbf	ENST00000602042	TCONS_00051985_zbf	4.441	34.213
ENSG00000236445	XLOC_022785_zbf	ENST00000432733	TCONS_00062881_zbf	10.608	36.746
ENSG00000205913	XLOC_049721_zbf	ENST00000571305	TCONS_00141472_zbf	4.927	32.268
ENSG00000261126	XLOC_039086_zbf	ENST00000568911	TCONS_00110306_zbf	5.188	54.96
ENSG00000223714	XLOC_021776_zbf	ENST00000452501	TCONS_00060120_zbf	3.702	22.398
ENSG00000277559	XLOC_017436_zbf	ENST00000616682	TCONS_00048071_zbf	4.484	15.572
ENSG00000259275	XLOC_036628_zbf	ENST00000558499	TCONS_00103418_zbf	3.932	63.706
ENSG00000260648	XLOC_041005_zbf	ENST00000568093	TCONS_00115632_zbf	4.969	30.597
ENSG00000280351	XLOC_027382_zbf	ENST00000625110	TCONS_00077145_zbf	5.826	39.518
ENSG00000275620	XLOC_045050_zbf	ENST00000612722	TCONS_00128365_zbf	12.468	70.051
ENSG00000264177	XLOC_005186_zbf	ENST00000579352	TCONS_00015122_zbf	6.414	49.993
ENSG00000253405	XLOC_032910_zbf	ENST00000519050	TCONS_00093020_zbf	5.21	33.284
ENSG00000228689	XLOC_041320_zbf	ENST00000454361	TCONS_00116585_zbf	3.98	82.241
ENSG00000215483	XLOC_030860_zbf	ENST00000636621	TCONS_00087300_zbf	9.33	99.107
ENSG00000276772	XLOC_017695_zbf	ENST00000621477	TCONS_00048761_zbf	4.245	15.172
ENSG00000272888	XLOC_037427_zbf	ENST00000553829	TCONS_00105630_zbf	4.868	38.424
ENSG00000251359	XLOC_001543_zbf	ENST00000578387	TCONS_00004726_zbf	6.564	73.724
ENSG00000267580	XLOC_017467_zbf	ENST00000589932	TCONS_00048168_zbf	5.85	44.132
ENSG00000177340	XLOC_009877_zbf	ENST00000313737	TCONS_00026528_zbf	3.799	32.031
ENSG00000227619	XLOC_014135_zbf	ENST00000443993	TCONS_00038025_zbf	6.863	39.638
ENSG00000279189	XLOC_024282_zbf	ENST00000625192	TCONS_00067461_zbf	5.682	9.187
ENSG00000226510	XLOC_032329_zbf	ENST00000443196	TCONS_00091280_zbf	6.26	47.27
ENSG00000279632	XLOC_047858_zbf	ENST00000623917	TCONS_00136965_zbf	7.168	41.404
ENSG00000259713	XLOC_017066_zbf	ENST00000559041	TCONS_00052912_zbf	7	75.227
ENSG00000232021	XLOC_000732_zbf	ENST00000436413	TCONS_00002077_zbf	6.976	60.645
ENSG00000236434	XLOC_020528_zbf	ENST00000422306	TCONS_00056408_zbf	5.933	29.357
ENSG00000225978	XLOC_045050_zbf	ENST00000433161	TCONS_00128367_zbf	11.41	49.339
ENSG00000205592	XLOC_050520_zbf	ENST00000474954	TCONS_00143183_zbf	5.931	37.563
ENSG00000257151	XLOC_016395_zbf	ENST00000552334	TCONS_00044823_zbf	7.55	17.708
ENSG00000229989	XLOC_044590_zbf	ENST00000436880	TCONS_00126897_zbf	4	2.582
ENSG00000224596	XLOC_027684_zbf	ENST00000428862	TCONS_00077777_zbf	5.567	38.241
ENSG00000251688	XLOC_001510_zbf	ENST00000509370	TCONS_00004638_zbf	3.75	23.67
ENSG00000237326	XLOC_041073_zbf	ENST00000448379	TCONS_00115793_zbf	3.97	36.175
ENSG00000261055	XLOC_020691_zbf	ENST00000565955	TCONS_00056983_zbf	4.438	27.06
ENSG00000250930	XLOC_039850_zbf	ENST00000511989	TCONS_00112586_zbf	4.558	52.483
ENSG00000251249	XLOC_000326_zbf	ENST00000515329	TCONS_00001003_zbf	6.065	22.913
ENSG00000233223	XLOC_018424_zbf	ENST00000573187	TCONS_00050540_zbf	4.045	43.649
ENSG00000261630	XLOC_017436_zbf	ENST00000564801	TCONS_00048071_zbf	4.761	84.891
ENSG00000232788	XLOC_021335_zbf	ENST00000458314	TCONS_00058902_zbf	5.119	58.942
ENSG00000279841	XLOC_036474_zbf	ENST00000624151	TCONS_00103002_zbf	4.596	37.189
ENSG00000274215	XLOC_023097_zbf	ENST00000614509	TCONS_00063932_zbf	3.735	13.454
ENSG00000273247	XLOC_029955_zbf	ENST00000608661	TCONS_00084514_zbf	8.013	73.082
ENSG00000271434	XLOC_049735_zbf	ENST00000440536	TCONS_00141514_zbf	7.791	28.198
ENSG00000231721	XLOC_007129_zbf	ENST00000429901	TCONS_00021380_zbf	4.829	99.392
ENSG00000124835	XLOC_021614_zbf	ENST00000244820	TCONS_00059648_zbf	3.999	61.292
ENSG00000230552	XLOC_021326_zbf	ENST00000428283	TCONS_00058877_zbf	4	37.148
ENSG00000261320	XLOC_036622_zbf	ENST00000567261	TCONS_00103392_zbf	4.775	47.579
ENSG00000260361	XLOC_023897_zbf	ENST00000562894	TCONS_00066326_zbf	5.881	25.644
ENSG00000225206	XLOC_047533_zbf	ENST00000602852	TCONS_00135939_zbf	7.524	64.826
ENSG00000254554	XLOC_019057_zbf	ENST00000526906	TCONS_00052291_zbf	5.168	43.74
ENSG00000228008	XLOC_044779_zbf	ENST00000424174	TCONS_00127322_zbf	8.133	89.076
ENSG00000197308	XLOC_007279_zbf	ENST00000438755	TCONS_00021823_zbf	4.398	46.067
