human gene	opossum gene	human transcript	opossum transcript	motif-pattern similarity score	gap penalty score
ENSG00000260293	XLOC_037071_ops	ENST00000561847	TCONS_00102732_ops	7.894	28.231
ENSG00000124915	XLOC_034165_ops	ENST00000244906	TCONS_00096572_ops	3.998	26.405
ENSG00000275830	XLOC_038523_ops	ENST00000617298	TCONS_00108466_ops	4.957	36.062
ENSG00000260361	XLOC_005785_ops	ENST00000562894	TCONS_00012987_ops	6.207	57.757
ENSG00000264451	XLOC_015323_ops	ENST00000579972	TCONS_00040189_ops	7.417	24.168
ENSG00000260267	XLOC_034417_ops	ENST00000564629	TCONS_00096946_ops	3.695	42.245
ENSG00000234771	XLOC_007884_ops	ENST00000418747	TCONS_00017788_ops	11.462	31.401
ENSG00000224079	XLOC_034628_ops	ENST00000449721	TCONS_00097393_ops	3.748	15.922
ENSG00000248429	XLOC_033054_ops	ENST00000503611	TCONS_00091709_ops	6.086	73.795
ENSG00000275542	XLOC_011702_ops	ENST00000622907	TCONS_00049646_ops	3.716	6.272
ENSG00000268191	XLOC_023511_ops	ENST00000596027	TCONS_00062080_ops	8.402	49.492
ENSG00000253187	XLOC_045056_ops	ENST00000523790	TCONS_00124414_ops	8.316	41.489
ENSG00000236535	XLOC_014341_ops	ENST00000421851	TCONS_00037957_ops	4.775	92.565
ENSG00000224165	XLOC_003402_ops	ENST00000434897	TCONS_00007707_ops	5.672	66.29
ENSG00000273308	XLOC_028231_ops	ENST00000608482	TCONS_00077371_ops	3.635	18.129
ENSG00000233203	XLOC_014167_ops	ENST00000455380	TCONS_00037606_ops	3.533	23.847
ENSG00000279589	XLOC_002890_ops	ENST00000625035	TCONS_00006379_ops	10.956	38.161
ENSG00000283689	XLOC_007800_ops	ENST00000637770	TCONS_00017552_ops	4.413	38.135
ENSG00000230550	XLOC_014632_ops	ENST00000433869	TCONS_00038620_ops	3.766	95.318
ENSG00000279207	XLOC_015036_ops	ENST00000624409	TCONS_00039486_ops	9.926	55.293
ENSG00000224192	XLOC_020684_ops	ENST00000414989	TCONS_00056329_ops	5.483	141.779
ENSG00000227543	XLOC_013468_ops	ENST00000554154	TCONS_00036160_ops	6.526	53.905
ENSG00000203280	XLOC_020688_ops	ENST00000366110	TCONS_00056357_ops	5.498	35.908
ENSG00000232837	XLOC_024633_ops	ENST00000433952	TCONS_00069697_ops	6.363	53.677
ENSG00000269296	XLOC_027011_ops	ENST00000598952	TCONS_00074685_ops	4.173	23.119
ENSG00000260296	XLOC_033426_ops	ENST00000567102	TCONS_00092352_ops	3.664	63.082
ENSG00000249084	XLOC_031260_ops	ENST00000506895	TCONS_00088155_ops	3.945	43.425
ENSG00000224090	XLOC_040293_ops	ENST00000441450	TCONS_00111922_ops	3.983	107.69
ENSG00000229848	XLOC_015597_ops	ENST00000442532	TCONS_00040867_ops	4.754	78.683
ENSG00000260360	XLOC_014378_ops	ENST00000567904	TCONS_00050019_ops	9.434	15.928
ENSG00000267474	XLOC_023580_ops	ENST00000589702	TCONS_00062278_ops	5.302	35.355
ENSG00000251688	XLOC_033144_ops	ENST00000509370	TCONS_00091856_ops	4.902	30
ENSG00000242407	XLOC_011433_ops	ENST00000495536	TCONS_00031696_ops	3.777	35.501
ENSG00000268499	XLOC_030080_ops	ENST00000598146	TCONS_00081071_ops	4.832	13.775
ENSG00000279187	XLOC_015592_ops	ENST00000624065	TCONS_00040854_ops	3.675	13.454
ENSG00000254860	XLOC_033830_ops	ENST00000525484	TCONS_00093251_ops	3.557	61.354
ENSG00000228008	XLOC_035525_ops	ENST00000419183	TCONS_00099443_ops	3.918	38.527
ENSG00000236434	XLOC_013869_ops	ENST00000422306	TCONS_00037014_ops	6.711	63.605
ENSG00000272070	XLOC_002199_ops	ENST00000606901	TCONS_00004871_ops	5.201	8.911
ENSG00000277182	XLOC_015298_ops	ENST00000610658	TCONS_00040133_ops	5.933	58.842
ENSG00000233030	XLOC_017221_ops	ENST00000428289	TCONS_00044371_ops	6.282	40.526
ENSG00000255438	XLOC_008263_ops	ENST00000526566	TCONS_00018611_ops	6.669	89.681
ENSG00000251359	XLOC_031237_ops	ENST00000578387	TCONS_00088124_ops	20.355	36.88
ENSG00000261691	XLOC_037115_ops	ENST00000565879	TCONS_00102849_ops	7.209	33.33
ENSG00000231721	XLOC_044330_ops	ENST00000429901	TCONS_00122967_ops	5.012	99.139
ENSG00000256540	XLOC_041781_ops	ENST00000537961	TCONS_00117570_ops	8.305	62.045
ENSG00000196756	XLOC_002601_ops	ENST00000449469	TCONS_00005776_ops	6.195	51.392
ENSG00000225756	XLOC_007954_ops	ENST00000425189	TCONS_00017974_ops	6.803	129.59
ENSG00000247373	XLOC_024014_ops	ENST00000498967	TCONS_00063371_ops	21.708	89.552
ENSG00000233016	XLOC_008040_ops	ENST00000414282	TCONS_00018148_ops	9.632	70.316
ENSG00000246582	XLOC_009804_ops	ENST00000500853	TCONS_00021514_ops	11.772	12.787
ENSG00000272791	XLOC_000363_ops	ENST00000609434	TCONS_00000717_ops	5.871	14.742
ENSG00000259910	XLOC_037152_ops	ENST00000563593	TCONS_00102934_ops	4.152	40.65
ENSG00000259291	XLOC_000825_ops	ENST00000558334	TCONS_00001849_ops	3.394	57.274
ENSG00000281162	XLOC_038425_ops	ENST00000627215	TCONS_00108261_ops	7.022	60.111
ENSG00000235140	XLOC_000341_ops	ENST00000450677	TCONS_00000683_ops	5.7	42.683
ENSG00000227946	XLOC_040392_ops	ENST00000420509	TCONS_00112175_ops	4.771	107.364
ENSG00000235563	XLOC_009941_ops	ENST00000439621	TCONS_00028397_ops	10.141	61.533
ENSG00000227467	XLOC_029684_ops	ENST00000450804	TCONS_00080234_ops	9.313	32.028
ENSG00000260630	XLOC_004455_ops	ENST00000568633	TCONS_00010022_ops	6.822	57.968
ENSG00000203258	XLOC_033853_ops	ENST00000454086	TCONS_00093303_ops	4.721	28.646
ENSG00000260498	XLOC_009429_ops	ENST00000563993	TCONS_00020841_ops	6.941	48.258
ENSG00000182057	XLOC_043217_ops	ENST00000446578	TCONS_00120587_ops	9.296	50.773
ENSG00000269941	XLOC_027842_ops	ENST00000602481	TCONS_00076555_ops	5.722	39.09
ENSG00000280291	XLOC_005810_ops	ENST00000623393	TCONS_00013014_ops	5.957	24.45
ENSG00000279655	XLOC_045057_ops	ENST00000624160	TCONS_00124417_ops	5.385	24.438
ENSG00000264269	XLOC_018142_ops	ENST00000584252	TCONS_00051198_ops	3.513	25.697
ENSG00000204241	XLOC_026181_ops	ENST00000532706	TCONS_00072855_ops	6.991	62.868
ENSG00000267432	XLOC_015631_ops	ENST00000588565	TCONS_00040929_ops	5.485	19.698
ENSG00000179219	XLOC_004422_ops	ENST00000366314	TCONS_00009959_ops	5.402	27.505
ENSG00000261669	XLOC_035108_ops	ENST00000568895	TCONS_00098480_ops	5.298	46.026
ENSG00000247498	XLOC_043861_ops	ENST00000394742	TCONS_00122023_ops	4.113	62.071
ENSG00000257268	XLOC_023984_ops	ENST00000551161	TCONS_00063314_ops	4.867	19.596
ENSG00000257178	XLOC_015324_ops	ENST00000548801	TCONS_00040193_ops	9.355	51.604
ENSG00000259415	XLOC_000772_ops	ENST00000559666	TCONS_00001731_ops	5.457	37.079
ENSG00000256694	XLOC_043901_ops	ENST00000540136	TCONS_00122107_ops	4.348	113.334
ENSG00000248517	XLOC_032901_ops	ENST00000505053	TCONS_00091422_ops	7.351	58.562
ENSG00000274080	XLOC_017620_ops	ENST00000619486	TCONS_00045280_ops	7.963	22.028
ENSG00000265121	XLOC_015632_ops	ENST00000584075	TCONS_00040930_ops	5.377	63.041
ENSG00000226239	XLOC_002625_ops	ENST00000449519	TCONS_00005837_ops	5.048	83.124
ENSG00000260563	XLOC_015576_ops	ENST00000566986	TCONS_00040799_ops	6.438	15
ENSG00000267296	XLOC_007680_ops	ENST00000592982	TCONS_00017305_ops	6.427	42.399
ENSG00000247982	XLOC_006011_ops	ENST00000620766	TCONS_00013495_ops	5.703	17.967
ENSG00000263126	XLOC_004382_ops	ENST00000572067	TCONS_00009863_ops	4.985	64.863
ENSG00000235560	XLOC_034733_ops	ENST00000457283	TCONS_00097584_ops	4.384	40.423
ENSG00000261140	XLOC_035210_ops	ENST00000562232	TCONS_00098708_ops	8.529	41.046
ENSG00000237741	XLOC_045961_ops	ENST00000456981	TCONS_00131333_ops	7.236	51.342
ENSG00000255458	XLOC_033431_ops	ENST00000529314	TCONS_00092369_ops	3.557	41.461
ENSG00000227301	XLOC_034360_ops	ENST00000449144	TCONS_00096833_ops	5.94	160.133
ENSG00000251034	XLOC_008786_ops	ENST00000514980	TCONS_00019641_ops	7.962	21.254
ENSG00000223891	XLOC_003356_ops	ENST00000439943	TCONS_00007525_ops	5.641	48.023
ENSG00000205913	XLOC_035219_ops	ENST00000571305	TCONS_00098731_ops	4.831	24.791
ENSG00000249906	XLOC_015343_ops	ENST00000514506	TCONS_00040252_ops	3.891	25.371
ENSG00000279117	XLOC_026536_ops	ENST00000624624	TCONS_00073556_ops	4	2.449
ENSG00000255136	XLOC_026537_ops	ENST00000530792	TCONS_00073559_ops	10.94	77.074
ENSG00000258135	XLOC_043280_ops	ENST00000550636	TCONS_00120737_ops	3.82	55.527
ENSG00000254614	XLOC_041033_ops	ENST00000526623	TCONS_00116001_ops	21.955	24.102
ENSG00000260790	XLOC_034587_ops	ENST00000568827	TCONS_00097284_ops	8.36	56.951
ENSG00000260233	XLOC_041028_ops	ENST00000623234	TCONS_00115997_ops	7.831	72.458
ENSG00000269139	XLOC_023818_ops	ENST00000594308	TCONS_00062903_ops	4.912	42.565
ENSG00000230148	XLOC_015323_ops	ENST00000435312	TCONS_00040189_ops	13.968	33.963
ENSG00000233429	XLOC_045050_ops	ENST00000425358	TCONS_00124402_ops	4.803	38.118
ENSG00000221817	XLOC_000363_ops	ENST00000422977	TCONS_00000716_ops	8.888	37.389
ENSG00000233427	XLOC_029918_ops	ENST00000418471	TCONS_00080699_ops	3.482	73.937
ENSG00000255980	XLOC_034232_ops	ENST00000545202	TCONS_00094042_ops	4.668	62.843
ENSG00000157306	XLOC_001192_ops	ENST00000556354	TCONS_00002584_ops	6.203	35.024
ENSG00000274627	XLOC_004467_ops	ENST00000611189	TCONS_00010040_ops	4.017	116.286
ENSG00000279484	XLOC_013619_ops	ENST00000623136	TCONS_00036437_ops	3.869	82.119
ENSG00000279036	XLOC_015343_ops	ENST00000624209	TCONS_00040252_ops	9.548	25.412
ENSG00000268938	XLOC_020237_ops	ENST00000597837	TCONS_00055396_ops	3.71	45.654
ENSG00000236304	XLOC_026537_ops	ENST00000447519	TCONS_00073559_ops	4.883	64.874
ENSG00000255507	XLOC_029599_ops	ENST00000529719	TCONS_00080059_ops	4.811	33.239
ENSG00000176868	XLOC_003056_ops	ENST00000616163	TCONS_00006756_ops	4.862	47.659
ENSG00000275438	XLOC_035219_ops	ENST00000619963	TCONS_00098731_ops	5.076	13.349
ENSG00000212694	XLOC_023984_ops	ENST00000541694	TCONS_00063315_ops	4.099	64.192
ENSG00000268499	XLOC_030081_ops	ENST00000598146	TCONS_00084871_ops	6.397	47.306
ENSG00000263327	XLOC_033569_ops	ENST00000573308	TCONS_00092640_ops	11.972	29.348
ENSG00000226648	XLOC_002575_ops	ENST00000454626	TCONS_00005728_ops	6.795	26.737
ENSG00000260580	XLOC_037222_ops	ENST00000562900	TCONS_00103100_ops	7.067	53.375
ENSG00000272762	XLOC_035989_ops	ENST00000488257	TCONS_00100431_ops	4.715	55.243
ENSG00000269968	XLOC_043815_ops	ENST00000602946	TCONS_00121937_ops	5.157	46.046
ENSG00000275719	XLOC_030148_ops	ENST00000617006	TCONS_00081204_ops	4.973	53.378
ENSG00000244215	XLOC_037772_ops	ENST00000488425	TCONS_00104259_ops	5.283	37.881
ENSG00000269667	XLOC_004426_ops	ENST00000599411	TCONS_00009976_ops	5.544	24.641
ENSG00000261669	XLOC_035108_ops	ENST00000568895	TCONS_00098480_ops	8.007	57.641
ENSG00000230174	XLOC_012010_ops	ENST00000430364	TCONS_00033112_ops	6.652	39.967
ENSG00000214353	XLOC_004573_ops	ENST00000562507	TCONS_00010263_ops	6.939	25.542
ENSG00000232164	XLOC_009033_ops	ENST00000428647	TCONS_00020126_ops	4.883	35.546
ENSG00000261534	XLOC_007599_ops	ENST00000567068	TCONS_00017096_ops	6.585	58.913
ENSG00000125514	XLOC_003210_ops	ENST00000370341	TCONS_00007195_ops	3.426	41.271
ENSG00000153363	XLOC_010784_ops	ENST00000423222	TCONS_00030259_ops	10.337	34.766
ENSG00000263126	XLOC_004378_ops	ENST00000572067	TCONS_00009846_ops	10.928	78.328
ENSG00000249429	XLOC_007078_ops	ENST00000340585	TCONS_00015964_ops	4.128	64.523
ENSG00000241388	XLOC_020618_ops	ENST00000535301	TCONS_00069017_ops	8.026	41.625
ENSG00000272356	XLOC_012595_ops	ENST00000607434	TCONS_00034393_ops	5.38	141.781
ENSG00000225399	XLOC_035517_ops	ENST00000440528	TCONS_00099435_ops	6.672	47.897
ENSG00000227373	XLOC_014335_ops	ENST00000426899	TCONS_00037929_ops	7.333	79.436
ENSG00000261327	XLOC_009432_ops	ENST00000568031	TCONS_00020845_ops	9.233	23.837
ENSG00000170919	XLOC_038908_ops	ENST00000618947	TCONS_00109110_ops	3.42	43.401
ENSG00000229153	XLOC_042308_ops	ENST00000429289	TCONS_00118682_ops	4.499	41.446
ENSG00000243150	XLOC_039345_ops	ENST00000475981	TCONS_00115349_ops	4.407	45.359
ENSG00000237579	XLOC_000743_ops	ENST00000434189	TCONS_00001665_ops	5.636	53.811
ENSG00000281207	XLOC_027590_ops	ENST00000626479	TCONS_00076019_ops	6.177	38.152
ENSG00000253973	XLOC_033831_ops	ENST00000531592	TCONS_00093254_ops	9.754	37.849
ENSG00000261623	XLOC_002858_ops	ENST00000561523	TCONS_00022756_ops	7.573	29.311
ENSG00000251533	XLOC_002055_ops	ENST00000514902	TCONS_00004512_ops	3.919	68.348
ENSG00000272720	XLOC_041351_ops	ENST00000609162	TCONS_00116631_ops	9.658	51.5
ENSG00000234028	XLOC_009698_ops	ENST00000453008	TCONS_00021376_ops	7.871	35.569
ENSG00000235121	XLOC_014570_ops	ENST00000429443	TCONS_00038430_ops	3.502	23.08
ENSG00000188477	XLOC_034557_ops	ENST00000468219	TCONS_00097204_ops	5.388	33.419
ENSG00000272729	XLOC_028712_ops	ENST00000608941	TCONS_00078222_ops	6.825	39.671
ENSG00000254369	XLOC_045057_ops	ENST00000518947	TCONS_00124417_ops	9.146	60.504
ENSG00000253390	XLOC_009804_ops	ENST00000521021	TCONS_00021514_ops	5.794	15.735
ENSG00000283183	XLOC_033746_ops	ENST00000637674	TCONS_00093099_ops	8.628	41.688
ENSG00000266473	XLOC_011653_ops	ENST00000585193	TCONS_00032188_ops	9.007	26.946
ENSG00000203288	XLOC_013376_ops	ENST00000389897	TCONS_00036010_ops	9.358	50.791
ENSG00000254631	XLOC_029660_ops	ENST00000531906	TCONS_00080173_ops	5.213	97.769
ENSG00000213599	XLOC_034735_ops	ENST00000566712	TCONS_00097590_ops	6.385	24.675
ENSG00000278915	XLOC_002203_ops	ENST00000624566	TCONS_00004881_ops	5.134	53.475
ENSG00000245694	XLOC_007793_ops	ENST00000560208	TCONS_00017544_ops	16.489	13.658
ENSG00000279725	XLOC_004932_ops	ENST00000623953	TCONS_00023540_ops	5.4	54.553
ENSG00000250501	XLOC_033217_ops	ENST00000502606	TCONS_00091981_ops	4.666	109.245
ENSG00000233098	XLOC_017480_ops	ENST00000577537	TCONS_00044918_ops	5.059	76.203
ENSG00000233730	XLOC_013233_ops	ENST00000448680	TCONS_00035745_ops	3.427	32.706
ENSG00000227947	XLOC_013903_ops	ENST00000454285	TCONS_00037104_ops	7.761	59.489
ENSG00000235875	XLOC_038523_ops	ENST00000425094	TCONS_00108466_ops	7.539	34.442
ENSG00000272821	XLOC_041062_ops	ENST00000608319	TCONS_00116075_ops	5.288	34.056
ENSG00000205500	XLOC_008358_ops	ENST00000380387	TCONS_00018830_ops	9.888	41.619
ENSG00000227508	XLOC_013010_ops	ENST00000607074	TCONS_00035328_ops	3.786	85.178
ENSG00000261630	XLOC_007787_ops	ENST00000564801	TCONS_00017528_ops	6.628	24.48
ENSG00000275120	XLOC_000775_ops	ENST00000618330	TCONS_00001745_ops	4.897	55.725
ENSG00000260805	XLOC_014701_ops	ENST00000564287	TCONS_00038766_ops	6.803	101.443
ENSG00000234494	XLOC_015312_ops	ENST00000411573	TCONS_00040165_ops	4.793	83.184
ENSG00000250734	XLOC_017251_ops	ENST00000504583	TCONS_00044457_ops	4.885	46.812
ENSG00000272836	XLOC_043178_ops	ENST00000610050	TCONS_00120513_ops	8.342	30.554
ENSG00000278999	XLOC_027035_ops	ENST00000624169	TCONS_00074735_ops	19.512	52.408
ENSG00000267244	XLOC_020256_ops	ENST00000590823	TCONS_00055445_ops	4.769	29.783
ENSG00000203804	XLOC_017242_ops	ENST00000617352	TCONS_00044430_ops	7.383	18.264
ENSG00000257139	XLOC_041234_ops	ENST00000552324	TCONS_00116403_ops	4.107	23.911
ENSG00000254452	XLOC_041022_ops	ENST00000526951	TCONS_00115979_ops	4.607	29.634
ENSG00000277235	XLOC_007415_ops	ENST00000619647	TCONS_00016731_ops	4.355	37.686
ENSG00000259780	XLOC_037181_ops	ENST00000564055	TCONS_00102998_ops	8.339	22.379
ENSG00000233429	XLOC_045050_ops	ENST00000429611	TCONS_00124402_ops	12.911	36.586
ENSG00000226083	XLOC_042602_ops	ENST00000439319	TCONS_00119351_ops	7.956	63.487
ENSG00000259725	XLOC_007793_ops	ENST00000559802	TCONS_00017544_ops	6.108	26.564
ENSG00000273151	XLOC_036510_ops	ENST00000609998	TCONS_00101509_ops	8.254	24.488
ENSG00000279202	XLOC_036851_ops	ENST00000624179	TCONS_00102264_ops	4.374	25.952
ENSG00000278942	XLOC_035117_ops	ENST00000623168	TCONS_00098498_ops	3.295	40.021
ENSG00000268220	XLOC_040660_ops	ENST00000599781	TCONS_00112802_ops	4.139	95.399
ENSG00000279430	XLOC_011072_ops	ENST00000623350	TCONS_00030828_ops	3.722	65.989
ENSG00000249706	XLOC_033345_ops	ENST00000512405	TCONS_00092208_ops	4.41	49.389
ENSG00000269959	XLOC_030019_ops	ENST00000602324	TCONS_00080941_ops	6.885	51.323
ENSG00000251249	XLOC_031421_ops	ENST00000515329	TCONS_00094303_ops	5.84	48.639
ENSG00000278957	XLOC_004194_ops	ENST00000623734	TCONS_00009453_ops	7.462	43.824
ENSG00000244198	XLOC_042308_ops	ENST00000460955	TCONS_00118682_ops	16.121	47.486
ENSG00000198547	XLOC_002618_ops	ENST00000360785	TCONS_00005820_ops	5.399	20.703
ENSG00000261346	XLOC_036631_ops	ENST00000569459	TCONS_00101805_ops	5.265	25.62
ENSG00000283078	XLOC_008139_ops	ENST00000635124	TCONS_00018368_ops	8.267	43.077
ENSG00000280377	XLOC_005744_ops	ENST00000624460	TCONS_00023881_ops	5.819	14.059
ENSG00000254248	XLOC_022957_ops	ENST00000518598	TCONS_00060895_ops	3.941	57.187
ENSG00000269148	XLOC_029945_ops	ENST00000601618	TCONS_00080763_ops	3.961	58.365
ENSG00000231305	XLOC_037784_ops	ENST00000498297	TCONS_00104293_ops	3.936	51.425
ENSG00000234859	XLOC_015224_ops	ENST00000432258	TCONS_00039999_ops	4.565	83.165
ENSG00000279954	XLOC_040971_ops	ENST00000623717	TCONS_00115840_ops	5.547	27.408
ENSG00000279283	XLOC_023844_ops	ENST00000624048	TCONS_00063005_ops	7.058	65.481
ENSG00000273391	XLOC_044385_ops	ENST00000608266	TCONS_00123070_ops	6.447	39.158
ENSG00000271789	XLOC_012595_ops	ENST00000607386	TCONS_00034392_ops	4.586	193.059
ENSG00000270118	XLOC_035265_ops	ENST00000602838	TCONS_00098881_ops	10.654	26.788
ENSG00000271579	XLOC_020644_ops	ENST00000603439	TCONS_00056243_ops	11.971	39.175
ENSG00000246211	XLOC_029656_ops	ENST00000502071	TCONS_00080162_ops	6.588	18.974
ENSG00000228395	XLOC_007907_ops	ENST00000434999	TCONS_00017826_ops	7.538	24.994
ENSG00000274253	XLOC_039794_ops	ENST00000619611	TCONS_00110894_ops	5.344	20.703
ENSG00000262413	XLOC_015576_ops	ENST00000576021	TCONS_00040798_ops	6.362	41.874
ENSG00000227392	XLOC_030081_ops	ENST00000392227	TCONS_00084871_ops	10.857	27.388
ENSG00000231177	XLOC_035752_ops	ENST00000538717	TCONS_00099946_ops	4.547	6.496
ENSG00000236053	XLOC_039978_ops	ENST00000432575	TCONS_00111322_ops	8.916	42.938
ENSG00000273486	XLOC_028257_ops	ENST00000609553	TCONS_00077423_ops	6.752	28.835
ENSG00000239921	XLOC_037774_ops	ENST00000461398	TCONS_00104265_ops	5.064	32.212
ENSG00000272323	XLOC_018960_ops	ENST00000606401	TCONS_00052730_ops	6.066	29.075
ENSG00000261183	XLOC_006264_ops	ENST00000564302	TCONS_00014099_ops	3.849	51.682
ENSG00000179840	XLOC_026853_ops	ENST00000377320	TCONS_00074338_ops	4.39	18.042
ENSG00000225285	XLOC_014539_ops	ENST00000417917	TCONS_00038342_ops	7.602	52.666
ENSG00000234292	XLOC_018801_ops	ENST00000440769	TCONS_00068765_ops	5.323	34.435
ENSG00000270823	XLOC_044327_ops	ENST00000604666	TCONS_00122953_ops	3.759	88.348
ENSG00000242512	XLOC_039119_ops	ENST00000614303	TCONS_00109617_ops	5.309	63.891
ENSG00000279907	XLOC_004426_ops	ENST00000624587	TCONS_00009977_ops	9.05	24.06
ENSG00000264125	XLOC_013538_ops	ENST00000581633	TCONS_00036273_ops	5.591	43.413
ENSG00000267372	XLOC_020255_ops	ENST00000590086	TCONS_00055444_ops	3.937	57.452
ENSG00000225733	XLOC_035791_ops	ENST00000430166	TCONS_00100027_ops	11.639	26.417
ENSG00000254928	XLOC_029665_ops	ENST00000530510	TCONS_00080186_ops	4.49	41.599
ENSG00000213888	XLOC_020922_ops	ENST00000504184	TCONS_00056870_ops	9.15	63.844
ENSG00000230452	XLOC_003402_ops	ENST00000431650	TCONS_00007706_ops	5.974	30.635
ENSG00000279330	XLOC_037060_ops	ENST00000622989	TCONS_00102713_ops	5.837	46.438
ENSG00000214293	XLOC_041965_ops	ENST00000440088	TCONS_00117937_ops	9.224	35.506
ENSG00000279555	XLOC_015043_ops	ENST00000623762	TCONS_00039508_ops	4.519	45.022
ENSG00000227516	XLOC_016116_ops	ENST00000417465	TCONS_00042150_ops	4.649	64.908
ENSG00000234608	XLOC_020543_ops	ENST00000442119	TCONS_00056026_ops	4.443	36.162
ENSG00000261798	XLOC_027536_ops	ENST00000566366	TCONS_00075886_ops	8.684	35.727
ENSG00000204990	XLOC_044395_ops	ENST00000461145	TCONS_00123099_ops	5.564	46.566
ENSG00000212694	XLOC_024004_ops	ENST00000537157	TCONS_00063353_ops	4.309	72.097
ENSG00000242396	XLOC_014165_ops	ENST00000415336	TCONS_00037601_ops	4.788	87.814
ENSG00000221817	XLOC_000363_ops	ENST00000439792	TCONS_00000717_ops	5.348	11.916
ENSG00000266980	XLOC_011573_ops	ENST00000586808	TCONS_00032012_ops	4.363	40.165
ENSG00000263731	XLOC_011681_ops	ENST00000582866	TCONS_00032251_ops	6.245	20.437
ENSG00000257621	XLOC_006587_ops	ENST00000551597	TCONS_00014858_ops	4.469	20.94
ENSG00000231024	XLOC_003664_ops	ENST00000415342	TCONS_00008299_ops	6.882	33.151
ENSG00000226455	XLOC_012474_ops	ENST00000445838	TCONS_00034176_ops	10.658	65.05
ENSG00000263683	XLOC_045025_ops	ENST00000579437	TCONS_00124354_ops	4.524	53.37
ENSG00000259594	XLOC_005711_ops	ENST00000558141	TCONS_00012790_ops	3.735	77.376
ENSG00000233421	XLOC_029991_ops	ENST00000415386	TCONS_00080865_ops	3.182	28.054
ENSG00000233642	XLOC_042563_ops	ENST00000449643	TCONS_00119242_ops	11.85	49.916
ENSG00000225929	XLOC_043166_ops	ENST00000449652	TCONS_00120489_ops	7.173	13.737
ENSG00000267786	XLOC_026994_ops	ENST00000592518	TCONS_00083674_ops	4.149	44.919
ENSG00000212743	XLOC_041842_ops	ENST00000391437	TCONS_00117693_ops	4.313	36.507
ENSG00000272870	XLOC_031301_ops	ENST00000608892	TCONS_00088224_ops	4.721	41.488
ENSG00000266642	XLOC_013468_ops	ENST00000580603	TCONS_00036160_ops	5.234	66.193
ENSG00000237737	XLOC_033712_ops	ENST00000412957	TCONS_00092984_ops	9.8	21.394
ENSG00000230725	XLOC_003890_ops	ENST00000454676	TCONS_00008902_ops	4.406	67.904
ENSG00000217702	XLOC_009816_ops	ENST00000401851	TCONS_00021536_ops	4.179	13.323
ENSG00000272477	XLOC_044899_ops	ENST00000607148	TCONS_00124107_ops	4.468	41.746
ENSG00000279692	XLOC_011679_ops	ENST00000624417	TCONS_00032244_ops	14.209	61.275
ENSG00000255946	XLOC_020618_ops	ENST00000542620	TCONS_00069018_ops	7.425	20.692
ENSG00000260589	XLOC_042602_ops	ENST00000563601	TCONS_00119350_ops	7.519	31.397
