human gene	mouse gene	human transcript	mouse transcript	with homologs in cow	with homologs in opossum	with homologs in chicken	with homologs in lizard	with homologs in frog	with homologs in zebrafish	motif score 	gap score
ENSG00000259941	ENSMUSG00000102225	ENST00000564401	ENSMUST00000193207	0	0	0	0	0	0	4.861	27.722
ENSG00000273145	ENSMUSG00000101828	ENST00000608290	ENSMUST00000189171	1	1	0	0	1	0	9.11	22.762
ENSG00000267637	ENSMUSG00000086199	ENST00000590850	ENSMUST00000151652	0	0	0	0	0	0	4.236	48.055
ENSG00000251432	ENSMUSG00000105517	ENST00000513851	ENSMUST00000198804	0	0	0	0	0	0	3.44	44.829
ENSG00000260102	ENSMUSG00000047935	ENST00000561786	ENSMUST00000186174	0	1	0	0	0	0	4.882	12.256
ENSG00000243149	ENSMUSG00000108286	ENST00000481004	ENSMUST00000204131	0	0	0	0	0	0	3.192	50.534
ENSG00000226913	ENSMUSG00000103970	ENST00000421598	ENSMUST00000192908	1	1	1	1	1	0	11.967	21.583
ENSG00000238043	ENSMUSG00000097184	ENST00000426616	ENSMUST00000181485	0	0	0	0	0	0	4.382	49.5
ENSG00000269243	ENSMUSG00000097472	ENST00000597983	ENSMUST00000181918	1	1	0	0	1	0	7.656	27.466
ENSG00000275476	ENSMUSG00000107706	ENST00000620496	ENSMUST00000203708	0	0	0	0	0	0	3.369	68.954
ENSG00000266466	ENSMUSG00000097747	ENST00000579239	ENSMUST00000181687	0	0	0	0	0	0	3.605	26.024
ENSG00000168746	ENSMUSG00000046840	ENST00000637248	ENSMUST00000128896	0	0	0	0	0	0	3.591	19.706
ENSG00000261646	ENSMUSG00000096917	ENST00000563631	ENSMUST00000180690	0	0	0	0	0	0	4.675	13.008
ENSG00000261231	ENSMUSG00000098439	ENST00000565451	ENSMUST00000183645	0	0	0	0	0	0	4.672	24.678
ENSG00000279606	ENSMUSG00000086919	ENST00000624834	ENSMUST00000138295	0	1	0	0	1	0	6.279	11.769
ENSG00000228173	ENSMUSG00000104137	ENST00000456513	ENSMUST00000195362	0	0	0	0	0	0	4.376	0.5
ENSG00000205592	ENSMUSG00000044021	ENST00000454784	ENSMUST00000178108	0	0	0	0	0	0	8.784	0
ENSG00000226803	ENSMUSG00000103364	ENST00000591553	ENSMUST00000194178	1	0	0	0	0	0	8.362	29.146
ENSG00000235910	ENSMUSG00000097463	ENST00000444200	ENSMUST00000181712	0	0	0	1	0	0	3.889	42.02
ENSG00000280711	ENSMUSG00000105297	ENST00000626286	ENSMUST00000196142	1	1	0	1	0	0	7.657	71.428
ENSG00000245248	ENSMUSG00000097617	ENST00000498979	ENSMUST00000180670	1	1	1	0	1	1	5.902	13.885
ENSG00000277159	ENSMUSG00000086770	ENST00000613809	ENSMUST00000153095	0	0	0	0	0	0	3.946	9.487
ENSG00000184224	ENSMUSG00000097233	ENST00000333139	ENSMUST00000181211	1	1	0	1	0	0	4.575	21.721
ENSG00000258260	ENSMUSG00000097372	ENST00000546464	ENSMUST00000180875	0	0	0	0	0	0	4.249	18.453
ENSG00000269296	ENSMUSG00000108520	ENST00000598952	ENSMUST00000205388	0	0	0	1	1	0	5.413	28.72
ENSG00000254653	ENSMUSG00000075027	ENST00000528480	ENSMUST00000136401	1	0	1	0	1	0	5.145	4.817
ENSG00000258458	ENSMUSG00000104658	ENST00000554194	ENSMUST00000198124	0	0	0	0	0	0	3.213	38.854
ENSG00000223806	ENSMUSG00000085329	ENST00000411989	ENSMUST00000156615	0	0	0	0	0	0	4.294	16.294
ENSG00000235741	ENSMUSG00000085304	ENST00000433377	ENSMUST00000145510	1	1	0	0	0	0	3.848	27.541
ENSG00000223813	ENSMUSG00000086946	ENST00000447171	ENSMUST00000138259	0	0	0	0	0	0	3.148	34.914
ENSG00000236643	ENSMUSG00000107468	ENST00000438380	ENSMUST00000204297	0	0	0	0	0	0	4.093	47.21
ENSG00000239213	ENSMUSG00000104272	ENST00000461864	ENSMUST00000195122	0	0	0	0	1	0	3.469	29.967
ENSG00000262815	ENSMUSG00000087242	ENST00000576477	ENSMUST00000152781	0	0	0	0	0	0	3.437	8.266
ENSG00000255843	ENSMUSG00000110301	ENST00000546065	ENSMUST00000209330	0	0	0	0	0	0	4.057	25.015
ENSG00000249859	ENSMUSG00000097039	ENST00000512617	ENSMUST00000182141	0	0	0	0	0	0	7.495	1.69
ENSG00000275401	ENSMUSG00000085385	ENST00000621084	ENSMUST00000149667	1	0	1	0	1	0	7.713	61.416
ENSG00000240990	ENSMUSG00000086427	ENST00000479766	ENSMUST00000137729	0	1	0	0	1	0	9.606	0.577
ENSG00000251602	ENSMUSG00000097476	ENST00000551271	ENSMUST00000181436	1	1	0	1	1	0	5.849	24.328
ENSG00000231367	ENSMUSG00000103091	ENST00000438085	ENSMUST00000195711	0	0	0	0	0	0	3.06	20.248
ENSG00000273209	ENSMUSG00000097819	ENST00000608741	ENSMUST00000180778	0	0	0	1	0	0	4.96	62.208
ENSG00000258337	ENSMUSG00000107116	ENST00000549373	ENSMUST00000202545	1	0	0	0	1	0	7.878	14.051
ENSG00000245812	ENSMUSG00000102563	ENST00000523301	ENSMUST00000191765	0	0	0	0	0	0	4.225	14.045
ENSG00000279393	ENSMUSG00000106820	ENST00000623899	ENSMUST00000201128	0	0	0	0	1	0	3.965	36.993
ENSG00000272477	ENSMUSG00000103216	ENST00000607148	ENSMUST00000193576	0	0	0	0	0	0	5.635	1.612
ENSG00000283392	ENSMUSG00000107794	ENST00000635800	ENSMUST00000204631	1	1	1	1	0	0	5	0.866
ENSG00000234456	ENSMUSG00000106498	ENST00000452320	ENSMUST00000197967	0	0	0	0	0	0	4.504	27.597
ENSG00000255335	ENSMUSG00000109962	ENST00000529781	ENSMUST00000211477	1	1	1	1	1	0	9.324	24.876
ENSG00000232408	ENSMUSG00000104002	ENST00000457169	ENSMUST00000193040	0	0	0	0	0	0	3.478	18.267
ENSG00000258017	ENSMUSG00000097587	ENST00000548149	ENSMUST00000180490	0	0	0	0	0	0	3.953	28.961
ENSG00000259521	ENSMUSG00000085438	ENST00000560178	ENSMUST00000153581	0	0	0	0	0	0	3.237	27.767
ENSG00000226026	ENSMUSG00000106022	ENST00000419846	ENSMUST00000198374	0	0	0	0	0	0	6.877	21.296
ENSG00000277597	ENSMUSG00000109715	ENST00000615078	ENSMUST00000209836	0	0	0	0	0	0	4.065	47.504
ENSG00000231566	ENSMUSG00000097497	ENST00000456532	ENSMUST00000180592	0	0	0	0	0	0	6.797	10.909
ENSG00000131484	ENSMUSG00000086794	ENST00000588189	ENSMUST00000150442	0	0	0	0	0	0	3.952	18.848
ENSG00000225632	ENSMUSG00000086940	ENST00000426901	ENSMUST00000151369	0	0	0	0	0	0	3.808	22.605
ENSG00000250781	ENSMUSG00000107041	ENST00000508911	ENSMUST00000201718	0	1	0	0	0	0	4.177	59.349
ENSG00000278901	ENSMUSG00000103384	ENST00000625195	ENSMUST00000192178	1	1	1	1	1	1	16.872	5.249
ENSG00000227459	ENSMUSG00000096941	ENST00000446029	ENSMUST00000181260	0	0	0	0	0	0	4.288	66.095
ENSG00000257563	ENSMUSG00000108693	ENST00000549796	ENSMUST00000205957	0	1	1	0	1	1	8.167	22.386
ENSG00000259283	ENSMUSG00000109669	ENST00000558730	ENSMUST00000211295	0	0	0	0	0	0	3.175	28.054
ENSG00000255108	ENSMUSG00000073787	ENST00000532946	ENSMUST00000097947	1	0	0	0	0	0	5.528	3.661
ENSG00000227407	ENSMUSG00000086155	ENST00000457113	ENSMUST00000149343	0	1	1	1	0	0	8.023	13.836
ENSG00000271973	ENSMUSG00000025644	ENST00000607025	ENSMUST00000134690	0	1	0	0	0	0	4.502	9.737
ENSG00000225792	ENSMUSG00000108145	ENST00000451368	ENSMUST00000203781	1	0	0	0	1	0	5.69	41.781
ENSG00000230731	ENSMUSG00000101009	ENST00000421190	ENSMUST00000189375	0	0	0	0	0	0	3.655	9.469
ENSG00000264243	ENSMUSG00000085307	ENST00000581213	ENSMUST00000134436	1	1	0	1	1	1	9.417	34.113
ENSG00000266664	ENSMUSG00000085748	ENST00000584365	ENSMUST00000155836	0	0	0	0	0	0	5.272	34.934
ENSG00000259347	ENSMUSG00000086539	ENST00000636067	ENSMUST00000191455	1	1	1	1	1	1	8.249	30.418
ENSG00000272463	ENSMUSG00000087460	ENST00000606285	ENSMUST00000153175	0	0	0	0	0	0	3.344	36.222
ENSG00000260239	ENSMUSG00000085962	ENST00000563079	ENSMUST00000171079	0	0	0	0	0	0	4.045	8.515
ENSG00000276533	ENSMUSG00000104273	ENST00000611214	ENSMUST00000195338	1	0	0	0	0	0	4.504	33.125
ENSG00000257359	ENSMUSG00000097368	ENST00000550206	ENSMUST00000181905	0	0	0	0	0	0	5.621	6.124
ENSG00000274425	ENSMUSG00000102340	ENST00000612689	ENSMUST00000192279	0	1	1	1	1	0	7.522	26.429
ENSG00000267968	ENSMUSG00000108781	ENST00000598079	ENSMUST00000206293	0	0	0	0	0	0	3.26	7.681
ENSG00000272729	ENSMUSG00000052371	ENST00000608941	ENSMUST00000156342	0	1	0	1	1	0	4.559	17.493
ENSG00000234215	ENSMUSG00000100420	ENST00000436600	ENSMUST00000187344	0	0	0	0	0	0	3.722	12.503
ENSG00000266312	ENSMUSG00000097738	ENST00000582231	ENSMUST00000181345	0	0	0	0	0	0	3.767	51.795
ENSG00000283155	ENSMUSG00000102634	ENST00000513766	ENSMUST00000194001	0	0	0	0	0	0	3.057	34.375
ENSG00000234944	ENSMUSG00000107608	ENST00000421320	ENSMUST00000203822	0	0	0	0	0	0	6.148	25.037
ENSG00000259941	ENSMUSG00000102672	ENST00000564401	ENSMUST00000192251	1	1	1	0	1	0	4.815	91.517
ENSG00000272815	ENSMUSG00000072893	ENST00000602730	ENSMUST00000138763	0	1	0	0	0	0	7.707	22.341
ENSG00000183470	ENSMUSG00000086763	ENST00000332558	ENSMUST00000150314	0	0	0	0	0	0	5.536	31.395
ENSG00000262294	ENSMUSG00000087059	ENST00000572499	ENSMUST00000127424	1	0	0	0	0	0	3.744	24.769
ENSG00000234945	ENSMUSG00000107201	ENST00000626256	ENSMUST00000202893	1	1	0	0	1	0	6.746	9.531
ENSG00000269416	ENSMUSG00000103398	ENST00000602077	ENSMUST00000195630	0	0	1	0	0	0	6.218	5.759
ENSG00000255050	ENSMUSG00000085523	ENST00000531730	ENSMUST00000146755	0	1	0	1	1	0	8.109	33.483
ENSG00000279652	ENSMUSG00000086467	ENST00000625157	ENSMUST00000132871	1	1	0	0	0	0	5.186	25.936
ENSG00000227128	ENSMUSG00000102057	ENST00000430651	ENSMUST00000191181	1	1	1	1	1	0	7.908	23.961
ENSG00000270160	ENSMUSG00000099148	ENST00000602773	ENSMUST00000183423	0	0	0	0	0	0	3.1	18.619
ENSG00000229852	ENSMUSG00000104138	ENST00000441363	ENSMUST00000192487	0	0	0	0	0	0	4.743	9.192
ENSG00000236947	ENSMUSG00000097156	ENST00000441085	ENSMUST00000180984	0	0	0	0	0	0	3.026	24.576
ENSG00000278887	ENSMUSG00000108806	ENST00000624024	ENSMUST00000206759	0	1	1	1	1	0	6.412	39.03
ENSG00000257702	ENSMUSG00000087578	ENST00000603175	ENSMUST00000141639	1	0	0	0	0	0	4.277	33.507
ENSG00000234948	ENSMUSG00000052368	ENST00000428009	ENSMUST00000180562	0	0	0	0	0	0	5.017	30.057
ENSG00000225437	ENSMUSG00000089633	ENST00000433489	ENSMUST00000160738	0	0	0	0	0	0	3.096	27.055
ENSG00000225216	ENSMUSG00000100426	ENST00000629410	ENSMUST00000189802	0	0	0	0	0	0	3.752	18.48
ENSG00000272662	ENSMUSG00000097576	ENST00000609598	ENSMUST00000180735	1	0	0	0	0	0	3.081	48.83
ENSG00000253396	ENSMUSG00000086741	ENST00000521725	ENSMUST00000141930	0	1	0	0	0	0	5.01	19.814
ENSG00000272562	ENSMUSG00000097347	ENST00000609423	ENSMUST00000181811	0	0	0	0	0	0	4.248	125.108
ENSG00000270055	ENSMUSG00000098708	ENST00000602663	ENSMUST00000184360	0	0	0	0	0	0	4.367	80.666
ENSG00000273046	ENSMUSG00000104327	ENST00000512206	ENSMUST00000193409	0	0	0	0	0	0	3.386	17.543
ENSG00000250608	ENSMUSG00000093590	ENST00000502521	ENSMUST00000177284	0	0	0	0	0	0	4.459	17.529
ENSG00000238121	ENSMUSG00000106951	ENST00000452659	ENSMUST00000145042	1	1	0	0	1	0	7.885	7.331
ENSG00000265749	ENSMUSG00000072809	ENST00000583963	ENSMUST00000101007	1	1	0	0	1	0	5.299	7.537
ENSG00000260115	ENSMUSG00000109775	ENST00000562349	ENSMUST00000209893	0	0	0	0	0	0	4.866	16.179
ENSG00000177335	ENSMUSG00000100287	ENST00000395172	ENSMUST00000190861	1	1	0	0	1	0	5.331	14.248
ENSG00000279065	ENSMUSG00000100017	ENST00000624851	ENSMUST00000186474	1	0	0	0	0	0	3.528	25.371
ENSG00000268654	ENSMUSG00000109416	ENST00000599641	ENSMUST00000207613	0	1	0	1	0	0	5.497	41.964
ENSG00000249425	ENSMUSG00000103849	ENST00000512652	ENSMUST00000194524	0	0	0	1	0	0	3.823	39.043
ENSG00000265287	ENSMUSG00000097165	ENST00000579019	ENSMUST00000180805	0	1	0	0	0	0	3.189	22.457
ENSG00000256811	ENSMUSG00000105881	ENST00000543848	ENSMUST00000195992	1	0	0	0	0	0	4.999	16.149
ENSG00000255746	ENSMUSG00000097011	ENST00000540868	ENSMUST00000181738	0	0	0	0	0	0	3.524	61.479
ENSG00000262227	ENSMUSG00000085251	ENST00000574260	ENSMUST00000132986	1	1	0	0	0	0	4.596	34.313
ENSG00000255808	ENSMUSG00000109656	ENST00000540912	ENSMUST00000210076	0	0	0	0	0	0	3.603	51.192
ENSG00000248730	ENSMUSG00000090199	ENST00000512496	ENSMUST00000161643	0	0	0	0	0	0	3.964	48.875
ENSG00000266473	ENSMUSG00000059706	ENST00000585193	ENSMUST00000147445	1	1	0	1	1	0	16.87	5.734
ENSG00000279943	ENSMUSG00000109785	ENST00000623820	ENSMUST00000210456	0	0	0	0	0	0	3.894	10.747
ENSG00000270036	ENSMUSG00000102419	ENST00000602530	ENSMUST00000194281	0	0	0	0	0	0	3.108	39.505
ENSG00000230215	ENSMUSG00000096918	ENST00000421870	ENSMUST00000181476	1	1	0	0	0	0	5.99	43.417
ENSG00000256232	ENSMUSG00000107526	ENST00000541749	ENSMUST00000205198	1	1	0	0	1	0	8.086	58.352
ENSG00000262061	ENSMUSG00000087059	ENST00000575743	ENSMUST00000127424	1	1	0	0	1	0	6.279	14.961
ENSG00000233729	ENSMUSG00000104519	ENST00000424510	ENSMUST00000191994	0	0	0	0	0	0	3.592	51.872
ENSG00000278709	ENSMUSG00000074555	ENST00000613231	ENSMUST00000131346	0	0	0	0	0	0	3.35	84.012
ENSG00000267506	ENSMUSG00000086859	ENST00000590398	ENSMUST00000145438	0	0	0	0	0	0	3.226	9.539
ENSG00000250436	ENSMUSG00000106725	ENST00000502291	ENSMUST00000201590	0	1	0	0	0	0	5.262	41.8
ENSG00000214548	ENSMUSG00000102657	ENST00000522771	ENSMUST00000193116	1	1	1	0	0	1	5	1.118
ENSG00000240875	ENSMUSG00000103440	ENST00000472943	ENSMUST00000192502	0	0	0	0	0	0	4.495	34.522
ENSG00000283355	ENSMUSG00000086190	ENST00000636429	ENSMUST00000130943	1	1	1	1	0	0	8.833	24.867
ENSG00000254081	ENSMUSG00000103135	ENST00000520902	ENSMUST00000193065	0	0	1	0	1	1	3.99	15.199
ENSG00000237410	ENSMUSG00000052188	ENST00000433606	ENSMUST00000149574	0	1	0	0	0	0	3.582	31.945
ENSG00000226791	ENSMUSG00000102650	ENST00000629175	ENSMUST00000192480	0	0	0	0	0	0	3.098	28.367
ENSG00000269289	ENSMUSG00000097360	ENST00000596326	ENSMUST00000180908	0	1	0	0	0	0	3.983	22.028
ENSG00000273129	ENSMUSG00000097028	ENST00000608917	ENSMUST00000181460	0	0	0	0	0	0	4.394	43.021
ENSG00000227598	ENSMUSG00000058159	ENST00000444102	ENSMUST00000169635	0	0	0	0	0	0	4.669	41.572
ENSG00000272639	ENSMUSG00000109249	ENST00000558568	ENSMUST00000209012	0	0	0	0	0	0	3.917	25.681
ENSG00000227540	ENSMUSG00000084925	ENST00000457758	ENSMUST00000124940	0	0	0	0	0	0	3.902	14.671
ENSG00000259444	ENSMUSG00000097381	ENST00000559843	ENSMUST00000181055	1	1	0	0	0	0	4.796	16.817
ENSG00000280924	ENSMUSG00000097540	ENST00000628516	ENSMUST00000181254	0	0	0	0	0	0	4.797	20.494
ENSG00000274427	ENSMUSG00000105228	ENST00000610631	ENSMUST00000200448	1	1	1	0	0	0	4.646	41.466
ENSG00000267582	ENSMUSG00000103593	ENST00000591242	ENSMUST00000193908	0	1	0	0	0	0	3.963	39.944
ENSG00000232164	ENSMUSG00000104184	ENST00000428647	ENSMUST00000194952	1	0	0	0	0	1	5.306	22.952
ENSG00000213057	ENSMUSG00000102960	ENST00000521244	ENSMUST00000194053	1	1	1	1	1	0	13.147	41.66
ENSG00000261771	ENSMUSG00000102411	ENST00000568310	ENSMUST00000194508	1	1	1	0	0	1	7.302	26.121
ENSG00000234248	ENSMUSG00000103774	ENST00000457632	ENSMUST00000195226	1	0	0	0	1	0	6.758	73.551
ENSG00000261140	ENSMUSG00000085185	ENST00000562232	ENSMUST00000137883	1	1	1	1	1	1	11.397	15.615
ENSG00000235423	ENSMUSG00000105382	ENST00000541002	ENSMUST00000200032	0	0	0	0	0	0	3.883	22.061
ENSG00000237453	ENSMUSG00000086172	ENST00000450503	ENSMUST00000137882	0	0	0	0	0	0	3.742	22.293
ENSG00000227764	ENSMUSG00000055833	ENST00000412871	ENSMUST00000069573	0	0	0	0	0	0	3.541	12.349
ENSG00000244345	ENSMUSG00000107558	ENST00000478745	ENSMUST00000204605	0	0	0	0	0	0	4.651	30.712
ENSG00000272762	ENSMUSG00000086296	ENST00000488257	ENSMUST00000150953	1	1	0	0	1	0	7.276	23.73
ENSG00000277459	ENSMUSG00000092185	ENST00000614441	ENSMUST00000174760	0	0	0	0	0	0	5.207	66.503
ENSG00000247324	ENSMUSG00000078143	ENST00000500612	ENSMUST00000171173	0	0	0	0	0	0	3.749	3.512
ENSG00000231636	ENSMUSG00000107086	ENST00000444217	ENSMUST00000202534	1	1	0	0	1	0	7.172	38.207
ENSG00000269553	ENSMUSG00000063623	ENST00000597110	ENSMUST00000077142	0	0	0	0	0	0	3.556	8.963
ENSG00000253726	ENSMUSG00000102937	ENST00000519427	ENSMUST00000193873	0	0	0	0	0	0	3.44	61.919
ENSG00000279249	ENSMUSG00000098257	ENST00000623424	ENSMUST00000183344	1	0	0	0	1	0	5.392	20.025
ENSG00000228737	ENSMUSG00000104225	ENST00000422040	ENSMUST00000191880	1	1	1	0	0	0	4.223	59.62
ENSG00000251637	ENSMUSG00000082848	ENST00000511677	ENSMUST00000118575	0	0	0	0	0	0	5.026	27.111
ENSG00000256440	ENSMUSG00000085658	ENST00000545704	ENSMUST00000144757	1	1	0	0	0	0	3.004	27.191
ENSG00000273247	ENSMUSG00000102775	ENST00000610159	ENSMUST00000193090	1	1	1	1	1	1	9.343	20.707
ENSG00000249906	ENSMUSG00000084856	ENST00000514506	ENSMUST00000156822	1	1	0	1	1	0	4.315	43.252
ENSG00000279298	ENSMUSG00000106191	ENST00000623422	ENSMUST00000200193	1	1	1	0	0	0	4.789	32.422
ENSG00000223561	ENSMUSG00000107619	ENST00000423689	ENSMUST00000204226	1	1	1	0	0	0	5.426	23.77
ENSG00000259248	ENSMUSG00000091745	ENST00000561256	ENSMUST00000166507	0	0	0	0	0	0	3.23	15.492
ENSG00000279653	ENSMUSG00000100201	ENST00000623695	ENSMUST00000187366	0	0	0	0	0	0	4.395	25.055
