human gene	lizard gene	human transcript	lizard transcript	motif-pattern similarity score	gap penalty score
ENSG00000283095	XLOC_014346_liz	ENST00000634373	TCONS_00033232_liz	6	18.122
ENSG00000260411	XLOC_037449_liz	ENST00000585867	TCONS_00083596_liz	6.102	45.711
ENSG00000272888	XLOC_044160_liz	ENST00000553829	TCONS_00098160_liz	11.631	16.404
ENSG00000275964	XLOC_016064_liz	ENST00000620617	TCONS_00036411_liz	6.864	81.746
ENSG00000242407	XLOC_029625_liz	ENST00000495536	TCONS_00066756_liz	4.793	47.337
ENSG00000253490	XLOC_037071_liz	ENST00000522158	TCONS_00082811_liz	5.212	42.939
ENSG00000253837	XLOC_052572_liz	ENST00000519692	TCONS_00117517_liz	7.69	19.346
ENSG00000268756	XLOC_054608_liz	ENST00000594558	TCONS_00122748_liz	4.13	43.764
ENSG00000261578	XLOC_047633_liz	ENST00000566747	TCONS_00105813_liz	3.389	75.515
ENSG00000237087	XLOC_039972_liz	ENST00000437095	TCONS_00088861_liz	7.296	24.331
ENSG00000261803	XLOC_030181_liz	ENST00000566649	TCONS_00068177_liz	9.722	55.742
ENSG00000246731	XLOC_011853_liz	ENST00000499670	TCONS_00027180_liz	5.674	37.526
ENSG00000222041	XLOC_029339_liz	ENST00000414030	TCONS_00066031_liz	4.171	52.759
ENSG00000268912	XLOC_040445_liz	ENST00000594816	TCONS_00089861_liz	3.904	40.305
ENSG00000278872	XLOC_043086_liz	ENST00000625164	TCONS_00095967_liz	4.875	69.718
ENSG00000253200	XLOC_053755_liz	ENST00000521025	TCONS_00120595_liz	4.845	22.226
ENSG00000266970	XLOC_008938_liz	ENST00000592569	TCONS_00020655_liz	12.011	56.363
ENSG00000250208	XLOC_029916_liz	ENST00000505807	TCONS_00067549_liz	7.441	15.305
ENSG00000259799	XLOC_004389_liz	ENST00000565145	TCONS_00010158_liz	4.215	71.863
ENSG00000269653	XLOC_052578_liz	ENST00000594299	TCONS_00117541_liz	7.653	36.719
ENSG00000261471	XLOC_050534_liz	ENST00000564809	TCONS_00112533_liz	6.318	136.558
ENSG00000258317	XLOC_031764_liz	ENST00000549438	TCONS_00071378_liz	7.64	69.824
ENSG00000270182	XLOC_038153_liz	ENST00000602610	TCONS_00084984_liz	5.553	16.068
ENSG00000258858	XLOC_000088_liz	ENST00000555524	TCONS_00001026_liz	3.419	28.717
ENSG00000205930	XLOC_018239_liz	ENST00000382375	TCONS_00040737_liz	9.989	48.456
ENSG00000232084	XLOC_046353_liz	ENST00000452354	TCONS_00102914_liz	6.096	25.545
ENSG00000280936	XLOC_021222_liz	ENST00000629794	TCONS_00047646_liz	5.575	35.037
ENSG00000273093	XLOC_033570_liz	ENST00000608159	TCONS_00075127_liz	3.903	80.012
ENSG00000279406	XLOC_014232_liz	ENST00000623796	TCONS_00033032_liz	6.727	35.729
ENSG00000268364	XLOC_007989_liz	ENST00000594708	TCONS_00018281_liz	3.539	12.124
ENSG00000249328	XLOC_019429_liz	ENST00000502766	TCONS_00043759_liz	4.165	135.353
ENSG00000268460	XLOC_049536_liz	ENST00000596066	TCONS_00110345_liz	6.59	15.556
ENSG00000258355	XLOC_025627_liz	ENST00000552486	TCONS_00057616_liz	4.007	140.909
ENSG00000283031	XLOC_001920_liz	ENST00000634300	TCONS_00005119_liz	6.94	49.116
ENSG00000272477	XLOC_027872_liz	ENST00000607148	TCONS_00062620_liz	7.893	65.815
ENSG00000259895	XLOC_053388_liz	ENST00000563775	TCONS_00119647_liz	7.928	21.567
ENSG00000214039	XLOC_029916_liz	ENST00000291374	TCONS_00067549_liz	5.563	42.169
ENSG00000236389	XLOC_032115_liz	ENST00000447557	TCONS_00072093_liz	6.808	71.784
ENSG00000261469	XLOC_050959_liz	ENST00000564147	TCONS_00113606_liz	4.714	41.393
ENSG00000224691	XLOC_032561_liz	ENST00000428391	TCONS_00073040_liz	8.755	47.39
ENSG00000203356	XLOC_020722_liz	ENST00000366181	TCONS_00046400_liz	4.684	54.429
ENSG00000269937	XLOC_048275_liz	ENST00000569852	TCONS_00107294_liz	4.604	75.09
ENSG00000279569	XLOC_048762_liz	ENST00000623414	TCONS_00108511_liz	9.744	39.34
ENSG00000259779	XLOC_019801_liz	ENST00000562582	TCONS_00044405_liz	8.825	74.981
ENSG00000260563	XLOC_012206_liz	ENST00000566986	TCONS_00028048_liz	5.679	19.328
ENSG00000230002	XLOC_049692_liz	ENST00000441587	TCONS_00110741_liz	3.354	54.47
ENSG00000265519	XLOC_055425_liz	ENST00000582780	TCONS_00125044_liz	3.738	28.343
ENSG00000228620	XLOC_023760_liz	ENST00000433230	TCONS_00053708_liz	3.926	115.424
ENSG00000249267	XLOC_030019_liz	ENST00000502479	TCONS_00067850_liz	4.822	20.484
ENSG00000175611	XLOC_007863_liz	ENST00000429781	TCONS_00017955_liz	5.783	72.374
ENSG00000269296	XLOC_030360_liz	ENST00000598952	TCONS_00068464_liz	5.372	17.658
ENSG00000228630	XLOC_008341_liz	ENST00000425595	TCONS_00018996_liz	6.192	51.789
ENSG00000241985	XLOC_013824_liz	ENST00000463167	TCONS_00032102_liz	5.549	35.192
ENSG00000178193	XLOC_031144_liz	ENST00000433521	TCONS_00070169_liz	3.784	17.713
ENSG00000196668	XLOC_029988_liz	ENST00000480237	TCONS_00067785_liz	4.391	88.354
ENSG00000250501	XLOC_026942_liz	ENST00000502606	TCONS_00060302_liz	5.586	60.754
ENSG00000234380	XLOC_018201_liz	ENST00000420877	TCONS_00040657_liz	4.749	27.218
ENSG00000231156	XLOC_038815_liz	ENST00000423433	TCONS_00086457_liz	4.234	24.992
ENSG00000253811	XLOC_032882_liz	ENST00000522582	TCONS_00073689_liz	4.979	23.147
ENSG00000275265	XLOC_049009_liz	ENST00000619123	TCONS_00109138_liz	3.457	43.734
ENSG00000260566	XLOC_054296_liz	ENST00000563129	TCONS_00121927_liz	6.362	139.48
ENSG00000272274	XLOC_014910_liz	ENST00000607593	TCONS_00034179_liz	4.94	62.753
ENSG00000258162	XLOC_025906_liz	ENST00000546936	TCONS_00058255_liz	5.995	15.264
ENSG00000269392	XLOC_028573_liz	ENST00000597049	TCONS_00064302_liz	6.88	130.194
ENSG00000226363	XLOC_042742_liz	ENST00000426615	TCONS_00095208_liz	7.693	25.778
ENSG00000267489	XLOC_039685_liz	ENST00000593211	TCONS_00088389_liz	4.662	32.92
ENSG00000249335	XLOC_010596_liz	ENST00000503268	TCONS_00024548_liz	5.154	15.931
ENSG00000258620	XLOC_037863_liz	ENST00000556411	TCONS_00084395_liz	3.829	41.307
ENSG00000255108	XLOC_004615_liz	ENST00000528982	TCONS_00010637_liz	8.15	31.205
ENSG00000278999	XLOC_049417_liz	ENST00000624169	TCONS_00110096_liz	8.468	75.956
ENSG00000258876	XLOC_003905_liz	ENST00000553732	TCONS_00009180_liz	4.614	75.353
ENSG00000260482	XLOC_054890_liz	ENST00000566996	TCONS_00123472_liz	4.272	31.421
ENSG00000266261	XLOC_011996_liz	ENST00000584540	TCONS_00016452_liz	5.648	13.109
ENSG00000233101	XLOC_029624_liz	ENST00000487849	TCONS_00066757_liz	4.405	25.977
ENSG00000279028	XLOC_020162_liz	ENST00000625092	TCONS_00045066_liz	5.338	21.18
ENSG00000213599	XLOC_048225_liz	ENST00000561824	TCONS_00107132_liz	6.11	45.516
ENSG00000251602	XLOC_003656_liz	ENST00000551271	TCONS_00008690_liz	4.175	61.727
ENSG00000233427	XLOC_052008_liz	ENST00000418471	TCONS_00116189_liz	6.317	19.681
ENSG00000226455	XLOC_006018_liz	ENST00000445838	TCONS_00013574_liz	6.539	103.708
ENSG00000235994	XLOC_003091_liz	ENST00000441716	TCONS_00007494_liz	4.733	34.691
ENSG00000281189	XLOC_028075_liz	ENST00000627071	TCONS_00063028_liz	6.671	30.765
ENSG00000258922	XLOC_044183_liz	ENST00000555325	TCONS_00098238_liz	7.637	14.697
ENSG00000279220	XLOC_033247_liz	ENST00000623040	TCONS_00074506_liz	7.504	31.287
ENSG00000233642	XLOC_027608_liz	ENST00000449643	TCONS_00061985_liz	4.21	73.541
ENSG00000262888	XLOC_048266_liz	ENST00000571302	TCONS_00107252_liz	9.243	39.127
ENSG00000240291	XLOC_027633_liz	ENST00000436485	TCONS_00062050_liz	7.16	81.664
ENSG00000239552	XLOC_028492_liz	ENST00000464382	TCONS_00064115_liz	6.679	61.778
ENSG00000264769	XLOC_012211_liz	ENST00000580897	TCONS_00028058_liz	5.73	37.303
ENSG00000206573	XLOC_037981_liz	ENST00000468186	TCONS_00084659_liz	6.283	29.414
ENSG00000262413	XLOC_012202_liz	ENST00000576021	TCONS_00028033_liz	4.262	85.374
ENSG00000279801	XLOC_008936_liz	ENST00000624282	TCONS_00020652_liz	5.056	23.491
ENSG00000239587	XLOC_036006_liz	ENST00000454183	TCONS_00080459_liz	3.924	69.87
ENSG00000231074	XLOC_010198_liz	ENST00000444126	TCONS_00023667_liz	3.357	22.076
ENSG00000248714	XLOC_029652_liz	ENST00000507337	TCONS_00066841_liz	3.799	45.295
ENSG00000280339	XLOC_016236_liz	ENST00000624364	TCONS_00036774_liz	6.812	45.737
ENSG00000272100	XLOC_020724_liz	ENST00000606527	TCONS_00046408_liz	3.714	33.923
ENSG00000270066	XLOC_020583_liz	ENST00000602755	TCONS_00045985_liz	9.228	40.325
ENSG00000233220	XLOC_031667_liz	ENST00000530583	TCONS_00071154_liz	3.245	51.987
ENSG00000231160	XLOC_042937_liz	ENST00000440181	TCONS_00095606_liz	6.027	17.349
ENSG00000275457	XLOC_022371_liz	ENST00000622628	TCONS_00050094_liz	5.236	76.792
ENSG00000261529	XLOC_017705_liz	ENST00000565581	TCONS_00039633_liz	5.595	42.716
ENSG00000224691	XLOC_032561_liz	ENST00000428391	TCONS_00073042_liz	5.99	45.098
ENSG00000253390	XLOC_052572_liz	ENST00000521021	TCONS_00117517_liz	5.307	40.272
ENSG00000265474	XLOC_058503_liz	ENST00000577325	TCONS_00132403_liz	5.966	79.896
ENSG00000272267	XLOC_037092_liz	ENST00000607598	TCONS_00082854_liz	6.273	78.769
ENSG00000261386	XLOC_039490_liz	ENST00000605277	TCONS_00087931_liz	4.993	10.32
ENSG00000251377	XLOC_025084_liz	ENST00000504957	TCONS_00056431_liz	3.642	58.175
ENSG00000276063	XLOC_037953_liz	ENST00000622466	TCONS_00084581_liz	3.644	23.18
ENSG00000280650	XLOC_024419_liz	ENST00000627566	TCONS_00055149_liz	7.615	50.809
ENSG00000248101	XLOC_054608_liz	ENST00000473572	TCONS_00122748_liz	5.896	23.917
ENSG00000256364	XLOC_041959_liz	ENST00000541383	TCONS_00093462_liz	5.773	17.635
ENSG00000260366	XLOC_042698_liz	ENST00000569130	TCONS_00094995_liz	5.056	121.399
ENSG00000279117	XLOC_047461_liz	ENST00000624624	TCONS_00105471_liz	4.686	20.7
ENSG00000218416	XLOC_013953_liz	ENST00000538012	TCONS_00032368_liz	4.164	44.585
ENSG00000262833	XLOC_008774_liz	ENST00000570335	TCONS_00020215_liz	3.733	57.327
ENSG00000237781	XLOC_052896_liz	ENST00000442435	TCONS_00118383_liz	3.727	9.574
ENSG00000280003	XLOC_012795_liz	ENST00000624096	TCONS_00029310_liz	4.338	85.066
ENSG00000261080	XLOC_001898_liz	ENST00000563807	TCONS_00005067_liz	4.203	44.011
ENSG00000278954	XLOC_028419_liz	ENST00000622936	TCONS_00063911_liz	5.125	45.18
ENSG00000255571	XLOC_045967_liz	ENST00000536780	TCONS_00102264_liz	7.632	77.877
ENSG00000267288	XLOC_029435_liz	ENST00000589796	TCONS_00066297_liz	4.048	93.016
ENSG00000259854	XLOC_004389_liz	ENST00000562341	TCONS_00010156_liz	4.229	64.265
ENSG00000279220	XLOC_033243_liz	ENST00000623040	TCONS_00074498_liz	11.179	45.185
ENSG00000227248	XLOC_017619_liz	ENST00000449551	TCONS_00039446_liz	4.682	40.203
ENSG00000231718	XLOC_033519_liz	ENST00000452199	TCONS_00075027_liz	4	33.951
ENSG00000253187	XLOC_038125_liz	ENST00000519935	TCONS_00084942_liz	4.222	39.897
ENSG00000262691	XLOC_039508_liz	ENST00000573063	TCONS_00087964_liz	5.09	29.141
ENSG00000253829	XLOC_045166_liz	ENST00000459965	TCONS_00100296_liz	4.421	79.456
ENSG00000267432	XLOC_008938_liz	ENST00000598378	TCONS_00020655_liz	4.912	55.941
ENSG00000280989	XLOC_019900_liz	ENST00000630914	TCONS_00044558_liz	4.893	37.632
ENSG00000233214	XLOC_038231_liz	ENST00000413796	TCONS_00085128_liz	6.176	32.802
ENSG00000278957	XLOC_038815_liz	ENST00000623734	TCONS_00086457_liz	6.725	29.943
ENSG00000254038	XLOC_042011_liz	ENST00000523411	TCONS_00093593_liz	7.923	66.765
ENSG00000277159	XLOC_017648_liz	ENST00000613809	TCONS_00039512_liz	4.895	20.14
ENSG00000249094	XLOC_041967_liz	ENST00000446473	TCONS_00093482_liz	5.064	37.304
ENSG00000260588	XLOC_048925_liz	ENST00000563810	TCONS_00108941_liz	6.028	36.265
ENSG00000276449	XLOC_045687_liz	ENST00000620532	TCONS_00101631_liz	6.407	14.933
ENSG00000279204	XLOC_032882_liz	ENST00000624206	TCONS_00073689_liz	5.48	34.914
ENSG00000268006	XLOC_042690_liz	ENST00000600742	TCONS_00095079_liz	3.357	22.286
ENSG00000247982	XLOC_049671_liz	ENST00000620766	TCONS_00110672_liz	6.894	45.669
ENSG00000254290	XLOC_044774_liz	ENST00000522471	TCONS_00099510_liz	4.234	67.337
ENSG00000249984	XLOC_007623_liz	ENST00000503489	TCONS_00017466_liz	5.361	66.642
ENSG00000280099	XLOC_031246_liz	ENST00000624216	TCONS_00070372_liz	3.684	79.246
ENSG00000232453	XLOC_020539_liz	ENST00000634763	TCONS_00045842_liz	3	47.413
ENSG00000278952	XLOC_055089_liz	ENST00000623192	TCONS_00124048_liz	3.824	40.703
ENSG00000256031	XLOC_041936_liz	ENST00000534886	TCONS_00093417_liz	6.26	64.545
ENSG00000279622	XLOC_050525_liz	ENST00000625056	TCONS_00112515_liz	6.645	13.478
ENSG00000237595	XLOC_023283_liz	ENST00000435301	TCONS_00052150_liz	3.346	9.201
ENSG00000225484	XLOC_035376_liz	ENST00000610681	TCONS_00078941_liz	7.841	58.622
ENSG00000281406	XLOC_034996_liz	ENST00000626538	TCONS_00078202_liz	10.148	49.113
ENSG00000233593	XLOC_020455_liz	ENST00000435649	TCONS_00045666_liz	3.798	43.29
ENSG00000272582	XLOC_023761_liz	ENST00000609976	TCONS_00053715_liz	6.734	35.327
ENSG00000180422	XLOC_047369_liz	ENST00000321214	TCONS_00105234_liz	4.884	50.971
ENSG00000250150	XLOC_040730_liz	ENST00000509096	TCONS_00090560_liz	5.195	157.125
ENSG00000259334	XLOC_053832_liz	ENST00000559615	TCONS_00120761_liz	7.209	15.861
ENSG00000281196	XLOC_041919_liz	ENST00000630357	TCONS_00093347_liz	6.351	26.16
ENSG00000273618	XLOC_051578_liz	ENST00000622438	TCONS_00115269_liz	8.732	86.992
ENSG00000258875	XLOC_000210_liz	ENST00000554096	TCONS_00001262_liz	10.381	103.004
ENSG00000216895	XLOC_028665_liz	ENST00000474963	TCONS_00064528_liz	4.603	31.089
ENSG00000278936	XLOC_020162_liz	ENST00000624089	TCONS_00045066_liz	11.239	25.575
ENSG00000259517	XLOC_030181_liz	ENST00000561336	TCONS_00067990_liz	9.115	37.753
ENSG00000269296	XLOC_030360_liz	ENST00000598952	TCONS_00068459_liz	4.678	47.405
ENSG00000262039	XLOC_029625_liz	ENST00000576461	TCONS_00066756_liz	4.228	175.328
ENSG00000261693	XLOC_034515_liz	ENST00000569285	TCONS_00077146_liz	6.33	47.445
ENSG00000251173	XLOC_026655_liz	ENST00000510073	TCONS_00059794_liz	3.738	76.894
ENSG00000249669	XLOC_009169_liz	ENST00000614896	TCONS_00021251_liz	3.282	47.35
ENSG00000222035	XLOC_033227_liz	ENST00000409819	TCONS_00074466_liz	3.841	43.89
ENSG00000227392	XLOC_038223_liz	ENST00000392227	TCONS_00085103_liz	5.752	26.827
ENSG00000279999	XLOC_050555_liz	ENST00000583394	TCONS_00112585_liz	5.781	22.741
ENSG00000255438	XLOC_023250_liz	ENST00000526566	TCONS_00052094_liz	5.873	68.553
ENSG00000260805	XLOC_006942_liz	ENST00000564287	TCONS_00015387_liz	6.09	63.376
ENSG00000205334	XLOC_012318_liz	ENST00000379677	TCONS_00028301_liz	5.715	35.218
ENSG00000279604	XLOC_046311_liz	ENST00000624955	TCONS_00102825_liz	5.085	62.449
ENSG00000261400	XLOC_039685_liz	ENST00000562167	TCONS_00088389_liz	8	8.527
ENSG00000204261	XLOC_010401_liz	ENST00000415067	TCONS_00024105_liz	3.083	72.019
ENSG00000254325	XLOC_036111_liz	ENST00000518552	TCONS_00080702_liz	5.889	18.682
ENSG00000280392	XLOC_030086_liz	ENST00000624987	TCONS_00068042_liz	4.478	35.986
ENSG00000267432	XLOC_008938_liz	ENST00000598378	TCONS_00020655_liz	6.726	65.731
ENSG00000269050	XLOC_052584_liz	ENST00000593830	TCONS_00117553_liz	3.694	24.752
ENSG00000262185	XLOC_048264_liz	ENST00000576810	TCONS_00107248_liz	5.085	36.775
ENSG00000225446	XLOC_022543_liz	ENST00000425185	TCONS_00050452_liz	4.66	62.855
ENSG00000273891	XLOC_017156_liz	ENST00000620490	TCONS_00038731_liz	3.308	10.551
ENSG00000279193	XLOC_029916_liz	ENST00000624565	TCONS_00067547_liz	11.237	21.832
ENSG00000249550	XLOC_041993_liz	ENST00000510694	TCONS_00093546_liz	4.836	22.494
ENSG00000280255	XLOC_038155_liz	ENST00000623092	TCONS_00084987_liz	3.323	62.944
ENSG00000214293	XLOC_024562_liz	ENST00000440088	TCONS_00055449_liz	7.861	95.166
ENSG00000260902	XLOC_013022_liz	ENST00000566553	TCONS_00029818_liz	3.333	12.302
ENSG00000280122	XLOC_008936_liz	ENST00000625040	TCONS_00020651_liz	9.853	94.906
ENSG00000226390	XLOC_021214_liz	ENST00000436263	TCONS_00047628_liz	4.956	29.594
ENSG00000267169	XLOC_011564_liz	ENST00000588387	TCONS_00026510_liz	5.183	28.633
ENSG00000279838	XLOC_032565_liz	ENST00000623474	TCONS_00073049_liz	4.838	33.088
ENSG00000273189	XLOC_028573_liz	ENST00000595815	TCONS_00064302_liz	7.627	36.951
ENSG00000279019	XLOC_051524_liz	ENST00000623921	TCONS_00115133_liz	6.329	45.713
ENSG00000230967	XLOC_035817_liz	ENST00000450669	TCONS_00080017_liz	5.482	25.958
ENSG00000225756	XLOC_057206_liz	ENST00000425189	TCONS_00129596_liz	4.49	104.614
ENSG00000279057	XLOC_054146_liz	ENST00000624558	TCONS_00121594_liz	5.676	56.034
ENSG00000281969	XLOC_003392_liz	ENST00000632210	TCONS_00008179_liz	9.21	84.374
ENSG00000280551	XLOC_027224_liz	ENST00000627783	TCONS_00060858_liz	4.287	24.285
ENSG00000237594	XLOC_018239_liz	ENST00000433071	TCONS_00040737_liz	4.254	61.664
ENSG00000259254	XLOC_037548_liz	ENST00000559841	TCONS_00083803_liz	4.694	9.654
ENSG00000268362	XLOC_045689_liz	ENST00000594934	TCONS_00101633_liz	8.154	26.495
ENSG00000234945	XLOC_055855_liz	ENST00000416453	TCONS_00126156_liz	3.29	24.427
ENSG00000234476	XLOC_003459_liz	ENST00000428642	TCONS_00008316_liz	5.034	44.962
ENSG00000261799	XLOC_023592_liz	ENST00000570140	TCONS_00053280_liz	4.423	34.289
ENSG00000280177	XLOC_028357_liz	ENST00000623613	TCONS_00063745_liz	5.386	38.618
ENSG00000267815	XLOC_028573_liz	ENST00000595563	TCONS_00064302_liz	9.206	64.628
ENSG00000227467	XLOC_039666_liz	ENST00000450804	TCONS_00088353_liz	7.496	25.573
ENSG00000231305	XLOC_012959_liz	ENST00000498297	TCONS_00029681_liz	5.72	22.654
ENSG00000261572	XLOC_002657_liz	ENST00000565519	TCONS_00006469_liz	4.462	128.416
ENSG00000280711	XLOC_027160_liz	ENST00000626286	TCONS_00060718_liz	5.631	96.856
ENSG00000249628	XLOC_023571_liz	ENST00000515614	TCONS_00053201_liz	6.389	32.531
ENSG00000251381	XLOC_035652_liz	ENST00000527945	TCONS_00079615_liz	9.261	48.283
ENSG00000266980	XLOC_008999_liz	ENST00000586808	TCONS_00020806_liz	5.838	31.404
ENSG00000268401	XLOC_049536_liz	ENST00000595955	TCONS_00110343_liz	5.192	60.4
ENSG00000273247	XLOC_024936_liz	ENST00000608661	TCONS_00056199_liz	6.761	28.39
ENSG00000268686	XLOC_028560_liz	ENST00000599433	TCONS_00064277_liz	4.743	13.973
ENSG00000256092	XLOC_030033_liz	ENST00000602918	TCONS_00067885_liz	4.404	112.226
ENSG00000253408	XLOC_048925_liz	ENST00000521470	TCONS_00108940_liz	3.877	21.37
ENSG00000262714	XLOC_030061_liz	ENST00000571340	TCONS_00068007_liz	4.434	44.278
ENSG00000248668	XLOC_010528_liz	ENST00000508458	TCONS_00024412_liz	6.061	21.095
ENSG00000228417	XLOC_016907_liz	ENST00000451656	TCONS_00038279_liz	3.933	92.962
ENSG00000239921	XLOC_009836_liz	ENST00000461398	TCONS_00022877_liz	4.754	52.562
ENSG00000258952	XLOC_037275_liz	ENST00000555871	TCONS_00083234_liz	5.235	19.412
ENSG00000267737	XLOC_008938_liz	ENST00000586321	TCONS_00020655_liz	7.725	72.69
ENSG00000278911	XLOC_019810_liz	ENST00000624305	TCONS_00044417_liz	3.533	18.779
ENSG00000247498	XLOC_044380_liz	ENST00000536029	TCONS_00098689_liz	3.976	17.277
ENSG00000259639	XLOC_004045_liz	ENST00000560886	TCONS_00009446_liz	5.727	25.505
ENSG00000254235	XLOC_037035_liz	ENST00000518619	TCONS_00082748_liz	3.512	14.213
ENSG00000228288	XLOC_021011_liz	ENST00000417262	TCONS_00047122_liz	5.688	65.866
ENSG00000271858	XLOC_012753_liz	ENST00000607362	TCONS_00029233_liz	3.92	42.965
ENSG00000261829	XLOC_045633_liz	ENST00000568958	TCONS_00101378_liz	4.24	11.336
ENSG00000271366	XLOC_038243_liz	ENST00000604161	TCONS_00085140_liz	6.124	98.067
ENSG00000225206	XLOC_022500_liz	ENST00000602852	TCONS_00050351_liz	3.771	23.051
ENSG00000272195	XLOC_038900_liz	ENST00000607453	TCONS_00086645_liz	4.549	25.51
ENSG00000260804	XLOC_042257_liz	ENST00000562038	TCONS_00094196_liz	4.428	25.441
ENSG00000231889	XLOC_002623_liz	ENST00000440001	TCONS_00006406_liz	4.669	25.539
ENSG00000183308	XLOC_047078_liz	ENST00000332935	TCONS_00104518_liz	5.076	44.746
ENSG00000257913	XLOC_008683_liz	ENST00000547395	TCONS_00019952_liz	5.127	54.006
ENSG00000280389	XLOC_049029_liz	ENST00000623601	TCONS_00109201_liz	5.27	65.8
