human gene	frog gene	human transcript	frog transcript	motif-pattern similarity score	gap penalty score
ENSG00000180539	XLOC_024568_frg	ENST00000623196	TCONS_00078347_frg	5.638	19.677
ENSG00000280053	XLOC_013482_frg	ENST00000625022	TCONS_00043047_frg	6.818	21.17
ENSG00000258497	XLOC_022590_frg	ENST00000555328	TCONS_00071993_frg	5.033	44.969
ENSG00000227486	XLOC_023183_frg	ENST00000452532	TCONS_00073964_frg	4.527	148.851
ENSG00000254653	XLOC_012205_frg	ENST00000528480	TCONS_00038882_frg	3.441	9.849
ENSG00000236830	XLOC_005605_frg	ENST00000625079	TCONS_00017648_frg	4.635	52.898
ENSG00000278390	XLOC_005086_frg	ENST00000619407	TCONS_00016161_frg	5.124	24.625
ENSG00000283392	XLOC_011922_frg	ENST00000635800	TCONS_00037814_frg	5.058	63.547
ENSG00000263731	XLOC_021372_frg	ENST00000582866	TCONS_00068080_frg	5.546	21.954
ENSG00000249673	XLOC_002104_frg	ENST00000515194	TCONS_00006685_frg	4.742	56.069
ENSG00000226009	XLOC_020615_frg	ENST00000412353	TCONS_00065471_frg	3.408	60.803
ENSG00000279655	XLOC_018286_frg	ENST00000624160	TCONS_00057828_frg	6.013	12.443
ENSG00000229953	XLOC_022964_frg	ENST00000448869	TCONS_00073136_frg	4.894	42.328
ENSG00000223831	XLOC_000663_frg	ENST00000432130	TCONS_00002343_frg	4.366	54.914
ENSG00000273319	XLOC_009952_frg	ENST00000608412	TCONS_00032248_frg	4.566	48.33
ENSG00000267607	XLOC_028682_frg	ENST00000589379	TCONS_00091699_frg	5.868	94.212
ENSG00000260136	XLOC_026758_frg	ENST00000570080	TCONS_00085481_frg	5.782	43.972
ENSG00000249086	XLOC_010715_frg	ENST00000509204	TCONS_00034109_frg	4.9	23.238
ENSG00000279726	XLOC_008185_frg	ENST00000624176	TCONS_00026331_frg	8.861	24.892
ENSG00000206249	XLOC_027257_frg	ENST00000437016	TCONS_00087473_frg	5.116	44.267
ENSG00000260246	XLOC_002994_frg	ENST00000562538	TCONS_00009482_frg	3.733	43.949
ENSG00000251497	XLOC_000465_frg	ENST00000506255	TCONS_00001645_frg	4.095	130.382
ENSG00000223576	XLOC_007132_frg	ENST00000422148	TCONS_00022655_frg	5.656	63.558
ENSG00000261449	XLOC_007721_frg	ENST00000564481	TCONS_00024834_frg	4.706	47.2
ENSG00000261080	XLOC_026970_frg	ENST00000563807	TCONS_00086327_frg	5.53	21.923
ENSG00000246731	XLOC_028838_frg	ENST00000499670	TCONS_00092202_frg	4.195	27.189
ENSG00000264569	XLOC_021372_frg	ENST00000584705	TCONS_00068079_frg	3	55.933
ENSG00000280092	XLOC_011010_frg	ENST00000623314	TCONS_00034974_frg	3.608	59.271
ENSG00000262888	XLOC_025588_frg	ENST00000571302	TCONS_00081595_frg	5.767	121.284
ENSG00000275445	XLOC_025531_frg	ENST00000612618	TCONS_00081440_frg	4.77	38.779
ENSG00000268015	XLOC_032038_frg	ENST00000601745	TCONS_00103051_frg	6.883	25.245
ENSG00000259334	XLOC_003203_frg	ENST00000559615	TCONS_00009977_frg	5.855	38.882
ENSG00000230027	XLOC_013177_frg	ENST00000434540	TCONS_00042049_frg	4.952	45.598
ENSG00000231889	XLOC_014152_frg	ENST00000440001	TCONS_00045477_frg	6.079	24.957
ENSG00000266979	XLOC_027585_frg	ENST00000589259	TCONS_00088427_frg	5.673	36.919
ENSG00000230698	XLOC_013458_frg	ENST00000435478	TCONS_00042985_frg	3.993	59.544
ENSG00000249669	XLOC_008359_frg	ENST00000505254	TCONS_00026842_frg	4.088	51.488
ENSG00000260510	XLOC_025532_frg	ENST00000565498	TCONS_00081454_frg	3.426	32.101
ENSG00000259713	XLOC_009154_frg	ENST00000559041	TCONS_00029492_frg	7.865	35.196
ENSG00000273221	XLOC_002984_frg	ENST00000610049	TCONS_00009463_frg	3.992	74.283
ENSG00000257815	XLOC_009730_frg	ENST00000549651	TCONS_00031417_frg	10.791	28.489
ENSG00000236535	XLOC_013350_frg	ENST00000421851	TCONS_00042610_frg	5.292	151.535
ENSG00000271858	XLOC_013458_frg	ENST00000607362	TCONS_00042986_frg	3.968	27.726
ENSG00000245156	XLOC_011158_frg	ENST00000501708	TCONS_00035376_frg	6.391	43.257
ENSG00000258584	XLOC_023906_frg	ENST00000555732	TCONS_00076027_frg	3.903	75.942
ENSG00000258317	XLOC_006778_frg	ENST00000549438	TCONS_00021506_frg	3.612	149.511
ENSG00000272975	XLOC_030641_frg	ENST00000587182	TCONS_00098396_frg	4.676	140.5
ENSG00000259673	XLOC_007865_frg	ENST00000559298	TCONS_00025332_frg	4.693	173.313
ENSG00000251034	XLOC_007724_frg	ENST00000514980	TCONS_00024873_frg	4.709	44.705
ENSG00000255384	XLOC_020889_frg	ENST00000532619	TCONS_00066396_frg	6.623	28.985
ENSG00000281196	XLOC_000387_frg	ENST00000630357	TCONS_00001358_frg	5.825	27.881
ENSG00000257268	XLOC_002640_frg	ENST00000551161	TCONS_00008249_frg	3.879	20.928
ENSG00000265474	XLOC_004560_frg	ENST00000577325	TCONS_00014571_frg	5.974	55.351
ENSG00000260328	XLOC_026840_frg	ENST00000562897	TCONS_00085823_frg	6.586	37.325
ENSG00000240990	XLOC_016976_frg	ENST00000522674	TCONS_00053987_frg	5.755	57.822
ENSG00000236753	XLOC_008767_frg	ENST00000429067	TCONS_00028096_frg	6.246	24.42
ENSG00000215483	XLOC_006971_frg	ENST00000636621	TCONS_00022185_frg	7.266	57.775
ENSG00000261146	XLOC_025087_frg	ENST00000566529	TCONS_00079969_frg	3.875	69.828
ENSG00000233077	XLOC_028031_frg	ENST00000441214	TCONS_00089856_frg	5.34	57.877
ENSG00000263873	XLOC_020878_frg	ENST00000578216	TCONS_00066336_frg	4.636	47.228
ENSG00000279036	XLOC_027619_frg	ENST00000624209	TCONS_00088536_frg	5.269	16.422
ENSG00000232406	XLOC_027942_frg	ENST00000441208	TCONS_00089516_frg	12.878	33.92
ENSG00000223343	XLOC_013507_frg	ENST00000452042	TCONS_00043103_frg	4.137	60.607
ENSG00000237063	XLOC_027949_frg	ENST00000433587	TCONS_00089531_frg	4.554	34.478
ENSG00000279095	XLOC_005374_frg	ENST00000623022	TCONS_00017132_frg	4.774	50.15
ENSG00000236535	XLOC_013350_frg	ENST00000421851	TCONS_00042610_frg	6.686	15.864
ENSG00000259006	XLOC_011019_frg	ENST00000554623	TCONS_00035010_frg	5.814	54.131
ENSG00000273214	XLOC_012937_frg	ENST00000609265	TCONS_00041125_frg	6.114	37.844
ENSG00000237174	XLOC_014062_frg	ENST00000628384	TCONS_00045199_frg	8.217	101.111
ENSG00000177993	XLOC_007773_frg	ENST00000325660	TCONS_00025049_frg	4.432	50.946
ENSG00000278831	XLOC_018967_frg	ENST00000621254	TCONS_00060340_frg	4.673	36.575
ENSG00000236986	XLOC_023054_frg	ENST00000592466	TCONS_00073455_frg	5.799	36.958
ENSG00000269514	XLOC_006872_frg	ENST00000595310	TCONS_00021851_frg	6.846	88.428
ENSG00000273433	XLOC_016969_frg	ENST00000467897	TCONS_00053968_frg	5.991	20.489
ENSG00000279369	XLOC_027395_frg	ENST00000623228	TCONS_00087988_frg	5.426	85.038
ENSG00000279136	XLOC_026848_frg	ENST00000623562	TCONS_00085850_frg	5.433	55.018
ENSG00000261592	XLOC_009510_frg	ENST00000569147	TCONS_00030712_frg	3.373	27.429
ENSG00000227640	XLOC_005038_frg	ENST00000438290	TCONS_00016022_frg	6.91	63.045
ENSG00000259594	XLOC_009124_frg	ENST00000558141	TCONS_00029401_frg	7.259	34.587
ENSG00000271996	XLOC_026138_frg	ENST00000606200	TCONS_00083460_frg	4.946	39.173
ENSG00000224413	XLOC_026453_frg	ENST00000451618	TCONS_00084493_frg	6.012	27.985
ENSG00000260267	XLOC_025687_frg	ENST00000564629	TCONS_00081939_frg	3.646	43.049
ENSG00000247095	XLOC_012739_frg	ENST00000500447	TCONS_00040526_frg	5.902	38.022
ENSG00000242268	XLOC_015009_frg	ENST00000484765	TCONS_00048219_frg	3.381	13.178
ENSG00000279987	XLOC_002732_frg	ENST00000623570	TCONS_00008685_frg	4.497	25.01
ENSG00000259615	XLOC_009166_frg	ENST00000560477	TCONS_00029549_frg	3.953	87.571
ENSG00000256031	XLOC_002613_frg	ENST00000534886	TCONS_00008139_frg	7.235	45.727
ENSG00000273382	XLOC_012919_frg	ENST00000608574	TCONS_00041062_frg	6.055	83.361
ENSG00000198454	XLOC_024579_frg	ENST00000371629	TCONS_00078374_frg	4.372	57.282
ENSG00000274427	XLOC_002671_frg	ENST00000610631	TCONS_00008399_frg	3.567	78.318
ENSG00000250133	XLOC_006892_frg	ENST00000604081	TCONS_00021910_frg	7.062	39.875
ENSG00000239608	XLOC_011867_frg	ENST00000485218	TCONS_00037669_frg	5.447	13.748
ENSG00000258634	XLOC_002981_frg	ENST00000554749	TCONS_00009454_frg	6.745	28.968
ENSG00000279298	XLOC_000553_frg	ENST00000623422	TCONS_00001991_frg	4.141	90.812
ENSG00000203804	XLOC_024761_frg	ENST00000617352	TCONS_00078993_frg	4.514	43.345
ENSG00000259453	XLOC_009177_frg	ENST00000558757	TCONS_00029570_frg	5.909	43.951
ENSG00000253552	XLOC_018286_frg	ENST00000518088	TCONS_00057827_frg	5.138	90.354
ENSG00000253837	XLOC_008953_frg	ENST00000519692	TCONS_00028814_frg	6.54	30.616
ENSG00000180422	XLOC_012559_frg	ENST00000321214	TCONS_00040059_frg	3.834	11.011
ENSG00000254300	XLOC_017677_frg	ENST00000518732	TCONS_00056111_frg	5.662	47.624
ENSG00000260988	XLOC_019327_frg	ENST00000566715	TCONS_00061346_frg	8.292	78.549
ENSG00000274272	XLOC_032169_frg	ENST00000485071	TCONS_00103613_frg	9.812	51.692
ENSG00000262877	XLOC_021372_frg	ENST00000571724	TCONS_00068080_frg	5.776	61.11
ENSG00000170919	XLOC_005106_frg	ENST00000618947	TCONS_00016205_frg	8.398	14.595
ENSG00000254614	XLOC_012435_frg	ENST00000526623	TCONS_00039638_frg	5.102	34.756
ENSG00000260588	XLOC_007721_frg	ENST00000563810	TCONS_00024834_frg	4.816	86.347
ENSG00000259854	XLOC_012189_frg	ENST00000562341	TCONS_00038768_frg	6.872	57.42
ENSG00000157306	XLOC_001021_frg	ENST00000556354	TCONS_00003338_frg	6.875	15.933
ENSG00000277504	XLOC_009510_frg	ENST00000620306	TCONS_00030714_frg	4.407	32.392
ENSG00000226869	XLOC_008699_frg	ENST00000450896	TCONS_00027886_frg	4.859	37.898
ENSG00000259779	XLOC_017859_frg	ENST00000562582	TCONS_00056698_frg	4.242	45.395
ENSG00000099869	XLOC_010715_frg	ENST00000381363	TCONS_00034109_frg	5.184	78.275
ENSG00000223561	XLOC_016983_frg	ENST00000423689	TCONS_00054030_frg	3.139	43.34
ENSG00000267272	XLOC_011258_frg	ENST00000619924	TCONS_00035657_frg	7.43	28.191
ENSG00000227248	XLOC_006986_frg	ENST00000449551	TCONS_00022240_frg	4.942	29.942
ENSG00000266998	XLOC_027839_frg	ENST00000588701	TCONS_00089164_frg	5.622	44.338
ENSG00000248429	XLOC_001884_frg	ENST00000503611	TCONS_00005956_frg	5.91	52.454
ENSG00000265121	XLOC_027835_frg	ENST00000584075	TCONS_00089150_frg	4.446	44.511
ENSG00000226869	XLOC_008699_frg	ENST00000450896	TCONS_00027886_frg	3.656	52.152
ENSG00000269050	XLOC_022485_frg	ENST00000593830	TCONS_00071619_frg	4.947	22.198
ENSG00000233429	XLOC_018286_frg	ENST00000434063	TCONS_00057828_frg	3.181	42.214
ENSG00000253390	XLOC_008949_frg	ENST00000521021	TCONS_00028800_frg	5.579	33.773
ENSG00000279532	XLOC_004572_frg	ENST00000623773	TCONS_00014590_frg	4.546	22.583
ENSG00000225208	XLOC_020626_frg	ENST00000442188	TCONS_00065522_frg	6.003	35.835
ENSG00000272888	XLOC_007980_frg	ENST00000554894	TCONS_00025710_frg	5.369	68.337
ENSG00000278200	XLOC_021372_frg	ENST00000617888	TCONS_00068080_frg	7.302	67.328
ENSG00000260487	XLOC_030949_frg	ENST00000562525	TCONS_00099513_frg	8.343	45.996
ENSG00000250132	XLOC_007649_frg	ENST00000539259	TCONS_00024629_frg	3.818	68.328
ENSG00000253837	XLOC_007777_frg	ENST00000519692	TCONS_00025057_frg	6.97	16.966
ENSG00000274605	XLOC_005021_frg	ENST00000612598	TCONS_00015974_frg	3.694	51.349
ENSG00000230676	XLOC_023064_frg	ENST00000436510	TCONS_00073496_frg	5.313	49.051
ENSG00000224192	XLOC_000598_frg	ENST00000414989	TCONS_00002173_frg	4.906	39.547
ENSG00000273014	XLOC_016823_frg	ENST00000609151	TCONS_00053583_frg	6.466	109.52
ENSG00000267469	XLOC_001518_frg	ENST00000592758	TCONS_00004818_frg	3.984	12.874
ENSG00000266036	XLOC_027168_frg	ENST00000585285	TCONS_00087210_frg	3.506	29.994
ENSG00000225493	XLOC_025293_frg	ENST00000446979	TCONS_00080729_frg	6.675	54.505
ENSG00000276337	XLOC_012622_frg	ENST00000612833	TCONS_00040258_frg	5.392	31.209
ENSG00000283078	XLOC_027781_frg	ENST00000635124	TCONS_00088993_frg	4.692	15.322
ENSG00000272473	XLOC_003602_frg	ENST00000606966	TCONS_00011204_frg	4.639	34.811
ENSG00000279462	XLOC_000480_frg	ENST00000622998	TCONS_00001678_frg	11.795	76.368
ENSG00000224310	XLOC_026756_frg	ENST00000414816	TCONS_00085471_frg	6.838	27.227
ENSG00000197291	XLOC_028189_frg	ENST00000592670	TCONS_00090322_frg	8.517	49.845
ENSG00000280422	XLOC_011519_frg	ENST00000624646	TCONS_00036596_frg	6.079	70.188
ENSG00000268050	XLOC_023054_frg	ENST00000599172	TCONS_00073455_frg	9.887	63.209
ENSG00000234741	XLOC_013350_frg	ENST00000451607	TCONS_00042610_frg	4.035	35.107
ENSG00000216895	XLOC_017203_frg	ENST00000474963	TCONS_00054746_frg	6.103	39.275
ENSG00000255438	XLOC_027294_frg	ENST00000526566	TCONS_00087587_frg	3.908	115.472
ENSG00000255335	XLOC_032536_frg	ENST00000529781	TCONS_00104622_frg	5.12	63.861
ENSG00000273188	XLOC_008666_frg	ENST00000607943	TCONS_00027749_frg	5.581	27.107
ENSG00000225450	XLOC_012936_frg	ENST00000416406	TCONS_00041120_frg	5.323	61.892
ENSG00000227373	XLOC_013350_frg	ENST00000419983	TCONS_00042610_frg	4.717	40.351
ENSG00000226869	XLOC_008699_frg	ENST00000449764	TCONS_00027886_frg	6.812	59.923
ENSG00000279632	XLOC_010612_frg	ENST00000623917	TCONS_00033838_frg	7.166	32.682
ENSG00000271959	XLOC_017431_frg	ENST00000606664	TCONS_00055450_frg	5.271	39.917
ENSG00000261437	XLOC_016325_frg	ENST00000562760	TCONS_00052170_frg	4.622	67.659
ENSG00000277151	XLOC_007067_frg	ENST00000617901	TCONS_00022486_frg	3.712	124.758
ENSG00000272906	XLOC_012831_frg	ENST00000610272	TCONS_00040813_frg	3.96	33.432
ENSG00000274020	XLOC_022911_frg	ENST00000440862	TCONS_00073031_frg	3.782	14.071
ENSG00000278954	XLOC_027722_frg	ENST00000622936	TCONS_00088779_frg	5.237	22.064
ENSG00000260805	XLOC_015850_frg	ENST00000564287	TCONS_00050403_frg	13.442	49.778
ENSG00000236668	XLOC_023176_frg	ENST00000453529	TCONS_00073944_frg	4.748	54.45
ENSG00000267519	XLOC_029223_frg	ENST00000587762	TCONS_00094153_frg	3.318	20.412
ENSG00000268636	XLOC_020055_frg	ENST00000600665	TCONS_00063778_frg	7.295	71.781
ENSG00000257407	XLOC_002832_frg	ENST00000551940	TCONS_00009064_frg	9.571	86.646
ENSG00000153363	XLOC_013468_frg	ENST00000423222	TCONS_00043011_frg	10.556	42.058
ENSG00000203356	XLOC_013319_frg	ENST00000366181	TCONS_00042517_frg	5.896	62.789
ENSG00000265784	XLOC_028283_frg	ENST00000580121	TCONS_00090693_frg	5.022	31.506
ENSG00000268499	XLOC_023829_frg	ENST00000598146	TCONS_00075735_frg	5.283	61.214
ENSG00000237390	XLOC_028813_frg	ENST00000451362	TCONS_00092136_frg	7.075	76.692
ENSG00000268707	XLOC_023083_frg	ENST00000600965	TCONS_00073618_frg	5.067	30.779
ENSG00000267992	XLOC_022488_frg	ENST00000597303	TCONS_00071649_frg	3.71	49.987
ENSG00000267417	XLOC_029238_frg	ENST00000586630	TCONS_00094215_frg	5.321	31.225
ENSG00000226167	XLOC_003069_frg	ENST00000419536	TCONS_00009722_frg	5.264	36.028
ENSG00000272625	XLOC_016508_frg	ENST00000608032	TCONS_00052681_frg	4.773	12.227
ENSG00000267872	XLOC_013065_frg	ENST00000599810	TCONS_00041649_frg	6.561	82.056
ENSG00000235262	XLOC_023183_frg	ENST00000412242	TCONS_00073963_frg	5.683	35.412
ENSG00000230454	XLOC_018616_frg	ENST00000439898	TCONS_00059013_frg	5.618	30.318
ENSG00000272070	XLOC_008185_frg	ENST00000606901	TCONS_00026332_frg	5.668	56.262
ENSG00000267882	XLOC_027288_frg	ENST00000599904	TCONS_00087575_frg	3.647	27.809
ENSG00000267568	XLOC_027146_frg	ENST00000563583	TCONS_00087115_frg	3.389	109.534
ENSG00000249550	XLOC_002831_frg	ENST00000510694	TCONS_00009048_frg	4.438	62.69
ENSG00000225680	XLOC_022557_frg	ENST00000436530	TCONS_00071848_frg	3.809	38.583
ENSG00000246451	XLOC_024067_frg	ENST00000498989	TCONS_00076566_frg	4.504	17.407
ENSG00000253187	XLOC_018286_frg	ENST00000523790	TCONS_00057826_frg	3.518	21.432
ENSG00000280381	XLOC_006537_frg	ENST00000624878	TCONS_00020655_frg	3.981	89.35
ENSG00000272702	XLOC_002172_frg	ENST00000610134	TCONS_00006885_frg	11.805	33.918
ENSG00000274425	XLOC_028648_frg	ENST00000612689	TCONS_00091558_frg	3.648	57.718
ENSG00000262831	XLOC_021379_frg	ENST00000576784	TCONS_00068103_frg	4.313	32.6
ENSG00000278957	XLOC_015817_frg	ENST00000623734	TCONS_00050335_frg	5.262	32.391
ENSG00000273253	XLOC_008671_frg	ENST00000608025	TCONS_00027770_frg	4.828	73.832
ENSG00000253508	XLOC_018285_frg	ENST00000523331	TCONS_00057825_frg	3.25	16.743
ENSG00000255135	XLOC_005822_frg	ENST00000572035	TCONS_00018122_frg	4.005	31.019
ENSG00000274993	XLOC_030032_frg	ENST00000618276	TCONS_00096580_frg	6.299	108.114
ENSG00000227128	XLOC_020616_frg	ENST00000430651	TCONS_00065475_frg	4.134	29.833
ENSG00000253390	XLOC_008952_frg	ENST00000521021	TCONS_00028811_frg	3.838	21.61
ENSG00000278999	XLOC_023962_frg	ENST00000624169	TCONS_00076214_frg	6.941	86.313
ENSG00000229951	XLOC_002765_frg	ENST00000445878	TCONS_00008799_frg	5.945	51.907
ENSG00000260032	XLOC_027922_frg	ENST00000565493	TCONS_00089434_frg	4.382	81.248
ENSG00000261840	XLOC_030949_frg	ENST00000568500	TCONS_00099510_frg	18.571	53.828
ENSG00000261889	XLOC_025595_frg	ENST00000570843	TCONS_00081637_frg	6.233	15.951
ENSG00000254154	XLOC_013361_frg	ENST00000464428	TCONS_00042650_frg	3.804	65.595
ENSG00000269352	XLOC_020051_frg	ENST00000601893	TCONS_00063767_frg	3.673	81.152
ENSG00000280351	XLOC_028059_frg	ENST00000625110	TCONS_00089928_frg	7.572	50.323
ENSG00000205018	XLOC_010932_frg	ENST00000378347	TCONS_00034680_frg	4.071	13.01
ENSG00000272888	XLOC_007980_frg	ENST00000557682	TCONS_00025711_frg	6.406	37.921
ENSG00000265971	XLOC_028104_frg	ENST00000582741	TCONS_00090084_frg	5.866	42.784
ENSG00000279742	XLOC_033742_frg	ENST00000623909	TCONS_00108027_frg	9.713	50.704
ENSG00000204362	XLOC_033431_frg	ENST00000412427	TCONS_00107266_frg	6.071	56.965
ENSG00000259543	XLOC_009124_frg	ENST00000559211	TCONS_00029400_frg	6.771	34.019
ENSG00000212694	XLOC_002651_frg	ENST00000537157	TCONS_00008268_frg	3.59	11.258
ENSG00000254554	XLOC_010455_frg	ENST00000526906	TCONS_00033343_frg	6.588	39.21
ENSG00000213057	XLOC_011735_frg	ENST00000521244	TCONS_00037314_frg	4.972	40.636
ENSG00000280092	XLOC_011012_frg	ENST00000623314	TCONS_00034984_frg	5.733	29.493
ENSG00000261338	XLOC_024845_frg	ENST00000562328	TCONS_00079294_frg	9.396	43.518
ENSG00000279187	XLOC_021360_frg	ENST00000624065	TCONS_00068032_frg	6.355	39.925
ENSG00000234771	XLOC_023080_frg	ENST00000418747	TCONS_00073594_frg	15.016	111.316
ENSG00000251562	XLOC_012768_frg	ENST00000617791	TCONS_00040639_frg	5.546	46.213
ENSG00000278936	XLOC_008185_frg	ENST00000624089	TCONS_00026332_frg	9.345	26.863
ENSG00000259430	XLOC_009208_frg	ENST00000560718	TCONS_00029661_frg	4.907	65.117
ENSG00000237380	XLOC_025004_frg	ENST00000440016	TCONS_00079715_frg	6.008	49.745
ENSG00000258736	XLOC_024077_frg	ENST00000553433	TCONS_00076591_frg	10.966	47.077
ENSG00000214146	XLOC_013760_frg	ENST00000414309	TCONS_00044150_frg	4.378	31.702
ENSG00000253187	XLOC_018300_frg	ENST00000519694	TCONS_00057860_frg	8.636	57.686
ENSG00000279047	XLOC_008185_frg	ENST00000623741	TCONS_00026331_frg	4.889	43.688
ENSG00000256955	XLOC_006374_frg	ENST00000542763	TCONS_00020037_frg	5.008	91.802
ENSG00000260588	XLOC_007721_frg	ENST00000563810	TCONS_00024834_frg	7.035	22.01
ENSG00000246067	XLOC_005686_frg	ENST00000533708	TCONS_00017949_frg	7.676	86.962
ENSG00000279273	XLOC_021365_frg	ENST00000624285	TCONS_00068064_frg	8.252	31.219
ENSG00000260361	XLOC_009179_frg	ENST00000562894	TCONS_00029601_frg	5.704	57.107
ENSG00000231024	XLOC_018996_frg	ENST00000415342	TCONS_00060418_frg	7.128	72.17
ENSG00000234055	XLOC_023082_frg	ENST00000434250	TCONS_00073611_frg	4.582	54.65
ENSG00000237080	XLOC_022072_frg	ENST00000434689	TCONS_00070575_frg	4.189	64.273
ENSG00000259462	XLOC_009112_frg	ENST00000618020	TCONS_00029371_frg	6.568	59.345
ENSG00000179082	XLOC_023082_frg	ENST00000316786	TCONS_00073611_frg	7.99	46.952
ENSG00000259946	XLOC_012840_frg	ENST00000561881	TCONS_00040829_frg	7.658	64.425
ENSG00000228630	XLOC_005259_frg	ENST00000425595	TCONS_00016759_frg	7.085	59.431
ENSG00000237281	XLOC_025982_frg	ENST00000411433	TCONS_00082902_frg	5.307	44.488
ENSG00000264451	XLOC_028272_frg	ENST00000579972	TCONS_00090664_frg	5.047	66.645
ENSG00000269296	XLOC_022458_frg	ENST00000598952	TCONS_00071521_frg	3.585	42.32
ENSG00000188477	XLOC_025463_frg	ENST00000468219	TCONS_00081234_frg	4.842	86.015
ENSG00000225420	XLOC_002136_frg	ENST00000413234	TCONS_00006790_frg	4.892	23.473
ENSG00000224992	XLOC_023054_frg	ENST00000451318	TCONS_00073457_frg	11.16	77.469
ENSG00000240990	XLOC_016976_frg	ENST00000520360	TCONS_00053987_frg	7.047	30.773
ENSG00000223837	XLOC_022304_frg	ENST00000415875	TCONS_00071043_frg	4.699	71.006
ENSG00000204241	XLOC_019411_frg	ENST00000532706	TCONS_00061603_frg	3.669	42.705
ENSG00000247373	XLOC_002676_frg	ENST00000498967	TCONS_00008450_frg	19.353	74.814
